file,#vertices,#edges,density,bin_v_label,bin_d_label
gre_343_clean.mtx,343,1092,0.018618,Q2,Q3
bcsstm01_clean.mtx,48,0,0.0,Q1,Q1
bcspwr05_clean.mtx,443,590,0.006026,Q2,Q2
dwt_346_clean.mtx,346,1440,0.024127,Q2,Q3
can_144_clean.mtx,144,576,0.055944,Q1,Q4
fs_541_3_clean.mtx,541,2466,0.016882,Q2,Q3
impcol_c_clean.mtx,137,352,0.037784,Q1,Q4
bcsstk18_clean.mtx,11948,68571,0.000961,Q4,Q1
bcspwr01_clean.mtx,39,23,0.031039,Q1,Q3
nos4_clean.mtx,100,247,0.049899,Q1,Q4
dwt_918_clean.mtx,918,3233,0.007681,Q3,Q2
west0497_clean.mtx,497,1715,0.013914,Q2,Q3
bcsstk31_clean.mtx,35588,572914,0.000905,Q4,Q1
dwt_592_clean.mtx,592,2256,0.012896,Q2,Q3
bcsstk23_clean.mtx,3134,21022,0.004282,Q4,Q1
west0989_clean.mtx,989,3500,0.007164,Q3,Q2
cegb3306_clean.mtx,3306,35847,0.006562,Q4,Q2
jagmesh4_clean.mtx,1440,4032,0.003892,Q4,Q1
bp_1400_clean.mtx,822,4760,0.014107,Q3,Q3
mbeacxc_clean.mtx,496,41686,0.339573,Q2,Q4
impcol_b_clean.mtx,59,140,0.081823,Q1,Q4
plsk1919_clean.mtx,1919,4831,0.002625,Q4,Q1
dwt_198_clean.mtx,198,597,0.030611,Q1,Q3
jagmesh7_clean.mtx,1138,3156,0.004878,Q3,Q2
plskz362_clean.mtx,362,880,0.013468,Q2,Q3
lns_3937_clean.mtx,3937,12771,0.001648,Q4,Q1
sherman1_clean.mtx,1000,1375,0.002753,Q3,Q1
eris1176_clean.mtx,1176,8688,0.012575,Q3,Q2
can_187_clean.mtx,187,652,0.037491,Q1,Q4
str_400_clean.mtx,363,3124,0.047547,Q2,Q4
bcsstk09_clean.mtx,1083,8677,0.01481,Q3,Q3
psmigr_3_clean.mtx,3140,410781,0.083353,Q4,Q4
bcspwr03_clean.mtx,118,179,0.025931,Q1,Q3
nos7_clean.mtx,729,1944,0.007326,Q3,Q2
can_1072_clean.mtx,1072,5686,0.009905,Q3,Q2
jgl009_clean.mtx,9,16,0.444444,Q1,Q4
bcspwr10_clean.mtx,5300,8271,0.000589,Q4,Q1
shl_200_clean.mtx,663,1720,0.007838,Q2,Q2
sherman4_clean.mtx,1104,1341,0.002202,Q3,Q1
west0132_clean.mtx,132,404,0.046727,Q1,Q4
bcsstk11_clean.mtx,1473,16384,0.015113,Q4,Q3
ash85_clean.mtx,85,109,0.030532,Q1,Q3
bcsstk03_clean.mtx,112,264,0.042471,Q1,Q4
bcsstk06_clean.mtx,420,3720,0.042278,Q2,Q4
steam3_clean.mtx,80,212,0.067089,Q1,Q4
watt_2_clean.mtx,1856,4942,0.002871,Q4,Q1
can_229_clean.mtx,229,774,0.029648,Q1,Q3
steam1_clean.mtx,240,1761,0.061402,Q2,Q4
man_5976_clean.mtx,5976,109582,0.006138,Q4,Q2
bcsstm27_clean.mtx,1224,27451,0.036676,Q3,Q4
dwt_758_clean.mtx,758,2618,0.009125,Q3,Q2
cegb2919_clean.mtx,2919,159342,0.037415,Q4,Q4
curtis54_clean.mtx,54,62,0.043326,Q1,Q4
west0479_clean.mtx,479,1889,0.016501,Q2,Q3
nos2_clean.mtx,957,1590,0.003476,Q3,Q1
lshp_577_clean.mtx,577,1656,0.009965,Q2,Q2
mahindas_clean.mtx,1258,7513,0.009502,Q3,Q2
fs_680_1_clean.mtx,680,1464,0.006342,Q2,Q2
1138_bus_clean.mtx,1138,1458,0.002254,Q3,Q1
bcsstk12_clean.mtx,1473,16384,0.015113,Q4,Q3
dwt_992_clean.mtx,992,7876,0.016023,Q3,Q3
rgg010_clean.mtx,10,22,0.488889,Q1,Q4
dwt_361_clean.mtx,361,1296,0.019945,Q2,Q3
cegb3024_clean.mtx,3024,38426,0.008407,Q4,Q2
mcfe_clean.mtx,765,15358,0.052554,Q3,Q4
sherman3_clean.mtx,5005,7514,0.0006,Q4,Q1
bcspwr09_clean.mtx,1723,2394,0.001614,Q4,Q1
str_0_clean.mtx,363,2446,0.037228,Q2,Q4
nos5_clean.mtx,468,2352,0.021523,Q2,Q3
bcsstm02_clean.mtx,66,0,0.0,Q1,Q1
dwt_1242_clean.mtx,1242,4592,0.005959,Q3,Q2
bcsstm20_clean.mtx,485,0,0.0,Q2,Q1
dwt_234_clean.mtx,234,300,0.011005,Q1,Q2
