file,origin,n,m,density,size_bin,dens_bin,path
erdos_n100_p0.2.mtx,Aleatórios,100,1008,0.203636,P2_small,D3_medium,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n100_p0.2.mtx
erdos_n100_p0.8.mtx,Aleatórios,100,3958,0.799596,P2_small,D4_dense,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n100_p0.8.mtx
erdos_n200_p0.2.mtx,Aleatórios,200,3886,0.195276,P2_small,D2_low,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n200_p0.2.mtx
erdos_n300_p0.6.mtx,Aleatórios,300,26781,0.597124,P3_medium,D4_dense,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n300_p0.6.mtx
erdos_n400_p0.2.mtx,Aleatórios,400,15767,0.197581,P3_medium,D2_low,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n400_p0.2.mtx
erdos_n500_p0.4.mtx,Aleatórios,500,50151,0.402012,P3_medium,D3_medium,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n500_p0.4.mtx
erdos_n600_p0.8.mtx,Aleatórios,600,143926,0.800924,P4_large,D4_dense,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n600_p0.8.mtx
erdos_n700_p0.6.mtx,Aleatórios,700,147027,0.600969,P4_large,D4_dense,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n700_p0.6.mtx
erdos_n800_p0.2.mtx,Aleatórios,800,64141,0.200691,P4_large,D3_medium,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n800_p0.2.mtx
erdos_n1000_p0.2.mtx,Aleatórios,1000,99839,0.199878,P4_large,D2_low,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n1000_p0.2.mtx
erdos_n1000_p0.4.mtx,Aleatórios,1000,199962,0.400324,P4_large,D3_medium,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Aleatórios/erdos_n1000_p0.4.mtx
celar02.mtx,CELAR,200,1235,0.06206,P2_small,D2_low,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/CELAR/celar02.mtx
celar03.mtx,CELAR,400,2760,0.034586,P3_medium,D1_sparse,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/CELAR/celar03.mtx
celar11.mtx,CELAR,680,4103,0.017773,P4_large,D1_sparse,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/CELAR/celar11.mtx
celar01.mtx,CELAR,916,5548,0.013239,P4_large,D1_sparse,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/CELAR/celar01.mtx
gamma_2.mtx,Cubos de Fibonacci,3,2,0.666667,P1_tiny,D4_dense,/Users/mateuspedrosa/Documents/TCC-II/Nova Base/Cubos de Fibonacci/gamma_2.mtx
