file,origin,n,m,density,max_degree
erdos_n100_p0.2.mtx,Aleatórios,100,1008,0.203636,29
erdos_n100_p0.4.mtx,Aleatórios,100,1985,0.40101,51
erdos_n100_p0.6.mtx,Aleatórios,100,2995,0.605051,73
erdos_n100_p0.8.mtx,Aleatórios,100,3958,0.799596,87
erdos_n200_p0.2.mtx,Aleatórios,200,3886,0.195276,57
erdos_n200_p0.4.mtx,Aleatórios,200,7990,0.401508,98
erdos_n200_p0.6.mtx,Aleatórios,200,11902,0.59809,137
erdos_n200_p0.8.mtx,Aleatórios,200,15915,0.799749,173
erdos_n300_p0.2.mtx,Aleatórios,300,9041,0.201583,79
erdos_n300_p0.4.mtx,Aleatórios,300,17970,0.400669,139
erdos_n300_p0.6.mtx,Aleatórios,300,26781,0.597124,201
erdos_n300_p0.8.mtx,Aleatórios,300,35886,0.800134,258
erdos_n400_p0.2.mtx,Aleatórios,400,15767,0.197581,98
erdos_n400_p0.4.mtx,Aleatórios,400,31890,0.399624,190
erdos_n400_p0.6.mtx,Aleatórios,400,47769,0.598609,263
erdos_n400_p0.8.mtx,Aleatórios,400,63706,0.798321,344
erdos_n500_p0.2.mtx,Aleatórios,500,25104,0.201234,134
erdos_n500_p0.4.mtx,Aleatórios,500,50151,0.402012,230
erdos_n500_p0.6.mtx,Aleatórios,500,74984,0.601074,330
erdos_n500_p0.8.mtx,Aleatórios,500,100089,0.802317,427
erdos_n600_p0.2.mtx,Aleatórios,600,36145,0.201141,161
erdos_n600_p0.4.mtx,Aleatórios,600,72156,0.401536,285
erdos_n600_p0.6.mtx,Aleatórios,600,108258,0.602437,393
erdos_n600_p0.8.mtx,Aleatórios,600,143926,0.800924,508
erdos_n700_p0.2.mtx,Aleatórios,700,48996,0.20027,178
erdos_n700_p0.4.mtx,Aleatórios,700,97678,0.399256,321
erdos_n700_p0.6.mtx,Aleatórios,700,147027,0.600969,460
erdos_n700_p0.8.mtx,Aleatórios,700,195773,0.800217,615
erdos_n800_p0.2.mtx,Aleatórios,800,64141,0.200691,194
erdos_n800_p0.4.mtx,Aleatórios,800,128258,0.401308,359
erdos_n800_p0.6.mtx,Aleatórios,800,191568,0.599399,519
erdos_n800_p0.8.mtx,Aleatórios,800,255838,0.800494,675
erdos_n900_p0.2.mtx,Aleatórios,900,80648,0.199352,220
erdos_n900_p0.4.mtx,Aleatórios,900,161877,0.400141,410
erdos_n900_p0.6.mtx,Aleatórios,900,242344,0.599046,590
erdos_n900_p0.8.mtx,Aleatórios,900,323685,0.800111,758
erdos_n1000_p0.2.mtx,Aleatórios,1000,99839,0.199878,238
erdos_n1000_p0.4.mtx,Aleatórios,1000,199962,0.400324,453
erdos_n1000_p0.6.mtx,Aleatórios,1000,299996,0.600593,650
erdos_n1000_p0.8.mtx,Aleatórios,1000,399542,0.799884,838
celar02.mtx,CELAR,200,1235,0.06206,44
celar06.mtx,CELAR,200,1322,0.066432,44
celar03.mtx,CELAR,400,2760,0.034586,61
celar05.mtx,CELAR,400,2598,0.032556,59
celar07.mtx,CELAR,400,2865,0.035902,62
celar04.mtx,CELAR,680,3967,0.017184,62
celar09.mtx,CELAR,680,4103,0.017773,62
celar10.mtx,CELAR,680,4103,0.017773,62
celar11.mtx,CELAR,680,4103,0.017773,62
celar01.mtx,CELAR,916,5548,0.013239,61
celar08.mtx,CELAR,916,5744,0.013707,62
gamma_2.mtx,Cubos de Fibonacci,3,2,0.666667,2
gamma_3.mtx,Cubos de Fibonacci,5,5,0.5,3
gamma_4.mtx,Cubos de Fibonacci,8,10,0.357143,4
gamma_5.mtx,Cubos de Fibonacci,13,20,0.25641,5
gamma_6.mtx,Cubos de Fibonacci,21,38,0.180952,6
gamma_7.mtx,Cubos de Fibonacci,34,71,0.12656,7
gamma_8.mtx,Cubos de Fibonacci,55,130,0.087542,8
gamma_9.mtx,Cubos de Fibonacci,89,235,0.06001,9
gamma_10.mtx,Cubos de Fibonacci,144,420,0.040793,10
gamma_11.mtx,Cubos de Fibonacci,233,744,0.027527,11
gamma_12.mtx,Cubos de Fibonacci,377,1308,0.018455,12
gamma_13.mtx,Cubos de Fibonacci,610,2285,0.012302,13
gamma_14.mtx,Cubos de Fibonacci,987,3970,0.008159,14
gamma_15.mtx,Cubos de Fibonacci,1597,6865,0.005387,15
gamma_16.mtx,Cubos de Fibonacci,2584,11822,0.003542,16
jgl009_clean.mtx,Harwell-Being,9,16,0.444444,0
rgg010_clean.mtx,Harwell-Being,10,22,0.488889,0
bcspwr01_clean.mtx,Harwell-Being,39,23,0.031039,0
bcsstm01_clean.mtx,Harwell-Being,48,0,0.0,0
curtis54_clean.mtx,Harwell-Being,54,62,0.043326,0
impcol_b_clean.mtx,Harwell-Being,59,140,0.081823,0
bcsstm02_clean.mtx,Harwell-Being,66,0,0.0,0
steam3_clean.mtx,Harwell-Being,80,212,0.067089,0
ash85_clean.mtx,Harwell-Being,85,109,0.030532,0
nos4_clean.mtx,Harwell-Being,100,247,0.049899,6
bcsstk03_clean.mtx,Harwell-Being,112,264,0.042471,5
bcspwr03_clean.mtx,Harwell-Being,118,179,0.025931,9
west0132_clean.mtx,Harwell-Being,132,404,0.046727,22
impcol_c_clean.mtx,Harwell-Being,137,352,0.037784,14
can_144_clean.mtx,Harwell-Being,144,576,0.055944,14
can_187_clean.mtx,Harwell-Being,187,652,0.037491,9
dwt_198_clean.mtx,Harwell-Being,198,597,0.030611,11
can_229_clean.mtx,Harwell-Being,229,774,0.029648,12
dwt_234_clean.mtx,Harwell-Being,234,300,0.011005,9
steam1_clean.mtx,Harwell-Being,240,1761,0.061402,20
gre_343_clean.mtx,Harwell-Being,343,1092,0.018618,8
dwt_346_clean.mtx,Harwell-Being,346,1440,0.024127,18
dwt_361_clean.mtx,Harwell-Being,361,1296,0.019945,8
plskz362_clean.mtx,Harwell-Being,362,880,0.013468,6
str_0_clean.mtx,Harwell-Being,363,2446,0.037228,41
str_400_clean.mtx,Harwell-Being,363,3124,0.047547,53
bcsstk06_clean.mtx,Harwell-Being,420,3720,0.042278,27
bcspwr05_clean.mtx,Harwell-Being,443,590,0.006026,9
nos5_clean.mtx,Harwell-Being,468,2352,0.021523,22
west0479_clean.mtx,Harwell-Being,479,1889,0.016501,38
bcsstm20_clean.mtx,Harwell-Being,485,0,0.0,0
mbeacxc_clean.mtx,Harwell-Being,496,41686,0.339573,485
west0497_clean.mtx,Harwell-Being,497,1715,0.013914,57
fs_541_3_clean.mtx,Harwell-Being,541,2466,0.016882,540
lshp_577_clean.mtx,Harwell-Being,577,1656,0.009965,6
dwt_592_clean.mtx,Harwell-Being,592,2256,0.012896,14
shl_200_clean.mtx,Harwell-Being,663,1720,0.007838,439
fs_680_1_clean.mtx,Harwell-Being,680,1464,0.006342,13
nos7_clean.mtx,Harwell-Being,729,1944,0.007326,6
dwt_758_clean.mtx,Harwell-Being,758,2618,0.009125,10
mcfe_clean.mtx,Harwell-Being,765,15358,0.052554,109
bp_1400_clean.mtx,Harwell-Being,822,4760,0.014107,310
dwt_918_clean.mtx,Harwell-Being,918,3233,0.007681,12
nos2_clean.mtx,Harwell-Being,957,1590,0.003476,4
west0989_clean.mtx,Harwell-Being,989,3500,0.007164,34
dwt_992_clean.mtx,Harwell-Being,992,7876,0.016023,17
sherman1_clean.mtx,Harwell-Being,1000,1375,0.002753,6
can_1072_clean.mtx,Harwell-Being,1072,5686,0.009905,34
bcsstk09_clean.mtx,Harwell-Being,1083,8677,0.01481,22
sherman4_clean.mtx,Harwell-Being,1104,1341,0.002202,6
1138_bus_clean.mtx,Harwell-Being,1138,1458,0.002254,17
jagmesh7_clean.mtx,Harwell-Being,1138,3156,0.004878,6
eris1176_clean.mtx,Harwell-Being,1176,8688,0.012575,98
bcsstm27_clean.mtx,Harwell-Being,1224,27451,0.036676,53
dwt_1242_clean.mtx,Harwell-Being,1242,4592,0.005959,11
mahindas_clean.mtx,Harwell-Being,1258,7513,0.009502,206
jagmesh4_clean.mtx,Harwell-Being,1440,4032,0.003892,6
bcsstk11_clean.mtx,Harwell-Being,1473,16384,0.015113,32
bcsstk12_clean.mtx,Harwell-Being,1473,16384,0.015113,32
bcspwr09_clean.mtx,Harwell-Being,1723,2394,0.001614,14
watt_2_clean.mtx,Harwell-Being,1856,4942,0.002871,127
plsk1919_clean.mtx,Harwell-Being,1919,4831,0.002625,6
cegb2919_clean.mtx,Harwell-Being,2919,159342,0.037415,266
cegb3024_clean.mtx,Harwell-Being,3024,38426,0.008407,67
bcsstk23_clean.mtx,Harwell-Being,3134,21022,0.004282,30
psmigr_3_clean.mtx,Harwell-Being,3140,410781,0.083353,2744
cegb3306_clean.mtx,Harwell-Being,3306,35847,0.006562,53
lns_3937_clean.mtx,Harwell-Being,3937,12771,0.001648,12
sherman3_clean.mtx,Harwell-Being,5005,7514,0.0006,6
bcspwr10_clean.mtx,Harwell-Being,5300,8271,0.000589,13
man_5976_clean.mtx,Harwell-Being,5976,109582,0.006138,50
bcsstk18_clean.mtx,Harwell-Being,11948,68571,0.000961,48
bcsstk31_clean.mtx,Harwell-Being,35588,572914,0.000905,188
partite1_K6x5.mtx,Multipartidos Completos,30,360,0.827586,24
partite2_K10x5.mtx,Multipartidos Completos,50,1000,0.816327,40
partite3_K5x10.mtx,Multipartidos Completos,50,1125,0.918367,45
johnson8-2-4_clean.mtx,NR_DIMACS,28,105,0.277778,0
MANN-a9_clean.mtx,NR_DIMACS,45,459,0.463636,0
hamming6-2_clean.mtx,NR_DIMACS,64,912,0.452381,0
hamming6-4_clean.mtx,NR_DIMACS,64,352,0.174603,0
johnson8-4-4_clean.mtx,NR_DIMACS,70,927,0.383851,0
johnson16-2-4_clean.mtx,NR_DIMACS,120,5460,0.764706,91
C125-9_clean.mtx,NR_DIMACS,125,6963,0.898452,119
keller4_clean.mtx,NR_DIMACS,171,9435,0.649123,124
brock200-1_clean.mtx,NR_DIMACS,200,14834,0.745427,165
brock200-2_clean.mtx,NR_DIMACS,200,9876,0.496281,114
brock200-3_clean.mtx,NR_DIMACS,200,12048,0.605427,134
brock200-4_clean.mtx,NR_DIMACS,200,13089,0.657739,147
c-fat200-1_clean.mtx,NR_DIMACS,200,1534,0.077085,17
c-fat200-2_clean.mtx,NR_DIMACS,200,3235,0.162563,34
c-fat200-5_clean.mtx,NR_DIMACS,200,8473,0.425779,86
gen200-p0-9-44_clean.mtx,NR_DIMACS,200,17910,0.9,190
gen200-p0-9-55_clean.mtx,NR_DIMACS,200,17910,0.9,190
san200-0-7-1_clean.mtx,NR_DIMACS,200,13930,0.7,155
san200-0-7-2_clean.mtx,NR_DIMACS,200,13930,0.7,164
san200-0-9-1_clean.mtx,NR_DIMACS,200,17910,0.9,191
san200-0-9-2_clean.mtx,NR_DIMACS,200,17910,0.9,188
san200-0-9-3_clean.mtx,NR_DIMACS,200,17910,0.9,187
sanr200-0-7_clean.mtx,NR_DIMACS,200,13868,0.696884,161
sanr200-0-9_clean.mtx,NR_DIMACS,200,17863,0.897638,189
C250-9_clean.mtx,NR_DIMACS,250,27984,0.899084,236
hamming8-2_clean.mtx,NR_DIMACS,256,31616,0.968627,247
hamming8-4_clean.mtx,NR_DIMACS,256,20864,0.639216,163
p-hat300-3_clean.mtx,NR_DIMACS,300,33390,0.744482,267
MANN-a27_clean.mtx,NR_DIMACS,378,70551,0.990148,374
brock400-1_clean.mtx,NR_DIMACS,400,59723,0.748409,320
brock400-2_clean.mtx,NR_DIMACS,400,59786,0.749198,328
brock400-3_clean.mtx,NR_DIMACS,400,59681,0.747882,322
brock400-4_clean.mtx,NR_DIMACS,400,59765,0.748935,326
gen400-p0-9-55_clean.mtx,NR_DIMACS,400,71820,0.9,375
gen400-p0-9-65_clean.mtx,NR_DIMACS,400,71820,0.9,378
gen400-p0-9-75_clean.mtx,NR_DIMACS,400,71820,0.9,380
san400-0-5-1_clean.mtx,NR_DIMACS,400,39900,0.5,225
