vertex,label
0,3
1,5
2,1
3,0
4,4
5,2
6,2
7,6
8,6
9,8
10,5
11,4
12,1
13,2
14,6
15,0
16,2
17,4
18,7
19,6
20,7
21,5
22,0
23,2
24,0
25,0
26,5
27,2
28,0
29,2
30,0
31,1
32,0
33,3
34,1
35,3
36,1
37,2
38,0
39,5
40,2
41,3
42,3
43,5
44,2
45,1
46,4
47,5
48,3
49,0
50,0
51,3
52,10
53,0
54,4
55,0
56,5
57,0
58,6
59,2
60,0
61,3
62,0
63,5
64,2
65,4
66,8
67,7
68,0
69,2
70,4
71,5
72,0
73,1
74,7
75,9
76,0
77,5
78,2
79,0
80,4
81,2
82,2
83,1
84,0
85,2
86,1
87,4
88,4
89,3
90,0
91,4
92,6
93,7
94,2
95,5
96,3
97,3
98,2
99,1
100,2
101,0
102,9
103,3
104,6
105,4
106,0
107,6
108,4
109,5
110,7
111,0
112,1
113,5
114,1
115,5
116,1
117,2
118,3
119,7
120,7
121,4
122,2
123,5
124,4
125,1
126,2
127,2
128,4
129,3
130,6
131,7
132,8
133,1
134,1
135,4
136,5
137,3
138,5
139,3
140,1
141,0
142,7
143,2
144,2
145,4
146,3
147,3
148,7
149,0
150,5
151,6
152,1
153,0
154,2
155,1
156,4
157,3
158,0
159,5
160,4
161,2
162,1
163,0
164,6
165,3
166,3
167,2
168,0
169,5
170,4
171,1
172,4
173,7
174,1
175,4
176,3
177,6
178,6
179,0
180,2
181,3
182,2
183,5
184,7
185,4
186,8
187,0
188,5
189,2
190,0
191,5
192,1
193,2
194,8
195,9
196,7
197,2
198,0
199,3
200,4
201,0
202,9
203,4
204,0
205,1
206,7
207,6
208,1
209,1
210,3
211,3
212,0
213,9
214,0
215,5
216,1
217,2
218,0
219,6
220,3
221,3
222,4
223,4
224,5
225,0
226,4
227,2
228,1
229,4
230,5
231,1
232,4
233,5
234,3
235,6
236,2
237,4
238,2
239,5
240,4
241,2
242,0
243,3
244,7
245,4
246,2
247,6
248,1
249,3
250,4
251,5
252,4
253,5
254,0
255,2
256,1
257,0
258,3
259,4
260,5
261,4
262,5
263,6
264,8
265,6
266,8
267,5
268,2
269,1
270,3
271,7
272,0
273,1
274,3
275,1
276,6
277,1
278,3
279,1
280,4
281,3
282,9
283,3
284,0
285,3
286,5
287,1
288,6
289,8
290,1
291,1
292,3
293,1
294,0
295,1
296,7
297,3
298,4
299,0
300,2
301,8
302,0
303,9
304,0
305,7
306,5
307,5
308,2
309,0
310,6
311,1
312,1
313,1
314,6
315,3
316,4
317,8
318,9
319,10
320,0
321,8
322,5
323,4
324,1
325,1
326,4
327,0
328,6
329,1
330,5
331,2
332,6
333,5
334,6
335,7
336,3
337,5
338,0
339,1
340,5
341,2
342,7
343,3
344,1
345,0
346,4
347,7
348,7
349,8
350,8
351,5
352,6
353,3
354,6
355,5
356,2
357,4
358,5
359,0
360,6
361,1
362,1
363,2
364,4
365,6
366,0
367,1
368,3
369,4
370,5
371,6
372,7
373,7
374,5
375,4
376,1
377,8
378,4
379,2
380,7
381,0
382,0
383,5
384,3
385,1
386,6
387,3
388,1
389,2
390,5
391,4
392,7
393,3
394,7
395,2
396,5
397,7
398,8
399,4
400,4
401,4
402,2
403,8
404,1
405,3
406,6
407,2
408,4
409,1
410,0
411,2
412,5
413,6
414,0
415,4
416,2
417,3
418,5
419,0
420,4
421,0
422,0
423,4
424,3
425,5
426,5
427,5
428,4
429,3
430,6
431,2
432,4
433,1
434,7
435,0
436,4
437,0
438,4
439,8
440,5
441,2
442,0
443,3
444,2
445,4
446,5
447,2
448,0
449,0
450,3
451,4
452,5
453,6
454,1
455,5
456,0
457,1
458,6
459,7
460,8
461,9
462,10
463,1
464,5
465,7
466,2
467,1
468,8
469,4
470,2
471,5
472,3
473,1
474,6
475,7
476,9
477,6
478,4
479,4
480,0
481,3
482,6
483,1
484,2
485,5
486,9
487,0
488,4
489,2
490,0
491,5
492,3
493,4
