vertex,label
0,1
1,8
2,2
3,7
4,0
5,3
6,2
7,0
8,3
9,1
10,5
11,7
12,3
13,5
14,1
15,4
16,2
17,7
18,7
19,6
20,4
21,2
22,0
23,5
24,3
25,2
26,8
27,6
28,1
29,2
30,0
31,4
32,6
33,0
34,0
35,2
36,4
37,1
38,3
39,6
40,3
41,3
42,7
43,2
44,8
45,4
46,0
47,6
48,8
49,7
50,1
51,0
52,2
53,7
54,4
55,5
56,6
57,7
58,9
59,0
60,0
61,2
62,7
63,8
64,6
65,1
66,3
67,6
68,2
69,2
70,6
71,1
72,3
73,4
74,8
75,1
76,5
77,2
78,5
79,0
80,3
81,7
82,0
83,4
84,2
85,7
86,2
87,5
88,0
89,4
90,1
91,3
92,1
93,2
94,5
95,6
96,4
97,1
98,0
99,0
100,7
101,2
102,4
103,0
104,0
105,4
106,1
107,2
108,1
109,5
110,0
111,2
112,3
113,5
114,2
115,3
116,0
117,7
118,4
119,2
120,2
121,0
122,1
123,4
124,5
125,2
126,4
127,0
128,3
129,4
130,0
131,3
132,9
133,4
134,0
135,6
136,5
137,2
138,2
139,1
140,0
141,4
142,7
143,3
144,0
145,5
146,6
147,7
148,0
149,1
150,2
151,7
152,8
153,6
154,0
155,3
156,7
157,0
158,4
159,2
160,5
161,6
162,0
163,3
164,1
165,7
166,5
167,8
168,3
169,5
170,0
171,8
172,8
173,5
174,2
175,3
176,4
177,0
178,7
179,1
180,9
181,4
182,6
183,0
184,0
185,0
186,1
187,1
188,6
189,6
190,0
191,5
192,3
193,3
194,1
195,0
196,6
197,5
198,4
199,0
200,3
201,6
202,8
203,0
204,3
205,2
206,4
207,7
208,3
209,4
210,1
211,3
212,8
213,6
214,3
215,5
216,0
217,2
218,4
219,5
220,5
221,0
222,1
223,3
224,7
225,1
226,4
227,3
228,1
229,2
230,0
231,2
232,3
233,4
234,2
235,3
236,6
237,3
238,6
239,5
240,0
241,6
242,2
243,5
244,5
245,0
246,2
247,6
248,0
249,4
250,2
251,1
252,1
253,1
254,4
255,7
256,0
257,6
258,3
259,1
260,5
261,2
262,0
263,5
264,3
265,5
266,0
267,8
268,4
269,1
270,5
271,6
272,4
273,3
274,0
275,0
276,6
277,0
278,8
279,1
280,4
281,8
282,2
283,5
284,1
285,7
286,4
287,2
288,5
289,0
290,5
291,2
292,5
293,2
294,7
295,1
296,3
297,7
298,5
299,3
300,4
301,1
302,5
303,6
304,0
305,6
306,2
307,7
308,4
309,2
310,6
311,2
312,5
313,1
314,4
315,0
316,1
317,0
318,3
319,6
320,8
321,1
322,3
323,5
324,6
325,1
326,6
327,7
328,4
329,0
330,4
331,4
332,2
333,1
334,3
335,5
336,7
337,0
338,7
339,6
340,3
341,1
342,3
343,0
344,0
345,2
346,0
347,4
348,7
349,4
350,0
351,5
352,7
353,5
354,1
355,6
356,4
357,1
358,0
359,0
360,3
361,5
362,0
363,6
364,0
365,3
366,1
367,2
368,0
369,0
370,5
371,7
372,6
373,2
374,4
375,1
376,2
377,6
378,1
379,5
380,5
381,8
382,3
383,8
384,0
385,4
386,6
387,6
388,6
389,2
390,5
391,1
392,7
393,4
394,5
395,1
396,3
397,6
398,4
399,4
400,1
401,4
402,2
403,0
404,2
405,5
406,2
407,0
408,1
409,5
410,2
411,1
412,5
413,2
414,6
415,1
416,7
417,9
418,1
419,3
420,6
421,2
422,3
423,8
424,3
425,7
426,0
427,4
428,3
429,7
430,8
431,5
432,1
433,0
434,0
435,3
436,5
437,9
438,10
439,3
440,11
441,6
442,12
443,2
444,4
445,9
446,3
447,0
448,1
449,5
450,6
451,1
452,9
453,1
454,0
455,7
456,3
457,2
458,2
459,4
460,3
461,2
462,1
463,4
464,5
465,0
466,3
467,2
468,5
469,5
470,0
471,4
472,5
473,1
474,0
475,6
476,7
477,6
478,5
479,7
480,4
481,8
482,2
483,8
484,0
485,6
486,3
487,4
488,5
489,0
490,2
491,1
492,6
493,7
494,6
495,3
496,8
497,3
498,0
499,4
500,3
501,2
502,4
503,2
504,7
505,1
506,5
507,1
508,5
509,1
510,3
511,6
512,9
513,3
514,1
515,3
516,0
517,7
518,5
519,1
520,3
521,6
522,4
523,7
524,7
525,3
526,7
527,0
528,6
529,0
530,0
531,9
532,10
533,11
534,1
535,0
536,7
537,4
538,2
539,0
540,1
541,5
542,6
543,3
544,5
545,1
546,8
547,3
548,3
549,5
550,2
551,6
552,6
553,8
554,8
555,2
556,4
557,4
558,7
559,3
560,0
561,2
562,1
563,8
564,1
565,2
566,0
567,3
568,8
569,0
570,10
571,6
572,6
573,2
574,2
575,5
576,0
577,8
578,2
579,0
580,4
581,1
582,6
583,5
584,3
585,0
586,6
587,4
588,2
589,5
590,7
591,4
592,2
593,3
594,4
595,2
596,2
597,0
598,9
599,3
600,7
601,0
602,4
603,0
604,3
605,0
606,4
607,5
608,0
609,3
610,0
611,11
612,7
613,6
614,2
615,3
616,1
617,8
618,5
619,0
620,3
621,7
622,2
623,1
624,1
625,2
626,7
627,0
628,5
629,2
630,9
631,1
632,6
633,0
634,12
635,2
636,0
637,10
638,11
639,1
640,8
641,5
642,7
643,4
644,11
645,12
646,13
647,1
648,0
649,3
650,1
651,2
652,0
653,3
654,6
655,3
656,5
657,1
658,5
659,4
660,2
661,7
662,0
663,8
664,4
665,7
666,7
667,1
668,6
669,5
670,7
671,1
672,6
673,1
674,2
675,0
676,1
677,5
678,2
679,4
680,8
681,4
682,10
683,5
684,3
685,7
686,5
687,8
688,3
689,2
690,5
691,5
692,0
693,2
694,1
695,6
696,4
697,0
698,2
699,3
700,8
701,0
702,4
703,1
704,6
705,1
706,3
707,0
708,2
709,8
710,1
711,0
712,4
713,5
714,2
715,6
716,1
717,8
718,2
719,1
720,0
721,5
722,3
723,2
724,8
725,3
726,9
727,6
728,0
729,3
730,0
731,9
732,4
733,2
734,5
735,0
736,1
737,10
738,6
739,3
740,6
741,1
742,4
743,2
744,0
745,4
746,1
747,8
748,8
749,2
750,8
751,0
752,8
753,5
754,5
755,5
756,7
757,4
758,10
759,1
760,4
761,5
762,1
763,7
764,3
765,1
766,5
767,11
768,9
769,0
770,12
771,0
772,4
773,3
774,8
775,3
776,7
777,3
778,0
779,7
780,5
781,2
782,0
783,6
784,4
785,2
786,2
787,4
788,0
789,7
790,5
791,9
792,8
793,9
794,10
795,4
796,7
797,0
798,0
799,7
800,8
801,7
802,9
803,2
804,3
805,6
806,3
807,6
808,6
809,0
810,2
811,6
812,4
813,9
814,6
815,3
816,7
817,1
818,3
819,5
820,9
821,0
822,7
823,4
824,5
825,0
826,2
827,7
828,8
829,2
830,10
831,3
832,0
833,10
834,0
835,4
836,9
837,5
838,4
839,5
840,5
841,6
842,2
843,7
844,1
845,5
846,3
847,6
848,4
849,1
850,6
851,4
852,0
853,6
854,2
855,3
856,0
857,0
858,6
859,4
860,1
861,6
862,1
863,4
864,9
865,2
866,8
867,3
868,7
869,1
870,1
871,6
872,0
873,1
874,4
875,1
876,7
877,6
878,7
879,4
880,1
881,6
882,7
883,3
884,1
885,5
886,4
887,0
888,8
889,11
890,0
891,2
892,7
893,4
894,8
895,9
896,0
897,11
898,6
899,0
900,10
901,0
902,3
903,2
904,0
905,6
906,3
907,1
908,4
909,3
910,4
911,5
912,2
913,9
914,0
915,8
916,1
917,8
918,3
919,2
920,0
921,1
922,4
923,7
924,9
925,0
926,1
927,4
928,2
929,3
930,5
931,4
932,0
933,5
934,0
935,9
936,1
937,7
938,5
939,2
940,7
941,0
942,7
943,3
944,8
945,12
946,3
947,0
948,1
949,3
950,5
951,2
952,5
953,7
954,0
955,9
956,10
957,11
958,12
959,4
960,1
961,5
962,10
963,3
964,0
965,5
966,1
967,9
968,5
969,7
970,3
971,1
972,8
973,0
974,10
975,6
976,11
977,9
978,2
979,4
980,0
981,6
982,0
983,8
984,7
985,0
986,8
987,7
988,12
989,1
990,0
991,8
992,7
993,8
994,12
995,5
996,1
997,9
998,3
999,2
1000,0
1001,5
1002,4
1003,3
1004,0
1005,6
1006,6
1007,7
1008,4
1009,1
1010,4
1011,6
1012,5
1013,5
1014,5
1015,2
1016,6
1017,5
1018,0
1019,7
1020,2
1021,0
1022,1
1023,0
1024,4
1025,2
1026,3
1027,7
1028,5
1029,5
1030,7
1031,3
1032,5
1033,0
1034,4
1035,3
1036,1
1037,5
1038,2
1039,3
1040,0
1041,2
1042,0
1043,7
1044,0
1045,7
1046,6
1047,3
1048,8
1049,9
1050,3
1051,1
1052,3
1053,4
1054,1
1055,3
1056,6
1057,2
1058,1
1059,5
1060,6
1061,3
1062,1
1063,5
1064,3
1065,0
1066,2
1067,4
1068,0
1069,7
1070,7
1071,6
1072,0
1073,4
1074,2
1075,4
1076,5
1077,1
1078,3
1079,5
1080,4
1081,1
1082,2
1083,7
1084,7
1085,6
1086,0
1087,6
1088,3
1089,3
1090,5
1091,6
1092,0
1093,6
1094,8
1095,1
1096,4
1097,6
1098,5
1099,1
1100,1
1101,3
1102,4
1103,5
1104,2
1105,4
1106,7
1107,9
1108,5
1109,2
1110,0
1111,5
1112,6
1113,0
1114,1
1115,7
1116,8
1117,9
1118,0
1119,3
1120,6
1121,6
1122,0
1123,0
1124,5
1125,5
1126,7
1127,2
1128,0
1129,4
1130,1
1131,7
1132,3
1133,3
1134,6
1135,2
1136,5
1137,5
1138,7
1139,4
1140,7
1141,8
1142,6
1143,5
1144,1
1145,4
1146,5
1147,8
1148,0
1149,4
1150,6
1151,3
1152,7
1153,4
1154,2
1155,1
1156,0
1157,6
1158,7
1159,5
1160,9
1161,2
1162,5
1163,0
1164,1
1165,3
1166,6
1167,1
1168,0
1169,0
1170,2
1171,4
1172,2
1173,7
1174,2
1175,5
1176,4
1177,0
1178,3
1179,0
1180,8
1181,2
1182,0
1183,8
1184,0
1185,5
1186,0
1187,6
1188,0
1189,2
1190,3
1191,0
1192,4
1193,1
1194,6
1195,1
1196,0
1197,4
1198,5
1199,0
1200,6
1201,4
1202,0
1203,2
1204,2
1205,0
1206,3
1207,0
1208,7
1209,1
1210,2
1211,6
1212,1
1213,3
1214,5
1215,8
1216,0
1217,2
1218,8
1219,1
1220,6
1221,3
1222,3
1223,1
1224,8
1225,7
1226,7
1227,4
1228,7
1229,8
1230,0
1231,2
1232,7
1233,4
1234,3
1235,9
1236,5
1237,10
1238,3
1239,1
1240,4
1241,8
1242,0
1243,2
1244,0
1245,0
1246,2
1247,3
1248,4
1249,3
1250,0
1251,1
1252,0
1253,5
1254,0
1255,2
1256,5
1257,1
1258,4
1259,0
1260,2
1261,5
1262,1
1263,0
1264,6
1265,4
1266,6
1267,3
1268,0
1269,0
1270,1
1271,5
1272,9
1273,7
1274,2
1275,4
1276,4
1277,2
1278,4
1279,4
1280,2
1281,2
1282,6
1283,7
1284,2
1285,5
1286,0
1287,5
1288,4
1289,1
1290,6
1291,5
1292,7
1293,5
1294,6
1295,0
1296,0
1297,0
1298,6
1299,5
1300,6
1301,1
1302,2
1303,4
1304,5
1305,1
1306,4
1307,0
1308,2
1309,5
1310,5
1311,0
1312,4
1313,2
1314,5
1315,0
1316,7
1317,2
1318,2
1319,0
1320,3
1321,2
1322,6
1323,4
1324,7
1325,8
1326,7
1327,1
1328,4
1329,6
1330,4
1331,1
1332,3
1333,3
1334,3
1335,2
1336,5
1337,4
1338,0
1339,0
1340,3
1341,4
1342,5
1343,1
1344,2
1345,0
1346,3
1347,6
1348,6
1349,3
1350,1
1351,0
1352,5
1353,8
1354,4
1355,6
1356,1
1357,3
1358,6
1359,4
1360,4
1361,7
1362,1
1363,5
1364,6
1365,0
1366,0
1367,0
1368,2
1369,4
1370,0
1371,1
1372,6
1373,5
1374,0
1375,3
1376,2
1377,0
1378,1
1379,7
1380,2
1381,7
1382,0
1383,5
1384,6
1385,3
1386,2
1387,7
1388,8
1389,5
1390,3
1391,1
1392,0
1393,4
1394,5
1395,6
1396,4
1397,6
1398,8
1399,0
1400,4
1401,6
1402,8
1403,6
1404,8
1405,9
1406,3
1407,5
1408,3
1409,10
1410,6
1411,7
1412,6
1413,0
1414,5
1415,8
1416,10
1417,3
1418,4
1419,9
1420,4
1421,6
1422,0
1423,5
1424,4
1425,3
1426,6
1427,5
1428,1
1429,4
1430,0
1431,3
1432,2
1433,1
1434,3
1435,8
1436,3
1437,0
1438,5
1439,2
1440,4
1441,4
1442,0
1443,2
1444,0
1445,6
1446,5
1447,2
1448,7
1449,0
1450,4
1451,0
1452,1
1453,5
