vertex,label
0,7
1,19
2,9
3,32
4,2
5,6
6,12
7,38
8,1
9,4
10,11
11,37
12,39
13,5
14,10
15,23
16,31
17,3
18,21
19,0
20,13
21,34
22,2
23,18
24,20
25,15
26,8
27,38
28,14
29,40
30,13
31,29
32,8
33,16
34,27
35,26
36,22
37,17
38,3
39,32
40,5
41,2
42,10
43,23
44,30
45,24
46,2
47,21
48,7
49,9
50,20
51,12
52,23
53,0
54,0
55,7
56,18
57,21
58,11
59,1
60,27
61,6
62,25
63,10
64,3
65,16
66,35
67,28
68,33
69,6
70,4
71,19
72,14
73,31
74,16
75,12
76,20
77,30
78,38
79,26
80,29
81,13
82,8
83,31
84,17
85,9
86,2
87,32
88,22
89,24
90,15
91,5
92,1
93,24
94,36
95,11
96,5
97,40
98,0
99,13
100,27
101,34
102,39
103,3
104,37
105,28
106,14
107,34
108,38
109,30
110,3
111,25
112,21
113,23
114,16
115,29
116,0
117,25
118,32
119,23
120,12
121,19
122,7
123,10
124,35
125,18
126,6
127,8
128,31
129,9
130,36
131,1
132,15
133,5
134,39
135,4
136,37
137,26
138,2
139,27
140,13
141,17
142,33
143,11
144,28
145,34
146,21
147,22
148,24
149,0
150,40
151,20
152,29
