vertex,label
0,1
1,1
2,3
3,3
4,5
5,13
6,9
7,15
8,28
9,26
10,9
11,18
12,2
13,4
14,20
15,4
16,6
17,8
18,5
19,7
20,7
21,9
22,11
23,12
24,14
25,17
26,19
27,21
28,16
29,18
30,23
31,25
32,30
33,20
34,22
35,35
36,33
37,37
38,11
39,24
40,12
41,14
42,16
43,0
44,13
45,0
46,2
47,10
48,17
49,20
50,24
51,27
52,31
53,0
54,2
55,0
56,2
57,4
58,4
59,6
60,6
61,8
62,10
63,1
64,8
65,1
66,3
67,27
68,3
69,5
70,5
71,19
72,7
73,7
74,9
75,21
76,23
77,26
78,22
79,24
80,33
81,35
82,37
83,9
84,11
85,14
86,12
87,16
88,13
89,15
90,18
91,20
92,22
93,10
94,17
95,13
96,15
97,24
98,12
99,14
100,9
101,11
102,17
103,16
104,18
105,28
106,30
107,38
108,18
109,40
110,29
111,39
112,41
113,3
114,5
115,5
116,7
117,9
118,7
119,19
120,26
121,28
122,30
123,21
124,23
125,32
126,34
127,36
128,0
129,2
130,0
131,2
132,4
133,20
134,22
135,25
136,33
137,35
138,8
139,10
140,24
141,32
142,34
143,0
144,12
145,0
146,2
147,11
148,16
149,25
150,19
151,21
152,23
153,4
154,27
155,6
156,8
157,10
158,6
159,8
160,12
161,14
162,16
163,24
164,26
165,31
166,39
167,37
168,15
169,22
170,18
171,22
172,36
173,2
174,6
175,4
176,13
177,15
178,9
179,14
180,17
181,25
182,27
183,1
184,11
185,1
186,3
187,29
188,13
189,15
190,18
191,20
192,22
193,10
194,28
195,24
196,27
197,41
198,11
199,13
200,26
201,29
202,38
203,17
204,19
205,7
206,9
207,20
208,21
209,23
210,31
211,33
212,35
213,3
214,5
215,5
216,38
217,40
218,7
219,17
220,7
221,9
222,11
223,21
224,23
225,15
226,30
227,33
228,24
229,26
230,24
231,34
232,40
233,0
234,4
235,0
236,2
237,11
238,8
239,10
240,14
241,16
242,23
243,12
244,25
245,19
246,21
247,26
248,0
249,19
250,0
251,2
252,13
253,14
254,26
255,17
256,25
257,23
258,15
259,22
260,18
261,21
262,27
263,2
264,6
265,4
266,6
267,8
268,14
269,16
270,28
271,30
272,32
273,22
274,27
275,10
276,34
277,36
278,2
279,4
280,4
281,6
282,8
283,6
284,16
285,20
286,27
287,29
288,17
289,25
290,10
291,25
292,31
293,9
294,11
295,1
296,12
297,15
298,18
299,20
300,17
301,20
302,22
303,7
304,24
305,24
306,38
307,40
308,9
309,11
310,1
311,12
312,15
313,13
314,20
315,18
316,22
317,32
318,23
319,27
320,19
321,23
322,33
323,0
324,3
325,3
326,5
327,7
328,5
329,13
330,9
331,26
332,29
333,1
334,15
335,31
336,33
337,35
338,3
339,17
340,3
341,5
342,7
343,26
344,41
345,25
346,28
347,41
348,15
349,29
350,28
351,30
352,37
353,8
354,10
355,0
356,11
357,13
358,19
359,21
360,16
361,18
362,21
363,23
364,25
365,14
366,23
367,37
368,6
369,8
370,0
371,10
372,19
373,12
374,14
375,13
376,16
377,21
378,17
379,22
380,32
381,35
382,41
383,2
384,4
385,2
386,4
387,6
388,12
389,14
390,8
391,25
392,27
393,16
394,27
395,12
396,30
397,32
398,0
399,2
400,2
401,4
402,6
403,4
404,18
405,24
406,27
407,29
408,25
409,41
410,12
411,19
412,23
413,0
414,6
415,10
416,15
417,17
418,9
419,18
420,20
421,22
422,34
423,5
424,7
425,36
426,38
427,41
428,10
429,13
430,9
431,15
432,17
433,15
434,20
435,22
436,31
437,34
438,16
439,19
440,26
441,29
442,31
443,3
444,11
445,0
446,3
447,5
448,15
449,20
450,7
451,13
452,24
453,1
454,22
455,1
456,11
457,26
458,3
459,17
460,3
461,5
462,19
463,23
464,25
465,25
466,28
467,40
468,5
469,21
470,11
471,33
472,35
473,8
474,13
475,9
476,16
477,18
478,24
479,26
480,21
481,28
482,30
483,12
484,41
485,33
486,35
487,37
488,6
489,8
490,8
491,14
492,16
493,11
494,19
495,12
496,21
497,23
498,17
499,23
500,20
501,22
502,37
503,0
504,2
505,2
506,4
507,6
508,4
509,10
510,12
511,23
512,25
513,14
514,16
515,10
516,39
517,41
518,0
519,2
520,0
521,2
522,4
523,13
524,15
525,6
526,27
527,30
528,9
529,12
530,29
531,32
532,34
533,6
534,15
535,0
536,8
537,14
538,18
539,20
540,17
541,19
542,27
543,7
544,40
545,7
546,15
547,29
548,5
549,9
550,13
551,18
552,20
553,17
554,20
555,24
556,34
557,36
558,21
559,39
560,36
561,38
562,40
563,1
564,3
565,3
566,5
567,11
568,11
569,13
570,21
571,24
572,31
573,24
574,26
575,1
576,9
577,33
578,1
579,3
580,3
581,5
582,11
583,11
584,23
585,8
586,26
587,28
588,14
589,41
590,7
591,9
592,22
593,5
594,8
595,13
596,16
597,18
598,16
599,19
600,26
601,28
602,35
603,21
604,41
605,37
606,39
607,41
608,6
609,8
610,14
611,16
612,22
613,13
614,15
615,31
616,35
617,38
618,18
619,38
620,30
621,32
622,37
623,0
624,2
625,0
626,2
627,4
628,10
629,12
630,6
631,8
632,10
633,4
634,14
635,12
636,19
637,30
638,0
639,2
640,0
641,2
642,4
643,17
644,19
645,20
646,24
647,27
648,9
649,11
650,12
651,39
652,41
653,6
654,15
655,14
656,17
657,20
658,17
659,20
660,23
661,25
662,27
663,7
664,24
665,15
666,21
667,32
668,9
669,11
670,7
671,9
672,17
673,25
674,40
675,11
676,29
677,33
678,19
679,24
680,26
681,28
682,33
683,1
684,3
685,1
686,3
687,5
688,13
689,39
690,11
691,29
692,34
693,5
694,41
695,13
696,36
697,38
698,1
699,3
700,1
701,3
702,5
703,6
704,13
705,14
706,22
707,25
708,5
709,12
710,13
711,19
712,21
713,8
714,10
715,7
716,9
717,16
718,23
719,18
720,18
721,22
722,24
723,21
724,28
725,8
726,26
727,31
728,8
729,10
730,10
731,16
732,19
733,15
734,17
735,12
736,27
737,30
738,14
739,22
740,27
741,31
742,36
743,0
744,2
745,0
746,2
747,4
748,4
749,6
750,12
751,14
752,20
753,12
754,14
755,6
756,28
757,33
758,0
759,2
760,0
761,2
762,4
763,19
764,23
765,7
766,23
767,34
768,30
769,24
770,8
771,38
772,41
773,9
774,11
775,10
776,17
777,23
778,17
779,19
780,25
781,30
782,37
783,22
784,29
785,35
786,41
787,39
788,5
789,7
790,9
791,11
792,13
793,9
794,11
795,15
796,17
797,20
798,26
799,28
800,21
801,26
802,28
803,1
804,3
805,1
806,3
807,5
808,13
809,15
810,7
811,15
