vertex,label
0,12
1,0
2,2
3,4
4,5
5,7
6,1
7,0
8,3
9,9
10,5
11,2
12,6
13,11
14,0
15,2
16,4
17,8
18,1
19,4
20,6
21,8
22,0
23,10
24,3
25,7
26,9
27,1
28,3
29,2
30,5
31,12
32,0
33,2
34,12
35,7
36,0
37,4
38,7
39,1
40,4
41,6
42,8
43,10
44,2
45,4
46,0
47,9
48,3
49,8
50,10
51,1
52,3
53,5
54,8
55,1
56,2
57,5
58,11
59,0
60,2
61,5
62,7
63,0
64,11
65,3
66,5
67,4
68,7
69,1
70,6
71,4
72,9
73,11
74,2
75,4
76,19
77,0
78,2
79,0
80,10
81,3
82,8
83,10
84,1
85,3
86,6
87,8
88,1
89,9
90,4
91,6
92,2
93,5
94,12
95,0
96,2
97,5
98,7
99,0
100,21
101,3
102,18
103,20
104,1
105,3
106,4
107,7
108,1
109,4
110,6
111,9
112,11
113,2
114,4
115,19
116,0
117,2
118,10
119,5
120,0
121,0
122,9
123,3
124,10
125,13
126,1
127,3
128,6
129,8
130,1
131,9
132,4
133,19
134,12
135,2
136,4
137,2
138,5
139,11
140,0
141,2
142,5
143,7
144,0
145,10
146,3
147,5
148,20
149,1
150,3
151,6
152,8
153,1
154,4
155,7
156,1
157,4
158,6
159,8
160,14
161,2
162,4
163,7
164,0
165,2
166,6
167,8
168,0
169,21
170,3
171,5
172,0
173,18
174,3
175,8
176,10
177,1
178,3
179,6
180,8
181,1
182,9
183,4
184,10
185,12
186,2
187,4
188,7
189,0
190,2
191,19
192,2
193,5
194,0
195,2
196,5
197,7
198,0
199,15
200,3
201,5
202,11
203,1
204,3
205,5
206,9
207,1
208,11
209,4
210,6
211,6
212,8
213,2
214,3
215,0
216,4
217,7
218,9
219,6
220,1
221,4
222,1
223,11
224,3
225,5
226,10
227,6
228,8
229,0
230,7
231,2
232,5
233,2
234,12
235,4
236,9
237,11
238,0
239,9
240,7
241,0
242,10
243,1
244,3
245,5
246,7
247,6
248,3
249,11
250,5
251,7
252,12
253,8
254,1
255,3
256,10
257,0
258,8
259,1
260,3
261,0
262,2
263,4
264,6
265,0
266,7
267,4
268,2
269,6
270,9
271,11
272,5
273,7
274,9
275,2
276,4
277,12
278,1
279,13
280,15
281,0
282,2
283,8
284,1
285,3
286,5
287,7
288,1
289,8
290,5
291,3
292,7
293,4
294,10
295,6
296,4
297,10
298,0
299,11
300,3
301,5
302,11
303,2
304,0
305,9
306,1
307,8
308,3
309,0
310,2
311,6
312,4
313,8
314,0
315,2
316,13
317,9
318,4
319,6
320,11
321,5
322,12
323,7
324,5
325,8
326,1
327,10
328,6
329,4
330,7
331,6
332,3
333,1
334,8
335,2
336,0
337,9
338,1
339,10
340,3
341,11
342,5
343,2
344,9
345,1
346,3
347,14
348,0
349,5
350,10
351,12
352,4
353,6
354,3
355,8
356,0
357,6
358,9
359,0
360,7
361,5
362,10
363,0
364,7
365,4
366,2
367,7
368,0
369,9
370,1
371,10
372,5
373,2
374,4
375,1
376,3
377,10
378,12
379,2
380,4
381,6
382,9
383,21
384,6
385,9
386,3
387,5
388,7
389,12
390,0
391,7
392,9
393,11
394,5
395,8
396,1
397,6
398,9
399,1
400,3
401,14
402,3
403,8
404,0
405,11
406,1
407,10
408,2
409,4
410,11
411,1
412,3
413,0
414,2
415,4
416,11
417,0
418,5
419,7
420,0
421,9
422,7
423,0
424,20
425,3
426,5
427,8
428,6
429,1
430,7
431,21
432,0
433,4
434,9
435,0
436,4
437,7
438,2
439,15
440,3
441,5
442,9
443,1
444,5
445,8
446,1
447,7
448,2
449,11
450,6
451,3
452,0
453,4
454,14
455,0
456,4
457,5
458,2
459,8
460,10
461,2
462,6
463,3
464,13
465,1
466,8
467,12
468,0
469,4
470,7
471,11
472,1
473,5
474,7
475,3
476,6
477,3
478,7
479,9
480,1
481,3
482,9
483,12
484,0
485,11
486,6
487,9
488,0
489,5
490,2
491,6
492,21
493,0
494,2
495,4
496,9
497,1
498,8
499,11
500,4
501,8
502,10
503,0
504,4
505,7
506,5
507,8
508,15
509,3
510,21
511,0
512,13
513,1
514,6
515,3
516,7
517,9
518,1
519,3
520,14
521,0
522,5
523,19
524,2
525,10
526,5
527,8
528,10
529,0
530,5
531,2
532,6
533,10
534,12
535,2
536,9
537,1
538,4
539,7
540,1
541,21
542,2
543,4
544,7
545,9
546,11
547,0
548,4
549,7
550,5
551,11
552,3
553,6
554,0
555,3
556,11
557,11
558,7
559,0
560,11
561,1
562,3
563,7
564,9
565,1
566,3
567,0
568,7
569,10
570,2
571,5
572,8
573,0
574,8
575,1
576,3
577,5
578,8
579,6
580,10
581,2
582,5
583,8
584,6
585,2
586,4
587,8
588,11
589,1
590,4
591,2
592,5
593,10
594,6
595,9
596,2
597,0
598,4
599,8
600,0
601,10
602,4
603,9
604,11
605,0
606,3
607,6
608,9
609,7
610,5
611,9
612,2
613,0
614,4
615,7
616,21
617,11
618,1
619,3
620,6
621,1
622,7
623,3
624,5
625,7
626,10
627,0
628,3
629,1
630,8
631,4
632,2
633,6
634,10
635,8
636,0
637,4
638,1
639,3
640,5
641,8
642,6
643,9
644,11
645,1
646,10
647,3
648,0
649,2
650,4
651,18
652,6
653,1
654,5
655,8
656,19
657,0
658,2
659,9
660,11
661,7
662,12
663,1
664,3
665,5
666,19
667,5
668,0
669,2
670,4
671,6
672,9
673,21
674,1
675,3
676,21
677,7
678,10
679,8
680,0
681,2
682,4
683,6
684,8
685,0
686,2
687,9
688,1
689,3
690,5
691,7
692,20
693,0
694,2
695,4
696,6
697,5
698,12
699,4
700,6
701,9
702,1
703,3
704,5
705,7
706,9
707,1
708,3
709,3
710,1
711,7
712,0
713,2
714,4
715,6
716,8
717,1
718,3
719,5
720,7
721,0
722,8
723,21
724,19
725,3
726,8
727,10
728,0
729,2
730,4
731,13
732,0
733,2
734,4
735,6
736,4
737,0
738,2
739,9
740,1
741,5
742,3
743,7
744,9
745,11
746,8
747,10
748,12
749,1
750,3
751,9
752,7
753,11
754,4
755,6
756,11
757,9
758,1
759,5
760,0
761,2
762,4
763,6
764,8
765,5
766,0
767,12
768,1
769,3
770,8
771,0
772,2
773,4
774,6
