vertex,label
0,0
1,0
2,2
3,18
4,4
5,4
6,4
7,12
8,3
9,9
10,8
11,6
12,14
13,176
14,4
15,228
16,177
17,255
18,7
19,0
20,147
21,49
22,5
23,0
24,1
25,2
26,11
27,15
28,5
29,57
30,5
31,5
32,1
33,7
34,1
35,1
36,4
37,1
38,2
39,9
40,1
41,27
42,12
43,16
44,26
45,4
46,11
47,23
48,18
49,40
50,5
51,24
52,24
53,2
54,1
55,9
56,17
57,11
58,4
59,25
60,21
61,6
62,148
63,1
64,8
65,17
66,5
67,9
68,2
69,14
70,10
71,0
72,0
73,5
74,21
75,33
76,113
77,5
78,11
79,132
80,58
81,19
82,2
83,12
84,22
85,7
86,4
87,0
88,5
89,229
90,13
91,1
92,13
93,2
94,7
95,6
96,1
97,3
98,114
99,2
100,16
101,21
102,23
103,24
104,25
105,7
106,1
107,4
108,6
109,8
110,7
111,10
112,3
113,50
114,14
115,34
116,11
117,59
118,15
119,12
120,3
121,2
122,4
123,19
124,2
125,21
126,9
127,3
128,10
129,2
130,1
131,19
132,9
133,41
134,1
135,20
136,9
137,2
138,9
139,5
140,256
141,10
142,17
143,13
144,13
145,1
146,14
147,29
148,10
149,20
150,19
151,2
152,14
153,17
154,14
155,18
156,2
157,8
158,33
159,15
160,35
161,20
162,5
163,17
164,26
165,26
166,133
167,0
168,23
169,21
170,7
171,1
172,230
173,1
174,2
175,23
176,204
177,21
178,15
179,8
180,15
181,2
182,4
183,3
184,12
185,7
186,9
187,28
188,29
189,7
190,7
191,3
192,4
193,3
194,3
195,10
196,3
197,5
198,2
199,6
200,5
201,5
202,6
203,2
204,1
205,7
206,9
207,2
208,178
209,11
210,8
211,149
212,60
213,3
214,6
215,6
216,205
217,5
218,4
219,42
220,17
221,14
222,13
223,61
224,14
225,3
226,26
227,11
228,1
229,1
230,22
231,24
232,5
233,1
234,1
235,14
236,1
237,15
238,150
239,5
240,2
241,2
242,6
243,8
244,3
245,12
246,6
247,8
248,14
249,21
250,19
251,51
252,8
253,20
254,62
255,8
256,11
257,13
258,22
259,4
260,10
261,0
262,1
263,15
264,9
265,3
266,9
267,10
268,11
269,27
270,18
271,13
272,15
273,18
274,17
275,20
276,9
277,4
278,16
279,6
280,4
281,20
282,0
283,19
284,6
285,10
286,115
287,2
288,5
289,2
290,2
291,2
292,1
293,13
294,9
295,1
296,11
297,0
298,14
299,12
300,17
301,3
302,5
303,2
304,8
305,18
306,257
307,258
308,279
309,259
310,9
311,10
312,280
313,281
314,260
315,231
316,261
317,179
318,10
319,6
320,262
321,232
322,263
323,282
324,116
325,283
326,13
327,284
328,285
329,286
330,287
331,180
332,63
333,206
334,207
335,208
336,181
337,134
338,264
339,265
340,209
341,210
342,266
343,2
344,151
345,182
346,183
347,152
348,211
349,233
350,288
351,234
352,8
353,135
354,90
355,91
356,184
357,76
358,92
359,7
360,3
361,9
362,12
363,267
364,17
365,21
366,13
367,14
368,15
369,6
370,289
371,15
372,12
373,52
374,21
375,10
376,64
377,13
378,22
379,14
380,4
381,16
382,117
383,23
384,19
385,93
386,19
387,153
388,65
389,21
390,11
391,18
392,29
393,0
394,6
395,1
396,0
397,22
398,6
399,5
400,154
401,43
402,0
403,2
404,12
405,294
406,290
407,6
408,27
409,291
410,185
411,20
412,21
413,24
414,23
415,5
416,16
417,15
418,25
419,137
420,53
421,26
422,5
423,66
424,4
425,54
426,55
427,5
428,5
429,9
430,15
431,20
432,34
433,26
434,118
435,4
436,16
437,4
438,9
439,27
440,94
441,155
442,95
443,2
444,0
445,9
446,21
447,12
448,28
449,23
450,24
451,3
452,6
453,12
454,12
455,3
456,11
457,25
458,1
459,186
460,35
461,30
462,4
463,22
464,156
465,3
466,11
467,16
468,24
469,26
470,8
471,17
472,67
473,6
474,2
475,24
476,26
477,5
478,27
479,25
480,20
481,29
482,9
483,14
484,13
485,10
486,77
487,8
488,18
489,19
490,4
491,17
492,16
493,18
494,19
495,11
496,28
497,25
498,22
499,14
500,21
501,68
502,119
503,78
504,1
505,3
506,96
507,27
508,268
509,2
510,295
511,120
512,121
513,157
514,235
515,158
516,236
517,237
518,212
519,36
520,4
521,97
522,9
523,16
524,6
525,7
526,22
527,159
528,269
529,213
530,238
531,160
