vertex,label
0,2
1,4
2,0
3,2
4,4
5,6
6,0
7,2
8,4
9,6
10,0
11,2
12,4
13,6
14,0
15,2
16,4
17,6
18,0
19,2
20,4
21,6
22,0
23,5
24,7
25,16
26,6
27,8
28,10
29,12
30,16
31,9
32,12
33,8
34,10
35,7
36,9
37,14
38,10
39,15
40,11
41,8
42,10
43,7
44,9
45,11
46,3
47,10
48,1
49,3
50,14
51,1
52,15
53,5
54,1
55,3
56,5
57,1
58,3
59,5
60,1
61,3
62,12
63,1
64,13
65,5
66,16
67,3
68,5
69,1
70,8
71,15
72,8
73,11
74,13
75,7
76,9
77,11
78,13
79,7
80,14
81,11
82,13
83,15
84,12
85,16
86,13
87,7
88,9
89,14
90,12
91,16
92,8
93,12
94,16
95,14
96,1
97,3
98,5
99,15
100,1
101,3
102,5
103,16
104,1
105,3
106,5
107,7
108,1
109,3
110,5
111,15
112,1
113,3
114,5
115,10
116,1
117,3
118,7
119,10
120,6
121,9
122,0
123,8
124,6
125,10
126,0
127,8
128,6
129,10
130,0
131,9
132,11
133,8
134,0
135,10
136,6
137,8
138,0
139,7
140,13
141,5
142,0
143,4
144,13
145,14
146,15
147,4
148,16
149,4
150,5
151,15
152,3
153,5
154,5
155,4
156,3
157,7
158,2
159,7
160,15
161,2
162,0
163,7
164,16
165,5
166,0
167,4
168,0
169,14
170,0
171,5
172,13
173,6
174,10
175,3
176,9
177,3
178,9
179,9
180,2
181,11
182,16
183,2
184,12
185,4
186,15
187,11
188,4
189,2
190,15
191,4
192,2
193,6
194,4
195,2
196,13
197,4
198,2
199,9
200,16
201,2
202,8
203,12
204,5
205,13
206,7
207,14
208,9
209,7
210,13
211,9
212,16
213,13
214,8
215,12
216,10
217,16
218,12
219,7
220,11
221,16
222,14
223,6
224,4
225,11
226,15
227,10
228,0
