vertex,label
0,39
1,41
2,43
3,45
4,47
5,49
6,54
7,56
8,58
9,17
10,69
11,71
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,73
22,75
23,110
24,19
25,21
26,23
27,25
28,27
29,31
30,0
31,0
32,0
33,0
34,0
35,0
36,35
37,37
38,51
39,104
40,106
41,108
42,112
43,122
44,125
45,1
46,3
47,5
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,7
58,9
59,11
60,64
61,66
62,78
63,80
64,82
65,84
66,86
67,88
68,90
69,36
70,115
71,117
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,121
82,127
83,129
84,149
85,151
86,153
87,156
88,158
89,160
90,0
91,0
92,0
93,0
94,0
95,0
96,51
97,53
98,98
99,100
100,102
101,104
102,106
103,108
104,112
105,55
106,93
107,133
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,135
118,173
119,175
120,1
121,3
122,13
123,162
124,167
125,170
126,0
127,0
128,0
129,0
130,0
131,0
132,96
133,110
134,122
135,124
136,163
137,165
138,29
139,39
140,41
141,119
142,146
143,148
144,150
145,152
146,154
147,16
148,31
149,33
150,35
151,179
152,196
153,198
154,200
155,209
156,0
157,2
158,184
159,192
160,202
161,204
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,2
170,4
171,6
172,8
173,10
174,12
175,14
176,16
177,60
178,62
179,68
180,70
181,72
182,74
183,29
184,33
185,76
186,79
187,81
188,83
189,85
190,87
191,89
192,91
193,93
194,95
195,97
196,99
197,101
198,147
199,152
200,154
201,157
202,159
203,161
204,18
205,20
206,22
207,24
208,26
209,28
210,30
211,32
212,34
213,92
214,94
215,114
216,116
217,118
218,120
219,96
220,103
221,105
222,107
223,109
224,111
225,5
226,7
227,9
228,11
229,15
230,37
231,57
232,59
233,61
234,126
235,128
236,130
237,132
238,134
239,136
240,123
241,138
242,140
243,142
244,144
245,147
246,17
247,68
248,70
249,72
250,74
251,76
252,44
253,46
254,48
255,174
256,180
257,182
258,195
259,197
260,199
261,25
262,27
263,145
264,149
265,151
266,153
267,36
268,38
269,40
270,42
271,44
272,46
273,48
274,50
275,52
276,113
277,115
278,117
279,119
280,121
281,124
282,57
283,59
284,61
285,110
286,126
287,128
288,130
289,132
290,134
291,136
292,138
293,140
294,142
295,144
296,146
297,155
298,163
299,166
300,169
301,171
302,173
303,55
304,63
305,65
306,67
307,69
308,71
309,73
310,75
311,77
312,127
313,129
314,131
315,133
316,135
317,150
318,137
319,139
320,141
321,143
322,145
323,148
324,79
325,81
326,83
327,85
328,87
329,89
330,91
331,93
332,95
333,155
334,157
335,159
336,161
337,169
338,171
339,125
340,152
341,164
342,166
343,173
344,175
345,97
346,99
347,101
348,103
349,105
350,107
351,50
352,52
353,54
354,193
355,203
356,205
357,217
358,219
359,221
360,186
361,188
362,190
363,201
364,207
365,209
366,1
367,3
368,13
369,17
370,19
371,21
372,23
373,25
374,27
375,90
376,92
377,94
378,118
379,120
380,122
381,54
382,72
383,74
384,78
385,80
386,82
387,84
388,86
389,88
390,112
391,114
392,116
393,149
394,151
395,153
396,164
397,175
398,177
399,179
400,182
401,184
402,31
403,58
404,60
405,98
406,100
407,102
408,104
409,106
410,108
411,154
412,156
413,158
414,160
415,162
416,168
417,165
418,170
419,172
420,174
421,176
422,178
423,39
424,41
425,43
426,45
427,47
428,110
429,112
430,114
431,116
432,136
433,192
434,195
435,197
436,199
437,218
438,128
439,130
440,132
441,134
442,177
443,179
444,6
445,8
446,118
447,120
448,122
449,124
450,23
451,33
452,35
453,212
454,214
455,216
456,1
457,3
458,13
459,143
460,220
461,222
462,224
463,226
464,228
465,5
466,7
467,9
468,11
469,15
470,29
471,33
472,35
473,37
474,96
475,119
476,121
477,123
478,127
479,129
480,45
481,47
482,76
483,103
484,105
485,107
486,109
487,125
488,131
489,133
490,135
491,147
492,155
493,157
494,159
495,39
496,41
497,43
498,166
499,169
500,171
501,49
502,51
503,53
504,56
505,62
506,64
507,66
508,68
509,70
510,150
511,161
512,163
513,167
514,181
515,183
516,117
517,185
518,187
519,189
520,191
521,193
522,72
523,74
524,76
525,78
526,80
527,82
528,84
529,86
530,88
531,153
532,155
533,169
534,171
535,202
536,205
537,138
538,140
539,142
540,144
541,147
542,194
543,37
544,90
545,92
546,94
547,96
548,126
549,25
550,27
551,29
552,146
553,185
554,193
555,217
556,230
557,232
558,149
559,151
560,176
561,211
562,213
563,215
564,0
565,2
566,18
567,20
568,22
569,24
570,26
571,40
572,42
573,89
574,120
575,122
576,137
577,139
578,141
579,50
580,52
581,71
582,73
583,79
584,81
585,83
586,85
587,87
588,92
589,94
590,111
591,113
592,115
593,118
594,144
595,168
596,173
597,175
598,177
599,179
600,44
601,46
602,59
603,91
604,93
605,95
606,97
607,99
608,101
609,152
610,154
611,156
612,158
613,160
614,162
615,124
616,126
617,143
618,145
619,148
620,164
621,32
622,34
623,103
624,105
625,107
626,109
627,111
628,113
629,115
630,133
631,135
632,182
633,184
634,186
635,188
636,125
637,166
638,168
639,175
640,180
641,190
642,40
643,42
644,48
645,50
646,52
647,54
648,18
649,20
650,22
651,157
652,159
653,173
654,191
655,196
656,198
657,145
658,165
659,178
660,200
661,203
662,207
663,4
664,6
665,8
666,10
667,12
668,14
669,16
670,28
671,30
672,48
673,104
674,106
675,108
676,121
677,128
678,32
679,34
680,54
681,58
682,60
683,75
684,77
685,90
686,96
687,98
688,100
689,102
690,123
691,130
692,132
693,138
694,140
695,142
696,163
697,165
698,170
699,36
700,38
701,55
702,57
703,61
704,63
705,65
706,67
707,69
708,119
709,134
710,136
711,150
712,153
713,161
714,110
715,112
716,114
717,116
718,167
719,169
720,71
721,73
722,75
723,77
724,79
725,81
726,83
727,85
728,87
729,155
730,163
731,171
732,183
733,192
734,195
735,1
736,3
737,17
738,19
739,21
740,23
741,30
742,45
743,58
744,60
745,89
746,98
747,13
748,15
749,24
750,120
751,127
752,131
753,167
754,169
755,174
756,6
757,8
758,10
759,26
760,28
761,122
762,25
763,41
764,43
765,45
766,47
767,49
768,51
769,72
770,80
771,82
772,84
773,86
774,88
775,120
776,127
777,1
778,19
779,21
780,23
781,37
782,39
783,56
784,62
785,64
786,66
787,68
788,70
789,105
790,107
791,109
792,117
793,125
794,147
795,152
796,155
797,157
798,33
799,53
800,129
801,133
802,135
803,137
804,139
805,141
806,144
807,146
808,149
809,151
810,154
811,156
812,158
813,74
814,76
815,78
816,122
817,131
818,173
819,92
820,94
821,96
822,100
823,102
824,117
825,160
826,162
827,170
828,172
829,176
830,179
831,181
832,184
833,186
834,5
835,7
836,9
837,11
838,27
839,29
840,47
841,62
842,110
843,112
844,124
845,126
846,43
847,49
848,64
849,104
850,106
851,108
852,128
853,130
854,132
855,41
856,66
857,143
858,188
859,198
860,202
861,0
862,2
863,4
864,19
865,21
866,23
867,25
868,27
869,29
870,7
871,9
872,11
873,13
874,15
875,46
876,48
877,51
878,53
879,17
880,31
881,33
882,35
883,37
884,40
885,43
886,56
887,58
888,107
889,109
890,111
891,68
892,70
893,72
894,92
895,113
896,115
897,60
898,62
899,64
900,120
901,137
902,139
903,141
904,143
905,145
906,74
907,94
908,105
909,133
910,135
911,148
912,150
913,152
914,228
915,117
916,122
917,124
918,155
919,157
920,159
921,57
922,59
923,61
924,55
925,147
926,156
927,158
928,160
929,162
930,44
931,119
932,142
933,149
934,151
935,153
936,230
937,232
938,234
939,42
940,138
941,140
942,144
943,165
944,167
945,63
946,65
947,67
948,169
949,171
950,173
951,236
952,238
953,240
954,175
955,177
956,179
957,6
958,8
959,10
960,69
961,71
962,73
963,24
964,26
965,28
966,50
967,52
968,54
969,75
970,77
971,79
972,66
973,82
974,84
975,161
976,178
977,181
978,86
979,88
980,90
981,163
982,176
983,195
984,239
985,241
986,243
987,183
988,185
989,187
990,189
991,191
992,193
993,81
994,83
995,85
996,196
997,198
998,200
999,242
1000,244
1001,246
1002,188
1003,190
1004,192
1005,202
1006,204
1007,206
1008,87
1009,89
1010,91
1011,208
1012,210
1013,212
1014,12
1015,14
1016,16
1017,32
1018,34
1019,36
1020,38
1021,41
1022,45
1023,164
1024,166
1025,180
1026,76
1027,78
1028,93
1029,80
1030,95
1031,97
1032,168
1033,170
1034,172
1035,99
1036,101
1037,103
1038,174
1039,182
1040,184
1041,186
1042,194
1043,197
1044,249
1045,251
1046,253
1047,199
1048,201
1049,213
1050,96
1051,98
1052,100
1053,203
1054,205
1055,207
1056,209
1057,211
1058,214
1059,254
1060,256
1061,258
1062,216
1063,218
1064,220
1065,102
1066,104
1067,106
1068,222
1069,224
1070,226
1071,18
1072,20
1073,22
1074,108
1075,110
1076,112
1077,114
1078,116
1079,118
1080,121
1081,123
1082,125
1083,127
1084,129
1085,131
1086,217
1087,219
1088,221
1089,215
1090,223
1091,225
1092,126
1093,128
1094,130
1095,227
1096,229
1097,231
1098,233
1099,235
1100,237
1101,132
1102,134
1103,136
1104,7
1105,9
1106,24
1107,1
1108,3
1109,5
1110,47
1111,49
1112,51
1113,53
1114,177
1115,179
1116,68
1117,70
1118,72
1119,74
1120,77
1121,92
1122,188
1123,190
1124,192
1125,105
1126,115
1127,117
1128,202
1129,204
1130,206
1131,208
1132,210
1133,212
1134,259
1135,261
1136,263
1137,228
1138,230
1139,232
1140,75
1141,79
1142,94
1143,175
1144,181
1145,183
1146,185
1147,187
1148,189
1149,260
1150,262
1151,264
1152,234
1153,236
1154,238
1155,119
1156,122
1157,124
1158,191
1159,193
1160,240
1161,26
1162,28
1163,30
1164,37
1165,138
1166,140
1167,142
1168,144
1169,146
1170,133
1171,135
1172,148
1173,150
1174,152
1175,154
1176,178
1177,239
1178,241
1179,243
1180,245
1181,247
1182,149
1183,151
1184,153
1185,242
1186,244
1187,246
1188,248
1189,250
1190,252
1191,155
1192,157
1193,159
1194,11
1195,13
1196,15
1197,19
1198,21
1199,27
1200,29
1201,31
1202,33
1203,54
1204,57
1205,59
1206,39
1207,43
1208,81
1209,83
1210,85
1211,87
1212,120
1213,137
1214,139
1215,89
1216,107
1217,109
1218,141
1219,147
1220,156
1221,158
1222,160
1223,162
1224,61
1225,216
1226,254
1227,176
1228,180
1229,196
1230,84
1231,86
1232,88
1233,164
1234,166
1235,169
1236,171
1237,173
1238,195
1239,256
1240,258
1241,265
1242,198
1243,200
1244,218
1245,90
1246,111
1247,113
1248,213
1249,215
1250,220
1251,0
1252,2
1253,4
1254,143
1255,145
1256,161
1257,163
1258,165
1259,167
1260,56
1261,58
1262,60
1263,62
1264,64
1265,66
1266,199
1267,201
1268,223
1269,225
1270,233
1271,235
1272,63
1273,65
1274,67
1275,237
1276,249
1277,251
1278,253
1279,255
1280,257
1281,69
1282,71
1283,73
1284,6
1285,8
1286,17
1287,23
1288,25
1289,35
1290,38
1291,40
1292,42
1293,50
1294,52
1295,104
1296,44
1297,46
1298,48
1299,68
1300,70
1301,72
1302,96
1303,98
1304,100
1305,76
1306,78
1307,80
1308,102
1309,112
1310,114
1311,118
1312,123
1313,125
1314,214
1315,230
1316,232
1317,127
1318,129
1319,131
1320,82
1321,93
1322,95
1323,121
1324,126
1325,128
1326,130
1327,132
1328,134
1329,236
1330,238
1331,248
1332,136
1333,203
1334,205
1335,97
1336,99
1337,101
1338,142
1339,144
1340,146
1341,20
1342,22
1343,32
1344,41
1345,103
1346,116
