vertex,label
0,0
1,2
2,8
3,3
4,6
5,11
6,4
7,8
8,12
9,3
10,10
11,5
12,1
13,12
14,9
15,0
16,8
17,4
18,10
19,0
20,7
21,12
22,5
23,9
24,1
25,5
26,9
27,13
28,0
29,2
30,3
31,4
32,7
33,12
34,9
35,6
36,2
37,13
38,11
39,10
40,1
41,3
42,8
43,6
44,10
45,0
46,3
47,1
48,10
49,4
50,0
51,6
52,4
53,7
54,12
55,0
56,2
57,11
58,9
59,5
60,2
61,12
62,7
63,0
64,3
65,9
66,5
67,2
68,12
69,0
70,11
71,13
72,10
73,1
74,4
75,8
76,13
77,6
78,0
79,10
80,7
81,2
82,11
83,13
84,4
85,8
86,6
87,11
88,1
89,13
90,7
91,4
92,0
93,6
94,3
95,12
96,5
97,9
98,11
99,2
100,7
101,6
102,3
103,13
104,6
105,3
106,1
107,4
108,7
109,3
110,5
111,0
112,2
113,6
114,1
115,8
116,0
117,10
118,1
119,4
120,0
121,6
122,12
123,0
124,4
125,9
126,0
127,2
128,4
129,13
130,1
131,8
132,0
133,10
134,2
135,11
136,13
137,8
138,1
139,12
140,0
141,2
142,9
143,0
144,11
145,0
146,3
147,11
148,9
149,3
150,7
151,1
152,5
153,0
154,3
155,0
156,1
157,7
158,9
159,10
160,5
161,5
162,2
163,0
164,10
165,7
166,0
167,6
168,1
169,13
170,0
171,2
172,4
173,0
174,2
175,13
176,3
177,1
178,13
179,0
180,2
181,10
182,13
183,8
184,5
185,2
186,0
187,2
188,0
189,12
190,13
191,3
192,4
193,11
194,0
195,7
196,10
197,1
198,6
199,0
200,3
201,6
202,5
203,1
204,13
205,9
206,7
207,11
208,0
209,2
210,0
211,7
212,4
213,2
214,0
215,6
216,10
217,12
218,8
219,2
220,12
221,8
222,4
223,0
224,0
225,10
226,7
227,2
228,9
229,5
230,2
231,0
232,13
233,6
234,9
235,0
236,2
237,12
238,8
239,5
240,0
241,7
242,11
243,13
244,1
