vertex,label
0,0
1,4
2,67
3,5
4,91
5,80
6,63
7,66
8,78
9,79
10,65
11,64
12,16
13,94
14,8
15,81
16,95
17,97
18,98
19,10
20,9
21,17
22,18
23,23
24,24
25,7
26,45
27,75
28,33
29,1
30,88
31,89
32,99
33,100
34,101
35,102
36,103
37,104
38,105
39,106
40,82
41,12
42,6
43,96
44,31
45,67
46,76
47,83
48,8
49,76
50,16
51,7
52,1
53,0
54,33
55,13
56,11
57,17
58,25
59,26
60,32
61,19
62,9
63,20
64,27
65,10
66,5
67,46
68,1
69,21
70,47
71,33
72,48
73,22
74,97
75,28
76,14
77,34
78,98
79,35
80,36
81,37
82,99
83,68
84,18
85,100
86,49
87,16
88,101
89,50
90,38
91,39
92,40
93,41
94,102
95,42
96,23
97,103
98,43
99,33
100,104
101,105
102,51
103,69
104,71
105,67
106,88
107,30
108,24
109,89
110,45
111,52
112,77
113,53
114,54
115,90
116,84
117,29
118,91
119,63
120,64
121,55
122,56
123,92
124,70
125,57
126,58
127,72
128,73
129,59
130,60
131,61
132,62
133,29
134,30
135,44
136,2
137,74
138,85
139,15
140,65
141,86
142,1
143,3
144,0
145,0
146,66
147,3
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,14
158,63
159,64
160,65
161,31
162,78
163,66
164,79
165,75
166,80
167,30
168,81
169,82
170,83
171,84
172,85
173,86
174,93
175,87
176,74
177,90
178,94
179,87
180,92
181,95
182,93
