vertex,label
0,29
1,27
2,33
3,20
4,11
5,19
6,25
7,32
8,5
9,22
10,44
11,17
12,23
13,36
14,42
15,23
16,8
17,16
18,4
19,30
20,41
21,5
22,24
23,8
24,27
25,6
26,28
27,45
28,46
29,22
30,41
31,40
32,17
33,1
34,34
35,35
36,0
37,6
38,28
39,26
40,10
41,36
42,1
43,0
44,29
45,37
46,12
47,20
48,41
49,13
50,0
51,13
52,18
53,26
54,43
55,33
56,2
57,6
58,18
59,3
60,7
61,9
62,25
63,28
64,12
65,40
66,28
67,30
68,3
69,32
70,32
71,44
72,12
73,14
74,47
75,49
76,48
77,50
78,51
79,46
80,17
81,20
82,38
83,34
84,37
85,38
86,36
87,37
88,21
89,44
90,19
91,17
92,37
93,2
94,35
95,14
96,39
97,43
98,21
99,26
100,24
101,28
102,39
103,30
104,9
105,29
106,31
107,40
108,31
109,38
110,14
111,43
112,23
113,30
114,2
115,4
116,21
117,27
118,7
119,9
120,29
121,18
122,29
123,33
124,39
125,34
126,36
127,13
128,14
129,15
130,3
131,15
132,26
133,31
134,10
135,35
136,11
137,32
138,7
139,2
140,18
141,36
142,37
143,42
144,30
145,33
146,34
147,40
148,30
149,18
150,24
151,21
152,19
153,30
154,22
155,8
156,11
157,38
158,29
159,10
160,22
161,20
162,13
163,22
164,44
165,31
166,27
167,8
168,24
169,15
170,3
171,26
172,24
173,12
174,41
175,32
176,25
177,14
178,35
179,41
180,36
181,1
182,40
183,28
184,40
185,13
186,37
187,10
188,37
189,16
190,31
191,33
192,19
193,3
194,29
195,20
196,34
197,30
198,36
199,23
200,30
201,34
202,31
203,34
204,3
205,9
206,16
207,10
208,30
209,43
210,35
211,34
212,33
213,43
214,31
215,34
216,38
217,39
218,35
219,44
220,42
221,35
222,45
223,16
224,37
225,17
226,13
227,25
228,33
229,46
230,30
231,35
232,30
233,31
234,37
235,23
236,30
237,18
238,27
239,23
240,36
241,33
242,21
243,14
244,16
245,3
246,46
247,48
248,7
249,18
250,16
251,37
252,24
253,44
254,2
255,26
256,8
257,41
258,35
259,39
260,27
261,1
262,41
263,33
264,33
265,41
266,34
267,26
268,46
269,37
270,3
271,12
272,29
273,24
274,0
275,30
276,5
277,23
278,28
279,30
280,33
281,34
282,22
283,23
284,5
285,18
286,40
287,35
288,43
289,5
290,24
291,37
292,4
293,41
294,29
295,33
296,41
297,8
298,6
299,27
300,39
301,11
302,2
303,9
304,25
305,17
306,38
307,28
308,36
309,31
310,32
311,4
312,28
313,36
314,42
315,6
316,7
317,34
318,6
319,16
320,30
321,41
322,5
323,43
324,7
325,28
326,13
327,14
328,28
329,19
330,20
331,6
332,42
333,25
334,6
335,26
336,3
337,0
338,40
339,38
340,24
341,23
342,34
343,35
344,45
345,46
346,15
347,24
348,25
349,39
350,18
351,9
352,17
353,16
354,40
355,5
356,28
357,7
358,32
359,1
