vertex,label
0,0
1,6
2,15
3,17
4,10
5,3
6,0
7,1
8,16
9,6
10,14
11,4
12,8
13,9
14,10
15,4
16,17
17,0
18,12
19,1
20,15
21,7
22,2
23,5
24,7
25,2
26,3
27,17
28,13
29,0
30,2
31,10
32,4
33,5
34,6
35,3
36,9
37,8
38,3
39,0
40,6
41,14
42,12
43,0
44,1
45,17
46,16
47,15
48,10
49,3
50,17
51,8
52,16
53,2
54,3
55,4
56,4
57,10
58,12
59,1
60,9
61,12
62,10
63,11
64,13
65,7
66,5
67,6
68,8
69,14
70,17
71,14
72,5
73,1
74,17
75,15
76,7
77,9
78,15
79,0
80,1
81,0
82,3
83,9
84,11
85,3
86,7
87,13
88,3
89,4
90,4
91,12
92,2
93,8
94,3
95,4
96,11
97,16
98,1
99,13
100,0
101,14
102,6
103,0
104,7
105,1
106,8
107,10
108,5
109,5
110,6
111,2
112,10
113,4
114,1
115,2
116,8
117,10
118,9
119,2
120,5
121,1
122,10
123,14
124,7
125,1
126,0
127,8
128,10
129,17
130,7
131,4
132,16
133,5
134,15
135,12
136,16
137,11
138,13
139,7
140,17
141,13
142,8
143,3
144,0
145,9
146,15
147,6
148,17
149,0
150,7
151,9
152,15
153,1
154,0
155,17
156,2
157,9
158,5
159,14
160,6
161,17
162,12
163,14
164,2
165,13
166,17
167,4
168,2
169,4
170,6
171,5
172,3
173,15
174,4
175,1
176,14
177,12
178,2
179,10
180,16
181,5
182,9
183,8
184,8
185,10
186,6
187,9
188,11
189,13
190,16
191,13
192,7
193,4
194,5
195,8
196,1
197,0
198,3
199,1
200,12
201,5
202,13
203,8
204,10
205,0
206,2
207,7
208,16
209,13
210,11
211,3
212,7
213,5
214,1
215,6
216,4
217,0
218,3
219,15
220,1
221,5
222,6
223,17
224,2
225,2
226,0
227,1
228,15
229,17
230,14
231,10
232,0
233,9
234,16
235,1
236,4
237,12
238,9
239,15
240,6
241,8
242,5
243,13
244,3
245,16
246,2
247,5
248,2
249,3
250,4
251,8
252,14
253,0
254,1
255,16
256,11
257,4
258,8
259,6
260,8
261,7
262,11
263,5
264,8
265,12
266,3
267,0
268,14
269,4
270,9
271,0
272,17
273,15
274,13
275,9
276,0
277,7
278,15
279,5
280,10
281,12
282,7
283,6
284,14
285,7
286,1
287,2
288,13
289,2
290,17
291,7
292,14
293,0
294,12
295,1
296,16
297,17
298,7
299,11
300,8
301,4
302,2
303,3
304,0
305,3
306,6
307,3
308,1
309,0
310,5
311,9
312,13
313,5
314,15
315,13
316,6
317,3
318,0
319,17
320,15
321,9
322,1
323,11
324,8
325,6
326,1
327,4
328,17
329,16
330,1
331,4
332,2
333,14
334,2
335,12
336,0
337,10
338,9
339,7
340,0
341,16
342,2
