vertex,label
0,11
1,13
2,4
3,8
4,14
5,1
6,5
7,2
8,0
9,12
10,7
11,9
12,2
13,0
14,13
15,1
16,5
17,3
18,2
19,10
20,4
21,14
22,4
23,7
24,6
25,14
26,2
27,0
28,1
29,9
30,11
31,4
32,8
33,14
34,12
35,4
36,9
37,1
38,2
39,0
40,8
41,14
42,7
43,9
44,6
45,11
46,0
47,11
48,12
49,3
50,1
51,10
52,10
53,6
54,6
55,14
56,2
57,1
58,9
59,13
60,13
61,10
62,6
63,3
64,5
65,12
66,9
67,1
68,5
69,14
70,7
71,8
72,10
73,2
74,2
75,1
76,11
77,7
78,10
79,12
80,12
81,8
82,4
83,13
84,4
85,0
86,9
87,14
88,14
89,11
90,2
91,6
92,2
93,4
94,2
95,13
96,6
97,0
98,8
99,6
100,5
101,3
102,14
103,0
104,9
105,7
106,12
107,6
108,9
109,9
110,1
111,1
112,5
113,13
114,4
115,9
116,8
117,7
118,1
119,6
120,11
121,12
122,10
123,11
124,11
125,13
126,0
127,3
128,4
129,2
130,14
131,8
132,13
133,0
134,11
135,14
136,5
137,13
138,10
139,6
140,7
141,2
142,1
143,14
144,9
145,5
146,0
147,1
148,8
149,9
150,12
151,7
152,2
153,6
154,12
155,10
156,11
157,4
158,14
159,7
160,7
161,4
162,5
163,1
164,12
165,12
166,6
167,13
168,1
169,9
170,14
171,4
172,11
173,12
174,11
175,10
176,2
177,1
178,5
179,8
180,3
181,0
182,2
183,5
184,8
185,8
186,2
187,9
188,14
189,0
190,10
191,0
192,7
193,1
194,6
195,10
196,13
197,7
198,14
199,0
200,9
201,3
202,13
203,11
204,5
205,4
206,12
