vertex,label
0,7
1,11
2,8
3,14
4,1
5,10
6,12
7,0
8,4
9,9
10,0
11,13
12,12
13,3
14,15
15,5
16,12
17,9
18,2
19,11
20,7
21,14
22,8
23,4
24,14
25,6
26,13
27,10
28,2
29,11
30,0
31,1
32,15
33,1
34,14
35,15
36,13
37,12
38,13
39,5
40,6
41,7
42,15
43,8
44,0
45,9
46,1
47,5
48,13
49,2
50,0
51,6
52,3
53,5
54,2
55,0
56,11
57,13
58,9
59,14
60,12
61,10
62,3
63,9
64,15
65,13
66,5
67,7
68,1
69,6
70,12
71,8
72,15
73,9
74,4
75,11
76,14
77,14
78,1
79,1
80,14
81,8
82,0
83,11
84,7
85,6
86,5
87,1
88,12
89,9
90,8
91,10
92,4
93,3
94,8
95,6
96,5
97,13
98,15
99,7
100,0
101,2
102,14
103,11
104,5
105,12
106,3
107,15
108,5
109,1
110,15
111,1
112,5
113,1
114,9
115,10
116,8
117,5
118,3
119,7
120,6
121,0
122,15
123,11
124,4
125,14
126,2
127,13
128,15
129,12
130,11
131,2
132,10
133,4
134,0
135,13
136,3
