vertex,label
0,11
1,12
2,18
3,4
4,6
5,7
6,8
7,10
8,9
9,1
10,1
11,13
12,3
13,2
14,5
15,8
16,10
17,16
18,7
19,11
20,17
21,9
22,15
23,0
24,18
25,20
26,45
27,16
28,12
29,46
30,47
31,43
32,48
33,34
34,1
35,5
36,8
37,16
38,12
39,14
40,17
41,10
42,15
43,1
44,2
45,42
46,0
47,43
48,28
49,7
50,9
51,11
52,13
53,15
54,17
55,19
56,21
57,23
58,26
59,4
60,34
61,14
62,3
63,12
64,16
65,18
66,20
67,45
68,47
69,46
70,5
71,3
72,0
73,7
74,37
75,4
76,21
77,39
78,41
79,44
80,48
81,7
82,5
83,20
84,18
85,46
86,25
87,34
88,32
89,35
90,10
91,12
92,14
93,11
94,36
95,2
96,1
97,33
98,22
99,24
100,25
101,27
102,28
103,29
104,30
105,31
106,32
107,38
108,37
109,39
110,35
111,40
112,41
113,44
114,4
115,5
116,6
117,0
118,9
119,3
120,20
121,7
122,19
123,45
124,46
125,18
126,30
127,11
128,38
129,36
130,47
131,23
132,22
133,24
134,25
135,26
136,27
137,28
138,31
139,29
140,32
141,33
142,42
143,43
144,13
145,34
146,6
147,8
148,12
149,15
150,14
151,16
152,17
153,18
154,21
155,23
156,22
157,24
158,25
159,19
160,1
161,3
162,1
163,3
164,1
165,3
166,1
167,6
168,2
169,4
170,5
171,6
172,7
173,9
174,11
175,10
176,13
177,8
178,0
179,9
180,6
181,7
182,13
183,22
184,19
185,20
186,21
187,25
188,24
189,3
190,23
191,7
192,9
193,13
194,19
195,20
196,21
197,22
198,8
199,23
200,4
201,5
202,11
203,8
204,2
205,5
206,10
207,12
208,14
209,17
210,15
211,10
212,14
213,8
214,12
215,15
216,17
217,4
218,11
219,16
220,26
221,0
222,0
223,1
224,2
