vertex,label
0,12
1,8
2,10
3,6
4,8
5,10
6,12
7,8
8,2
9,7
10,5
11,3
12,1
13,4
14,8
15,12
16,1
17,8
18,6
19,0
20,3
21,10
22,0
23,2
24,4
25,0
26,2
27,5
28,1
29,3
30,0
31,2
32,4
33,0
34,7
35,9
36,5
37,7
38,9
39,6
40,11
41,14
42,1
43,3
44,11
45,6
46,8
47,10
48,0
49,13
50,4
51,2
52,7
53,9
54,11
55,4
56,1
57,3
58,0
59,2
60,4
61,0
62,2
63,4
64,7
65,14
66,0
67,8
68,5
69,7
70,4
71,6
72,15
73,13
74,10
75,12
76,15
77,6
78,9
79,1
80,3
81,7
82,4
83,2
84,11
85,12
86,0
87,13
88,9
89,5
90,2
91,6
92,11
93,7
94,10
95,1
96,15
97,3
98,13
99,5
100,10
101,3
102,11
103,1
104,12
105,7
106,4
107,13
108,6
109,0
110,2
111,4
112,0
113,2
114,4
115,1
116,6
117,8
118,10
119,6
120,8
121,10
122,6
123,8
124,15
125,3
126,1
127,5
128,2
129,0
130,7
131,9
132,11
133,7
134,4
135,5
136,13
137,0
138,9
139,8
140,3
141,5
142,6
143,1
144,9
145,3
146,1
147,4
148,0
149,2
150,4
151,0
152,2
153,7
154,4
155,10
156,5
157,11
158,8
159,5
160,7
161,10
162,3
163,9
164,6
165,14
166,7
167,11
168,5
169,0
170,11
171,1
172,3
173,9
174,13
175,2
176,4
177,8
178,5
179,15
180,6
181,0
182,10
183,7
184,9
185,12
186,14
187,1
188,8
189,6
190,12
191,4
192,9
193,3
194,10
195,0
196,5
197,9
198,0
199,2
200,4
201,0
202,2
203,4
204,0
205,3
206,5
207,15
208,9
209,11
210,5
211,8
212,6
213,10
214,13
215,1
216,3
217,12
218,2
219,0
220,6
221,8
222,0
223,4
224,7
225,10
226,5
227,9
228,1
229,7
230,3
231,6
232,11
233,8
234,13
235,5
236,1
237,3
238,0
239,2
240,4
241,0
242,2
243,15
244,7
245,9
246,11
247,7
248,3
249,9
250,11
251,13
252,1
253,10
254,12
255,9
256,5
257,8
258,10
259,4
260,2
261,6
262,1
263,11
264,6
265,0
266,11
267,3
268,7
269,9
270,5
271,8
272,12
273,5
274,1
275,6
276,10
277,3
278,13
279,5
280,3
281,6
282,0
283,2
284,4
285,0
286,2
287,4
288,8
289,0
290,3
291,1
292,4
293,0
294,2
295,4
296,6
297,10
298,12
299,6
300,8
301,10
302,7
303,9
304,8
305,1
306,3
307,5
308,12
309,4
310,5
311,7
312,0
313,9
314,14
315,9
316,2
317,6
318,11
319,11
320,8
321,13
322,5
323,10
324,7
325,2
326,4
327,0
328,2
329,4
330,0
331,2
332,4
333,0
334,6
335,1
336,3
337,0
338,2
339,4
340,0
341,3
342,11
343,7
344,12
345,6
346,8
347,10
348,6
349,9
350,1
351,3
352,11
353,5
354,12
355,6
356,8
357,0
358,7
359,9
360,10
361,4
362,12
363,14
364,7
365,9
366,6
367,5
368,11
369,8
370,5
371,11
372,4
373,12
374,3
375,7
376,4
377,9
378,6
379,0
380,2
381,4
382,0
383,2
384,4
385,1
386,7
387,9
388,5
389,7
390,10
391,5
392,7
393,15
394,11
395,3
396,1
397,8
398,3
399,1
400,6
401,9
402,4
403,0
404,10
405,12
406,7
407,2
408,6
409,15
410,5
411,13
412,8
413,1
414,14
415,3
416,1
417,4
418,0
419,2
420,4
421,0
422,2
423,13
424,4
425,10
426,15
427,11
428,5
429,7
430,9
431,5
432,3
433,8
434,10
435,5
436,7
437,9
438,5
439,0
440,6
441,1
442,3
443,11
444,13
445,2
446,4
447,8
448,6
449,15
450,9
451,0
452,10
453,12
454,3
455,7
456,14
457,1
458,9
459,12
460,8
461,5
462,7
463,1
464,13
465,5
466,7
467,12
468,6
469,0
470,2
471,4
472,0
473,2
474,4
475,1
476,5
477,8
478,6
479,10
480,8
481,11
482,6
483,12
484,15
485,3
486,1
487,5
488,2
489,0
490,11
491,13
492,7
493,10
494,4
495,5
496,15
497,0
498,6
499,12
500,3
501,8
502,6
503,1
504,10
505,3
506,1
507,4
508,0
509,2
510,4
511,0
512,2
513,9
514,4
515,15
516,5
517,8
518,10
519,5
520,7
521,15
522,3
523,6
524,14
525,9
526,13
527,8
528,5
529,0
530,11
531,1
532,3
533,6
534,11
535,2
536,4
537,10
538,12
539,15
540,6
541,0
542,5
543,7
544,3
545,11
546,9
547,1
548,6
549,13
550,8
551,5
552,3
553,1
554,12
555,4
556,15
557,3
558,10
559,0
560,2
561,4
562,0
563,2
564,4
565,1
566,5
567,7
568,12
569,15
570,5
571,8
572,6
573,10
574,14
575,3
576,1
577,10
578,2
579,0
580,6
581,11
582,4
583,13
584,9
585,13
586,15
587,0
588,7
589,7
590,10
591,14
592,12
593,6
594,8
595,14
596,3
597,10
598,12
