vertex,label
0,3
1,7
2,15
3,6
4,9
5,0
6,0
7,16
8,8
9,0
10,4
11,4
12,11
13,17
14,2
15,4
16,16
17,4
18,7
19,0
20,4
21,17
22,0
23,4
24,0
25,6
26,3
27,2
28,8
29,3
30,9
31,17
32,1
33,6
34,15
35,5
36,0
37,18
38,0
39,0
40,7
41,4
42,18
43,0
44,3
45,7
46,0
47,9
48,3
49,4
50,4
51,17
52,5
53,0
54,9
55,10
56,10
57,15
58,13
59,5
60,6
61,0
62,4
63,17
64,15
65,8
66,1
67,0
68,11
69,3
70,0
71,10
72,0
73,0
74,0
75,18
76,2
77,17
78,18
79,1
80,6
81,8
82,1
83,1
84,3
85,1
86,4
87,3
88,1
89,18
90,2
91,3
92,1
93,2
94,3
95,2
96,0
97,5
98,7
99,2
100,4
101,2
102,0
103,2
104,5
105,3
106,1
107,1
108,0
109,17
110,1
111,0
112,4
113,9
114,0
115,10
116,8
117,2
118,7
119,0
120,14
121,0
122,1
123,6
124,2
125,0
126,7
127,0
128,5
129,0
130,5
131,15
132,9
133,5
134,8
135,4
136,4
137,3
138,18
139,17
140,3
141,16
142,4
143,6
144,3
145,18
146,17
147,5
148,14
149,18
150,5
151,5
152,17
153,1
154,12
155,1
156,7
157,6
158,10
159,9
160,3
161,2
162,16
163,4
164,11
165,2
166,4
167,11
168,4
169,16
170,6
171,17
172,6
173,12
174,10
175,8
176,0
177,10
178,5
179,7
180,5
181,6
182,5
183,6
184,11
185,12
186,7
187,10
188,12
189,17
190,16
191,18
192,18
193,9
194,12
195,18
196,3
197,4
198,2
199,8
200,18
201,1
202,2
203,7
204,6
205,3
206,18
207,18
208,2
209,16
210,11
211,16
212,0
213,13
214,15
215,10
216,17
217,5
218,5
219,10
220,6
221,16
222,6
223,3
224,6
225,16
226,14
227,4
228,5
229,14
230,7
231,8
232,1
233,8
234,3
235,1
236,10
237,11
238,7
239,17
240,9
241,7
242,17
243,7
244,7
245,11
246,1
247,18
248,15
249,15
250,14
251,18
252,6
253,9
254,2
255,8
256,18
257,15
258,7
259,3
260,6
261,0
262,0
263,4
264,12
265,3
266,9
267,5
268,1
269,8
270,9
271,14
272,12
273,7
274,8
275,4
276,2
277,7
278,5
279,9
280,2
281,18
282,1
283,2
284,9
285,18
286,3
287,12
288,15
289,8
290,16
291,12
292,0
293,17
294,16
295,5
296,0
297,11
298,11
299,9
300,3
301,6
302,17
303,5
304,17
305,7
306,10
307,0
308,13
309,12
310,2
311,18
312,2
313,15
314,4
315,13
316,3
317,13
318,5
319,4
320,17
321,11
322,13
323,13
324,0
325,17
326,7
327,8
328,18
329,4
330,10
331,11
332,9
333,7
334,10
335,17
336,9
337,9
338,2
339,8
340,15
341,3
342,10
343,1
344,15
345,4
346,6
347,11
348,12
349,13
350,2
351,7
352,3
353,11
354,12
355,0
356,13
357,0
358,14
359,15
360,13
361,13
362,12
363,18
364,14
365,10
366,6
367,18
368,13
369,17
370,0
371,0
372,0
373,14
374,3
375,7
376,5
377,17
378,7
379,8
380,0
381,5
382,16
383,16
384,6
385,13
386,15
387,16
388,4
389,4
390,18
391,0
392,17
393,0
394,12
395,16
396,1
397,14
398,8
399,6
400,12
401,13
402,0
403,3
404,17
405,7
406,2
407,9
408,14
409,1
410,3
411,5
412,13
413,15
414,16
415,6
416,4
417,15
418,6
419,5
420,6
421,6
422,10
423,4
424,7
425,8
426,6
427,13
428,18
429,10
430,12
431,7
432,18
433,18
434,18
435,2
436,3
437,8
438,9
439,16
440,14
441,17
442,6
443,18
444,5
445,2
446,2
447,7
448,16
449,3
450,5
451,1
452,11
453,8
454,2
455,12
456,5
457,1
458,5
459,4
460,4
461,13
462,16
463,11
464,7
465,18
466,1
467,4
468,0
469,8
470,14
471,10
472,2
473,6
474,1
475,2
476,11
477,3
478,2
479,15
480,15
481,9
482,7
483,2
484,14
485,10
486,5
487,11
488,9
489,3
490,13
491,8
492,11
493,9
494,0
495,14
496,8
497,18
498,16
499,18
500,18
501,9
502,1
503,5
504,10
505,18
506,11
507,10
508,16
509,9
510,13
511,1
512,6
513,7
514,12
515,0
516,10
517,8
518,13
519,1
520,7
521,0
522,10
523,4
524,3
525,3
526,11
527,4
528,1
529,8
530,15
531,10
532,2
533,7
534,18
535,17
536,1
537,6
538,12
539,4
540,14
541,8
542,10
543,8
544,3
545,16
546,9
547,2
548,4
549,15
550,12
551,0
552,0
553,8
554,2
555,7
556,0
557,8
558,18
559,16
560,14
561,7
562,17
563,18
564,0
565,13
566,9
567,2
568,13
569,6
570,17
571,17
572,12
573,11
574,8
575,17
576,6
577,1
578,5
579,18
580,4
581,3
582,6
583,10
584,0
585,7
586,8
587,7
588,9
589,1
590,5
591,3
592,14
593,16
594,13
595,8
596,8
597,0
598,6
599,2
600,8
601,4
602,8
603,9
604,4
605,15
606,5
607,16
608,3
609,11
610,5
611,6
612,12
613,10
614,11
615,16
616,12
617,12
618,4
619,15
620,3
621,6
622,3
