vertex,label
0,14
1,12
2,0
3,12
4,14
5,7
6,1
7,14
8,2
9,6
10,0
11,8
12,4
13,9
14,0
15,4
16,14
17,0
18,12
19,8
20,1
21,9
22,8
23,1
24,4
25,0
26,0
27,0
28,1
29,0
30,2
31,9
32,12
33,7
34,11
35,0
36,5
37,10
38,14
39,8
40,0
41,3
42,13
43,6
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,10
52,7
53,1
54,1
55,2
56,2
57,5
58,3
59,8
60,10
61,0
62,2
63,13
64,6
65,11
66,13
67,1
68,1
69,10
70,2
71,7
72,5
73,1
74,0
75,7
76,5
77,3
78,14
79,6
80,2
81,2
82,1
83,6
84,0
85,13
86,0
87,0
88,1
89,3
90,0
91,2
92,4
93,7
94,0
95,4
96,0
97,11
98,13
99,6
100,1
101,3
102,1
103,9
104,4
105,1
106,0
107,4
108,2
109,0
110,0
111,0
112,9
113,6
114,3
115,11
116,10
117,5
118,4
119,3
120,12
121,1
122,3
123,12
124,11
125,10
126,2
127,13
128,12
129,11
130,7
