vertex,label
0,8
1,0
2,0
3,0
4,10
5,1
6,9
7,1
8,1
9,12
10,1
11,1
12,0
13,3
14,13
15,0
16,3
17,0
18,0
19,12
20,1
21,3
22,1
23,1
24,13
25,0
26,1
27,0
28,3
29,12
30,0
31,3
32,0
33,0
34,14
35,1
36,3
37,1
38,1
39,9
40,0
41,1
42,0
43,3
44,7
45,0
46,8
47,0
48,0
49,3
50,11
51,2
52,2
53,2
54,0
55,5
56,4
57,8
58,13
59,2
60,7
61,6
62,10
63,14
64,4
65,9
66,8
67,6
68,15
69,0
70,5
71,10
72,8
73,14
74,2
75,7
76,6
77,10
78,15
79,4
80,9
81,8
82,6
83,16
84,0
85,5
86,10
87,9
88,7
89,2
90,7
91,6
92,11
93,12
94,13
95,3
96,4
97,1
98,15
99,1
100,14
101,1
102,1
103,0
104,3
105,8
106,7
107,6
108,16
109,5
110,0
111,9
112,13
113,17
114,1
115,6
116,11
117,15
118,18
119,3
120,8
121,7
122,11
123,13
124,5
125,10
126,9
127,7
128,17
129,1
130,6
131,11
132,12
133,18
134,3
135,12
136,13
137,14
138,19
139,5
140,1
141,8
142,16
143,15
144,12
145,3
146,10
147,0
148,14
149,0
150,13
151,0
152,0
153,0
154,1
155,11
156,10
157,9
158,17
159,7
160,2
161,12
162,3
163,18
164,9
165,4
166,14
167,0
168,19
169,6
170,1
171,16
172,2
173,18
174,0
175,3
176,12
177,4
178,19
179,7
180,11
181,14
182,15
183,17
184,9
185,2
186,16
187,1
188,5
189,0
190,4
191,11
192,8
193,17
194,13
195,6
196,7
197,2
198,15
199,1
200,12
201,0
202,0
203,0
204,4
205,7
206,6
207,11
208,14
209,0
210,9
211,15
212,6
213,19
214,2
215,13
216,17
217,8
218,20
219,4
220,7
221,11
222,10
223,19
224,8
225,5
226,15
227,1
228,20
229,2
230,0
231,10
232,6
233,16
234,4
235,7
236,12
237,10
238,17
239,6
240,9
241,14
242,12
243,1
244,16
245,0
246,3
247,0
248,18
249,1
250,15
251,0
252,0
253,0
254,2
255,12
256,8
257,7
258,17
259,5
260,1
261,10
262,14
263,16
264,7
265,3
266,12
267,4
268,15
269,0
270,9
271,14
272,6
273,18
274,3
275,1
276,17
277,9
278,12
279,5
280,8
281,13
282,11
283,20
284,0
285,10
286,15
287,7
288,19
289,2
290,12
291,8
292,4
293,13
294,14
295,0
296,10
297,0
298,17
299,0
300,14
301,1
302,1
303,1
304,0
305,5
306,11
307,9
308,16
309,3
310,7
311,13
312,12
313,8
314,1
315,10
316,9
317,15
318,17
319,5
320,12
321,16
322,3
323,19
324,7
325,4
326,10
327,12
328,20
329,1
330,6
331,18
332,8
333,14
334,3
335,14
336,9
337,16
338,17
339,5
340,1
341,11
342,10
343,18
344,13
345,3
346,7
347,0
348,16
349,0
350,13
351,7
352,1
353,0
354,4
355,2
356,7
357,11
358,17
359,6
360,0
361,15
362,1
363,18
364,8
365,4
366,11
367,5
368,16
369,2
370,6
371,13
372,7
373,17
374,0
375,8
376,15
377,10
378,18
379,4
380,10
381,11
382,14
383,17
384,6
385,2
386,13
387,1
388,18
389,0
390,4
391,15
392,7
393,17
394,2
395,7
396,9
397,2
398,14
399,1
400,14
401,0
402,0
403,0
404,1
405,6
406,10
407,7
408,16
409,9
410,3
411,12
412,4
413,17
414,0
415,11
416,14
417,12
418,18
419,4
420,9
421,10
422,14
423,15
424,6
425,3
426,12
427,8
428,16
429,2
430,5
431,9
432,11
433,15
434,8
435,11
436,16
437,4
438,14
439,3
440,6
441,10
442,9
443,13
444,7
445,0
446,12
447,0
448,15
449,4
450,6
451,0
452,7
453,0
454,8
455,4
456,3
457,2
458,0
459,11
460,1
461,5
462,0
463,13
464,13
465,1
466,2
467,1
468,4
469,11
470,0
471,7
472,0
473,3
474,10
475,0
476,1
477,0
478,5
479,7
480,0
481,13
482,0
483,3
484,12
485,0
486,0
487,0
488,4
489,11
490,1
491,5
492,1
493,2
494,6
495,0
496,1
497,0
498,8
499,4
500,0
501,9
502,0
503,6
504,5
505,3
506,5
507,6
508,7
509,9
510,0
