vertex,label
0,0
1,0
2,0
3,0
4,0
5,0
6,12
7,14
8,16
9,18
10,20
11,22
12,76
13,78
14,80
15,82
16,84
17,86
18,12
19,14
20,16
21,18
22,20
23,22
24,61
25,63
26,65
27,67
28,69
29,71
30,13
31,15
32,17
33,19
34,21
35,23
36,88
37,90
38,92
39,94
40,96
41,98
42,73
43,75
44,77
45,79
46,81
47,83
48,25
49,27
50,29
51,31
52,33
53,35
54,48
55,50
56,52
57,54
58,56
59,58
60,37
61,39
62,41
63,43
64,45
65,47
66,0
67,2
68,4
69,6
70,8
71,10
72,62
73,64
74,66
75,68
76,70
77,72
78,1
79,3
80,5
81,7
82,9
83,85
84,12
85,14
86,16
87,18
88,20
89,22
90,74
91,76
92,78
93,80
94,82
95,84
96,24
97,26
98,28
99,30
100,32
101,34
102,49
103,51
104,53
105,55
106,57
107,59
108,36
109,38
110,40
111,42
112,44
113,46
114,38
115,40
116,42
117,44
118,46
119,61
120,23
121,25
122,86
123,88
124,90
125,92
126,48
127,50
128,52
129,54
130,56
131,58
132,60
133,63
134,65
135,67
136,69
137,71
138,0
139,2
140,4
141,6
142,8
143,23
144,0
145,2
146,4
147,6
148,8
149,10
150,11
151,13
152,15
153,17
154,19
155,21
156,27
157,29
158,31
159,33
160,35
161,37
162,73
163,75
164,77
165,79
166,81
167,83
168,1
169,3
170,5
171,7
172,9
173,24
174,61
175,76
176,78
177,80
178,82
179,97
180,26
181,28
182,30
183,32
184,34
185,36
186,85
187,87
188,89
189,91
190,93
191,95
192,39
193,41
194,43
195,45
196,47
197,49
198,38
199,40
200,42
201,44
202,46
203,48
204,12
205,14
206,16
207,18
208,20
209,22
210,50
211,52
212,54
213,56
214,58
215,60
216,62
217,64
218,66
219,68
220,70
221,72
222,51
223,53
224,55
225,57
226,59
227,74
228,63
229,65
230,67
231,69
232,71
233,77
234,0
235,2
236,4
237,6
238,8
239,10
240,37
241,76
242,78
243,80
244,82
245,84
246,13
247,15
248,17
249,19
250,21
251,23
252,26
253,28
254,30
255,32
256,34
257,36
258,38
259,40
260,42
261,44
262,46
263,48
264,1
265,3
266,5
267,7
268,9
269,11
270,76
271,78
272,80
273,82
274,84
275,86
276,13
277,15
278,17
279,19
280,21
281,23
282,0
283,0
284,0
285,0
286,0
287,0
288,12
289,14
290,16
291,18
292,20
293,22
294,0
295,0
296,0
297,0
298,0
299,0
300,12
301,14
302,16
303,18
304,20
305,22
306,76
307,78
308,80
309,82
310,84
311,86
312,12
313,14
314,16
315,18
316,20
317,22
318,61
319,63
320,65
321,67
322,69
323,71
324,13
325,15
326,17
327,19
328,21
329,23
330,88
331,90
332,92
333,94
334,96
335,98
336,73
337,75
338,77
339,79
340,81
341,83
342,25
343,27
344,29
345,31
346,33
347,35
348,48
349,50
350,52
351,54
352,56
353,58
354,37
355,39
356,41
357,43
358,45
359,47
360,0
361,2
362,4
363,6
364,8
365,10
366,62
367,64
368,66
369,68
370,70
371,72
372,1
373,3
374,5
375,7
376,9
377,85
378,12
379,14
380,16
381,18
382,20
383,22
384,74
385,76
386,78
387,80
388,82
389,84
390,24
391,26
392,28
393,30
394,32
395,34
396,49
397,51
398,53
399,55
400,57
401,59
402,36
403,38
404,40
405,42
406,44
407,46
408,61
409,64
410,66
411,68
412,70
413,72
414,86
415,88
416,90
417,92
418,94
419,96
420,48
421,50
422,52
423,54
424,56
425,58
426,60
427,63
428,65
429,67
430,69
431,71
432,0
433,2
434,4
435,6
436,8
437,10
438,0
439,2
440,4
441,6
442,8
443,10
444,13
445,15
446,17
447,19
448,21
449,23
450,25
451,27
452,29
453,31
454,33
455,35
456,74
457,76
458,78
459,80
460,82
461,84
462,1
463,3
464,5
465,7
466,9
467,11
468,49
469,72
470,75
471,77
472,79
473,81
474,36
475,38
476,40
477,42
478,44
479,46
480,51
481,53
482,55
483,57
484,59
485,62
486,14
487,16
488,18
489,20
490,22
491,37
492,49
493,52
494,54
495,56
496,58
497,60
498,24
499,26
500,28
501,30
502,32
503,34
504,12
505,63
506,65
507,67
508,69
509,71
510,39
511,41
512,43
513,45
514,47
515,73
516,50
517,61
518,64
519,66
520,68
521,70
522,52
523,54
524,56
525,58
526,83
527,85
528,12
529,24
530,60
531,62
