vertex,label
0,0
1,2
2,4
3,0
4,2
5,4
6,0
7,2
8,4
9,0
10,2
11,6
12,0
13,2
14,4
15,6
16,17
17,5
18,11
19,6
20,0
21,2
22,6
23,10
24,2
25,13
26,1
27,6
28,13
29,0
30,2
31,4
32,0
33,2
34,4
35,0
36,2
37,4
38,0
39,2
40,5
41,9
42,15
43,6
44,8
45,10
46,6
47,8
48,14
49,6
50,8
51,10
52,4
53,8
54,17
55,1
56,3
57,17
58,1
59,3
60,16
61,1
62,3
63,12
64,1
65,7
66,5
67,0
68,4
69,13
70,0
71,5
72,9
73,0
74,7
75,9
76,11
77,2
78,10
79,6
80,2
81,17
82,4
83,2
84,6
85,17
86,15
87,1
88,8
89,12
90,1
91,13
92,10
93,3
94,9
95,4
96,0
97,3
98,15
99,7
100,14
101,2
102,13
103,5
104,17
105,12
106,17
107,15
108,1
109,14
110,8
111,3
112,6
113,16
114,16
115,9
116,0
117,7
118,17
119,14
120,8
121,2
122,9
123,11
124,6
125,8
126,17
127,7
128,16
129,6
130,8
131,16
132,1
133,6
134,15
135,0
136,2
137,8
138,0
139,7
140,4
141,0
142,2
143,4
144,0
145,2
146,4
147,0
148,2
149,5
150,1
151,3
152,0
153,2
154,4
155,0
156,2
157,4
158,0
159,2
160,4
161,0
162,6
163,1
164,3
165,0
166,2
167,4
168,0
169,2
170,4
171,0
172,3
173,9
174,8
175,5
176,7
177,9
178,6
179,8
180,5
181,7
182,15
183,17
184,14
185,10
186,12
187,1
188,3
189,10
190,1
191,3
192,11
193,1
194,10
195,6
196,8
197,5
198,0
199,4
200,6
201,0
202,5
203,3
204,11
205,13
206,2
207,7
208,9
209,2
210,8
211,15
212,7
213,9
214,11
215,1
216,5
217,12
218,6
219,12
220,6
221,4
222,8
223,3
224,9
225,8
226,10
227,0
228,11
229,7
230,5
231,7
232,9
233,16
234,11
235,17
236,5
237,6
238,8
239,10
240,3
241,1
242,4
243,0
244,2
245,4
246,0
247,2
248,4
249,0
250,2
251,4
252,0
253,2
254,5
255,1
256,3
257,0
258,2
259,4
260,0
261,2
262,4
263,0
264,2
265,5
266,7
267,17
268,6
269,9
270,5
271,7
272,16
273,5
274,7
275,9
276,5
277,7
278,9
279,15
280,3
281,1
282,14
283,3
284,1
285,14
286,3
287,1
288,16
289,12
290,5
291,10
292,16
293,0
294,6
295,4
296,0
297,6
298,4
299,8
300,13
301,8
302,2
303,17
304,15
305,2
306,8
307,15
308,17
309,11
310,5
311,7
312,1
313,5
314,17
315,1
316,7
317,16
318,3
319,10
320,8
321,0
322,3
323,16
324,8
325,6
326,2
327,4
328,6
329,14
330,17
331,9
332,7
333,1
334,8
335,15
336,3
337,5
338,10
339,6
340,8
341,12
342,11
343,14
344,17
345,5
346,0
347,2
348,4
349,0
350,2
351,4
352,0
353,2
354,4
355,0
356,2
357,4
358,0
359,6
360,1
361,3
362,0
363,2
364,4
365,0
366,2
367,4
368,0
369,2
370,5
371,7
372,7
373,9
374,6
375,8
376,5
377,7
378,9
379,5
380,7
381,9
382,5
383,8
384,11
385,3
386,1
387,10
388,3
389,1
390,16
391,3
392,1
393,17
394,15
395,17
396,5
397,7
398,0
399,6
400,4
401,0
402,8
403,4
404,7
405,8
406,13
407,2
408,8
409,17
410,2
411,6
412,10
413,12
414,6
415,15
416,4
417,1
418,7
419,11
420,1
421,17
422,17
423,7
424,16
425,3
426,0
427,5
428,8
429,13
430,5
431,8
432,10
433,12
434,14
435,15
436,1
437,4
438,7
439,16
440,6
441,12
442,15
443,13
444,16
445,3
446,17
447,8
448,10
449,15
450,2
451,16
452,6
453,17
454,5
455,7
456,9
457,6
458,8
459,17
460,7
461,1
462,9
463,16
464,0
465,2
466,4
467,0
468,2
469,4
470,0
471,2
472,4
473,0
474,2
475,5
476,7
477,8
478,1
479,3
480,0
481,2
482,4
483,0
484,2
485,4
486,0
487,3
488,17
489,17
490,5
491,7
492,9
493,15
494,17
495,5
496,14
497,9
498,6
499,8
500,12
501,14
502,1
503,3
504,13
505,1
506,3
507,16
508,1
509,15
510,16
511,6
512,8
513,0
514,4
515,6
516,0
517,5
518,17
519,13
520,17
521,2
522,7
523,9
524,2
525,12
526,14
527,15
528,5
529,14
530,1
531,5
532,17
533,6
534,8
535,3
536,6
537,8
538,3
539,15
540,11
541,9
542,2
543,16
544,7
545,17
546,5
547,14
548,9
549,15
550,1
551,6
552,13
553,11
554,17
555,3
556,17
557,15
558,6
559,8
560,13
561,7
562,9
563,6
564,8
565,16
566,1
567,11
568,13
569,0
570,2
571,4
572,0
573,2
574,4
575,0
576,2
577,4
578,0
579,2
580,4
581,16
582,6
583,1
584,3
585,0
586,2
587,4
588,0
589,2
590,4
591,0
592,3
593,5
594,14
595,5
596,7
597,12
598,6
599,8
600,5
601,7
602,14
603,17
604,15
605,16
606,13
607,1
608,3
609,17
610,1
611,3
612,16
613,1
614,13
615,6
616,10
617,5
618,0
619,4
620,6
621,0
622,5
623,7
624,15
625,12
626,2
627,7
628,9
629,2
630,8
631,17
632,7
633,16
634,11
635,1
636,5
637,12
638,6
639,5
640,3
641,14
642,16
643,3
644,15
645,13
646,17
647,0
648,13
649,7
650,15
651,5
652,9
653,17
654,7
655,1
656,6
657,10
658,8
659,13
660,15
661,1
662,5
663,15
664,17
665,0
666,2
667,17
668,12
669,2
670,9
671,1
672,4
673,14
674,0
675,2
676,4
677,0
678,2
679,4
680,0
681,2
682,4
683,0
684,2
685,13
686,3
687,1
688,17
689,5
690,8
691,16
692,13
693,7
694,15
695,5
696,14
697,12
698,17
699,15
700,3
701,1
702,14
703,3
704,1
705,17
706,3
707,1
708,16
709,3
710,6
711,16
712,4
713,0
714,5
715,8
716,0
717,6
718,4
719,0
720,13
721,7
722,2
723,15
724,13
725,2
726,12
727,14
728,2
729,15
730,5
731,17
732,1
733,4
734,7
735,1
736,5
737,8
738,3
739,6
740,8
741,0
742,3
743,8
744,16
745,13
746,2
747,5
748,11
749,6
750,7
751,9
752,16
753,1
754,4
755,5
756,3
757,6
758,8
759,8
760,15
761,0
762,17
763,5
764,7
765,3
766,1
767,4
768,0
769,2
770,4
771,0
772,2
773,4
774,0
775,2
776,4
777,0
778,9
779,2
780,5
781,0
782,2
783,4
784,0
785,2
786,4
787,0
788,2
789,4
790,7
791,14
792,17
793,8
794,16
795,7
796,9
797,5
798,11
799,6
800,9
801,7
802,10
803,5
804,0
805,3
806,1
807,11
808,3
809,1
810,8
811,3
812,1
813,16
814,8
815,6
816,9
817,4
818,0
819,6
820,4
821,0
822,5
823,13
824,6
825,11
826,7
827,2
828,8
829,10
830,2
831,7
832,17
833,11
834,13
835,5
836,11
837,1
838,5
839,15
840,1
841,14
842,8
843,3
844,6
845,9
846,0
847,3
848,16
849,10
850,12
851,2
852,4
853,8
854,6
855,7
856,5
857,15
858,1
859,14
860,9
861,3
862,6
863,16
864,16
865,14
866,9
867,8
868,17
869,10
870,4
871,0
872,2
873,4
874,0
875,2
876,4
877,0
878,2
879,4
880,0
881,3
882,9
883,16
884,9
885,15
886,5
887,17
888,12
889,5
890,8
891,6
892,10
893,3
894,7
895,5
896,17
897,1
898,3
899,14
900,1
901,3
902,16
903,1
904,8
905,13
906,8
907,4
908,6
909,0
910,4
911,6
912,0
913,5
914,11
915,16
916,10
917,12
918,2
919,7
920,15
921,2
922,7
923,17
924,6
925,7
926,5
927,17
928,1
929,5
930,16
931,1
932,8
933,11
934,3
935,6
936,8
937,0
938,3
939,11
940,9
941,14
942,2
943,4
944,6
945,9
946,7
947,5
948,10
949,1
950,16
951,15
952,3
953,7
954,14
955,11
956,9
957,17
958,13
959,15
960,1
961,16
962,0
963,13
964,9
965,7
966,12
967,2
968,0
969,15
970,17
971,6
972,1
973,7
974,15
975,0
976,2
977,4
978,0
979,2
980,4
981,0
982,2
983,4
984,0
985,2
986,5
987,3
988,7
989,16
990,5
991,7
992,13
993,5
994,7
995,10
996,5
997,7
998,15
999,6
1000,14
1001,1
1002,3
1003,16
1004,1
1005,3
1006,15
1007,1
1008,3
1009,11
1010,17
1011,6
1012,9
1013,0
1014,4
1015,6
1016,0
1017,4
1018,6
1019,14
1020,2
1021,15
1022,17
1023,2
1024,13
1025,17
1026,2
1027,16
1028,0
1029,4
1030,8
1031,14
1032,16
1033,1
1034,5
1035,7
1036,3
1037,10
1038,12
1039,3
1040,6
1041,9
1042,0
1043,11
1044,5
1045,17
1046,8
1047,2
1048,4
1049,6
1050,9
1051,15
1052,5
1053,17
1054,1
1055,3
1056,9
1057,3
1058,10
1059,5
1060,6
1061,8
1062,0
1063,14
1064,16
1065,5
1066,3
1067,1
1068,4
1069,0
1070,2
1071,4
1072,0
1073,2
1074,4
1075,0
1076,2
1077,4
1078,11
1079,2
1080,5
1081,1
1082,3
1083,0
1084,2
1085,4
1086,0
1087,2
1088,4
1089,0
1090,2
1091,6
1092,1
1093,8
1094,15
1095,17
1096,14
1097,7
1098,5
1099,9
1100,16
1101,5
1102,7
1103,9
1104,6
1105,4
1106,1
1107,3
1108,16
1109,1
1110,3
1111,13
1112,1
1113,3
1114,12
1115,14
1116,9
1117,5
1118,0
1119,4
1120,8
1121,0
1122,4
1123,6
1124,8
1125,16
1126,7
1127,14
1128,2
1129,6
1130,12
1131,2
1132,14
1133,17
1134,5
1135,16
1136,8
1137,17
1138,1
1139,5
1140,7
1141,1
1142,15
1143,5
1144,3
1145,7
1146,9
1147,0
1148,3
1149,6
1150,9
1151,16
1152,2
1153,6
1154,8
1155,10
1156,6
1157,8
1158,10
1159,1
1160,12
1161,13
1162,5
1163,3
1164,7
1165,7
1166,9
1167,11
1168,12
1169,17
1170,8
1171,7
1172,0
1173,2
1174,4
1175,0
1176,2
1177,4
1178,0
1179,2
1180,4
1181,0
1182,5
1183,13
1184,16
1185,14
1186,8
1187,10
1188,5
1189,7
1190,17
1191,5
1192,7
1193,9
1194,5
1195,14
1196,2
1197,12
1198,1
1199,15
1200,9
1201,1
1202,3
1203,11
1204,1
1205,3
1206,17
1207,7
1208,5
1209,17
1210,0
1211,4
1212,6
1213,0
1214,4
1215,6
1216,15
1217,11
1218,14
1219,2
1220,13
1221,16
1222,2
1223,17
1224,9
1225,11
1226,6
1227,8
1228,5
1229,1
1230,7
1231,5
1232,1
1233,13
1234,16
