vertex,label
0,0
1,2
2,4
3,0
4,2
5,4
6,0
7,5
8,2
9,6
10,13
11,2
12,9
13,3
14,6
15,0
16,2
17,4
18,0
19,3
20,5
21,7
22,9
23,5
24,7
25,9
26,11
27,1
28,3
29,11
30,6
31,8
32,0
33,10
34,5
35,7
36,11
37,0
38,13
39,7
40,0
41,12
42,4
43,11
44,0
45,2
46,4
47,0
48,5
49,2
50,0
51,6
52,1
53,3
54,0
55,2
56,8
57,6
58,1
59,3
60,5
61,7
62,4
63,10
64,13
65,9
66,7
67,2
68,15
69,9
70,11
71,13
72,3
73,1
74,4
75,0
76,2
77,4
78,0
79,11
80,1
81,3
82,0
83,4
84,9
85,5
86,7
87,9
88,5
89,8
90,10
91,3
92,11
93,13
94,6
95,1
96,7
97,8
98,10
99,14
100,6
101,0
102,2
103,4
104,0
105,2
106,4
107,9
108,1
109,3
110,0
111,8
112,6
113,10
114,5
115,9
116,6
117,12
118,12
119,3
120,13
121,8
122,6
123,1
124,15
125,10
126,5
127,12
128,2
129,7
130,14
131,0
132,9
133,3
134,6
135,0
136,2
137,4
138,0
139,3
140,6
141,4
142,1
143,3
144,5
145,7
146,13
147,10
148,8
149,11
150,7
151,12
152,14
153,15
154,5
155,10
156,9
157,7
158,10
159,0
160,11
161,3
162,6
163,0
164,2
165,4
166,0
167,2
168,14
169,5
170,1
171,3
172,7
173,5
174,8
175,6
176,9
177,12
178,13
179,11
180,14
181,15
182,5
183,12
184,4
185,1
186,7
187,2
188,4
189,8
190,10
191,0
192,2
193,4
194,0
195,3
196,1
197,8
198,13
199,10
200,6
201,9
202,15
203,1
204,3
205,11
206,9
207,5
208,0
209,13
210,15
211,11
212,7
213,1
214,4
215,0
216,2
217,4
218,12
219,0
220,3
221,1
222,4
223,0
224,7
225,5
226,10
227,6
228,8
229,5
230,2
231,12
232,3
233,11
234,7
235,5
236,13
237,9
238,15
239,6
240,2
241,4
242,0
243,2
244,4
245,13
246,11
247,8
248,6
249,15
250,10
251,13
252,2
253,12
254,8
255,9
256,14
257,5
258,11
259,7
260,1
261,2
262,4
263,7
264,1
265,3
266,5
267,7
268,0
269,2
270,4
271,0
272,3
273,1
274,7
275,5
276,8
277,6
278,9
279,9
280,1
281,3
282,0
283,6
284,10
285,5
286,8
287,13
288,15
289,3
290,1
291,4
292,0
293,2
294,4
295,0
296,6
297,1
298,4
299,0
300,5
301,8
302,10
303,12
304,7
305,9
306,6
307,2
308,15
309,3
310,13
311,6
312,11
313,8
314,13
315,5
316,15
317,2
318,4
319,0
320,2
321,5
322,3
323,15
324,6
325,9
326,7
327,11
328,8
329,1
330,12
331,3
332,10
333,5
334,8
335,7
336,11
337,9
338,5
339,1
340,3
341,0
342,2
343,4
344,9
345,0
346,3
347,1
348,4
349,2
350,9
351,7
352,11
353,6
354,8
355,10
356,0
357,3
358,12
359,14
360,8
361,5
362,7
363,10
364,13
365,6
366,2
367,4
368,0
369,2
370,7
371,11
372,1
373,8
374,6
375,10
376,15
377,15
378,11
379,14
380,12
381,5
382,7
383,9
384,10
385,13
386,8
387,5
388,0
389,2
390,5
391,0
392,2
393,4
394,6
395,1
396,3
397,0
398,2
399,5
400,13
401,9
402,6
403,13
404,7
405,15
406,1
407,3
408,11
409,7
410,12
411,9
412,10
413,14
414,8
415,3
416,7
417,0
418,2
419,4
420,0
421,3
422,10
423,2
424,0
425,13
426,3
427,14
428,10
429,12
430,6
431,8
432,11
433,1
434,4
435,13
436,5
437,7
438,15
439,10
440,9
441,6
442,12
443,0
444,2
445,4
446,0
447,2
448,5
449,12
450,4
451,6
452,9
453,11
454,14
455,1
456,12
457,7
458,8
459,3
460,10
461,11
462,6
463,9
464,1
465,3
466,0
467,2
468,4
469,0
470,2
471,5
472,1
473,4
474,2
475,5
476,7
477,8
478,6
479,9
480,7
481,10
482,4
483,1
484,5
485,12
486,7
487,10
488,8
489,15
490,13
491,9
492,3
493,6
494,0
495,2
496,5
497,7
498,7
499,5
500,8
501,15
502,11
503,10
504,1
505,4
506,13
507,12
508,6
509,9
510,8
511,14
512,11
513,7
514,1
515,3
516,0
517,2
518,4
519,7
520,0
521,3
522,1
523,4
524,0
525,9
526,10
527,5
528,7
529,9
530,6
531,8
532,11
533,13
534,15
535,4
536,6
537,8
538,12
539,10
540,3
541,10
542,4
543,9
544,3
545,5
546,12
547,9
548,6
549,10
550,12
551,8
552,11
553,13
554,2
555,0
556,15
557,4
558,6
559,8
560,1
561,10
562,10
563,8
564,4
565,15
566,8
567,2
568,10
569,0
570,7
571,4
572,0
573,3
574,6
575,15
576,2
577,6
578,12
579,5
580,5
581,11
582,0
583,2
584,14
585,3
586,7
587,9
588,1
589,13
590,3
591,1
592,4
593,0
594,2
595,4
596,10
597,0
598,3
599,1
600,4
601,0
602,8
603,12
604,7
605,10
606,15
607,5
608,2
609,5
610,3
611,8
612,8
613,11
614,13
615,6
616,15
617,9
618,2
619,4
620,0
621,2
622,6
623,1
624,3
625,10
626,6
627,9
628,11
629,13
630,1
631,12
632,7
633,5
634,15
635,10
636,7
637,13
638,11
639,7
640,2
641,4
642,1
643,3
644,6
645,14
646,0
647,2
648,4
649,0
650,3
651,1
652,6
653,8
654,14
655,6
656,11
657,15
658,1
659,3
660,0
661,7
662,5
663,8
664,11
665,13
666,9
667,5
668,0
669,2
670,4
671,1
672,3
673,6
674,2
675,0
676,3
677,5
678,8
679,10
680,4
681,9
682,6
683,8
684,7
685,1
686,3
687,10
688,11
689,5
690,7
691,8
692,12
693,10
694,8
695,1
696,3
697,0
698,4
699,1
700,7
701,12
702,8
703,6
704,12
705,10
706,1
707,11
708,15
709,5
710,7
711,13
712,12
713,4
714,14
715,3
716,1
717,4
718,0
719,5
720,9
721,7
722,13
723,6
724,8
725,5
726,11
727,1
728,3
729,10
730,8
731,12
732,7
733,6
734,2
735,11
736,7
737,11
738,9
739,12
740,1
741,8
742,12
743,3
744,6
745,8
746,15
747,8
748,1
749,10
750,0
751,11
752,7
753,5
754,13
755,3
756,10
757,4
758,1
759,10
760,4
761,15
762,11
763,6
764,2
765,7
766,9
767,13
768,9
769,5
770,11
771,15
772,0
773,3
774,8
775,7
776,12
777,9
