vertex,label
0,25
1,27
2,29
3,13
4,56
5,31
6,33
7,35
8,18
9,54
10,28
11,37
12,39
13,24
14,57
15,30
16,32
17,34
18,17
19,55
20,13
21,27
22,36
23,23
24,57
25,29
26,31
27,33
28,16
29,55
30,35
31,37
32,39
33,22
34,57
35,27
36,30
37,32
38,55
39,59
40,13
41,15
42,34
43,21
44,56
45,28
46,31
47,36
48,58
49,62
50,33
51,38
52,40
53,20
54,64
55,16
56,29
57,35
58,26
59,58
60,31
61,37
62,39
63,61
64,65
65,17
66,19
67,33
68,23
69,25
70,29
71,35
72,38
73,15
74,60
75,31
76,40
77,42
78,24
79,64
80,20
81,22
82,33
83,16
84,38
85,28
86,30
87,35
88,63
89,66
90,32
91,37
92,39
93,27
94,58
95,23
96,29
97,34
98,19
99,62
100,31
101,36
102,38
103,28
104,55
105,24
106,26
107,33
108,18
109,61
110,29
111,35
112,37
113,68
114,70
115,31
116,39
117,41
118,17
119,56
120,27
121,33
122,36
123,21
124,23
125,30
126,38
127,40
128,16
129,57
130,28
131,32
132,34
133,14
134,20
135,36
136,39
137,41
138,26
139,58
140,29
141,31
142,33
143,19
144,60
145,15
146,35
147,37
148,25
149,53
150,28
151,30
152,32
153,51
154,63
155,16
156,18
157,34
158,53
159,56
160,24
161,29
162,31
163,58
164,60
165,33
166,35
167,37
168,19
169,64
170,21
171,23
172,39
173,1
174,31
175,41
176,43
177,45
178,11
179,68
180,38
181,47
182,42
183,44
184,46
185,48
186,41
187,43
188,38
189,45
190,42
191,47
192,44
193,49
194,41
195,46
196,43
197,48
198,45
199,50
200,42
201,47
202,44
203,49
204,41
205,46
206,43
207,48
208,45
209,50
210,47
211,52
212,44
213,49
214,41
215,46
216,43
217,48
218,45
219,50
220,40
221,42
222,44
223,46
224,48
225,50
226,43
227,45
228,47
229,49
230,42
231,44
232,46
233,48
234,43
235,50
236,45
237,47
238,40
239,42
240,44
241,46
242,36
243,38
244,40
245,42
246,44
247,46
248,48
249,50
250,52
251,54
252,0
253,2
254,4
255,40
256,49
257,6
258,8
259,10
260,50
261,52
262,1
263,3
264,12
265,51
266,53
267,5
268,7
269,9
270,49
271,52
272,0
273,2
274,11
275,40
276,50
277,4
278,6
279,8
280,51
281,53
282,1
283,10
284,12
285,52
286,54
287,3
288,5
289,7
290,38
291,51
292,0
293,9
294,11
295,52
296,54
297,2
298,4
299,6
300,53
301,55
302,8
303,10
304,12
305,51
306,54
307,0
308,3
309,5
310,52
311,55
312,7
313,9
314,11
315,51
316,53
317,1
318,4
319,13
320,54
321,56
322,6
323,8
324,10
325,55
326,57
327,0
328,2
329,12
330,37
331,54
332,4
333,7
334,9
335,51
336,53
337,1
338,11
339,13
340,52
341,54
342,3
343,5
344,8
345,53
346,55
347,0
348,10
349,12
350,47
351,52
352,2
353,4
354,6
355,49
356,51
357,8
358,11
359,13
360,52
361,54
362,0
363,3
364,5
365,53
366,55
367,7
368,9
369,12
370,51
371,54
372,1
373,4
374,14
375,52
376,55
377,6
378,8
379,10
380,51
381,53
382,0
383,2
384,12
385,52
386,54
387,4
388,7
389,9
390,53
391,55
392,1
393,11
394,13
395,49
396,51
397,3
398,5
399,8
400,48
401,50
402,0
403,10
404,12
405,41
406,49
407,2
408,4
409,6
410,45
411,47
412,8
413,11
414,13
415,49
416,51
417,0
418,3
419,5
420,53
421,55
422,7
423,9
424,12
425,56
426,58
427,14
428,16
429,18
430,57
431,59
432,51
433,53
434,55
435,58
436,60
437,62
438,56
439,64
440,54
441,58
442,48
443,60
444,56
445,62
446,40
447,58
448,60
449,63
450,57
451,65
452,59
453,61
454,63
455,66
456,57
457,60
458,62
459,64
460,59
461,66
462,39
463,61
464,56
465,58
466,60
467,62
468,57
469,64
470,59
471,61
472,41
473,56
474,58
475,60
476,30
477,62
478,57
479,59
480,61
481,63
482,58
483,65
484,56
485,60
486,62
487,64
488,57
489,59
490,54
491,61
492,39
493,43
494,52
495,55
496,57
497,59
498,61
499,63
500,65
501,67
502,62
503,69
504,20
505,22
506,24
507,61
508,63
509,15
510,17
511,26
512,45
513,65
514,19
515,21
516,23
517,47
518,66
519,14
520,16
521,25
522,44
523,61
524,18
525,20
526,22
527,46
528,63
529,15
530,24
531,26
532,43
533,64
534,17
535,19
536,21
537,45
538,50
539,14
540,23
541,25
542,47
543,53
544,16
545,18
546,20
547,49
548,67
549,22
550,24
551,26
552,39
553,41
554,14
555,17
556,19
557,43
558,56
559,21
560,23
561,25
562,45
563,68
564,15
565,18
566,27
567,42
568,47
569,20
570,22
571,24
572,44
573,49
574,16
575,26
576,28
577,41
578,51
579,14
580,18
581,21
582,43
583,63
584,23
585,25
586,27
587,45
588,65
589,15
590,17
591,19
592,42
593,47
594,21
595,24
596,26
597,44
598,49
599,14
600,16
601,18
602,54
603,63
604,20
605,22
606,25
607,53
608,64
609,15
610,17
611,27
612,47
613,65
614,19
615,21
616,23
617,64
618,66
619,16
620,25
621,28
622,46
623,67
624,18
625,20
626,22
627,50
628,68
629,24
630,26
631,29
632,67
633,69
634,15
635,17
636,19
637,66
638,68
639,21
640,23
641,25
642,44
643,67
644,16
645,18
646,27
647,63
648,65
649,20
650,22
651,24
652,56
653,58
654,14
655,17
656,26
657,60
658,62
659,19
660,21
661,23
662,50
663,64
664,15
665,25
666,27
667,54
668,66
669,17
670,20
671,22
672,47
673,70
674,26
675,28
676,30
677,49
678,60
679,32
680,34
681,36
682,64
683,66
684,43
685,48
686,54
687,67
688,41
689,57
690,59
691,68
692,42
693,55
694,57
695,66
696,59
697,61
698,55
699,68
700,43
701,64
702,45
703,62
704,47
705,58
706,49
707,70
708,65
709,72
710,58
711,67
712,69
713,71
714,47
715,73
716,49
717,67
718,69
719,71
720,39
721,66
722,46
723,68
724,48
725,50
726,29
727,44
728,10
729,31
730,2
731,39
732,41
733,44
734,38
735,48
736,46
737,71
738,50
739,73
740,69
741,75
742,42
743,46
744,44
745,53
746,67
747,69
748,46
749,48
750,68
751,72
752,52
753,74
754,71
755,76
756,5
757,11
758,13
759,56
760,70
761,28
762,30
763,33
764,69
765,71
766,35
767,37
768,39
769,43
770,63
771,27
772,29
773,31
774,65
775,70
776,33
777,36
778,38
779,69
780,71
781,13
782,28
783,30
784,47
785,49
786,32
787,34
788,37
789,65
790,70
791,27
792,29
793,39
794,66
795,71
796,31
797,33
798,35
799,56
800,69
801,1
802,28
803,37
804,68
805,71
806,30
807,32
808,34
809,64
810,67
811,36
812,38
813,40
814,74
815,76
816,2
817,29
818,31
819,50
820,61
821,33
822,35
823,37
824,46
825,52
826,3
827,5
828,30
829,45
830,53
831,32
832,34
833,36
834,52
835,70
836,29
837,38
838,40
839,10
840,55
841,6
842,31
843,33
844,63
845,73
846,28
847,35
848,37
849,51
850,58
851,7
852,9
853,30
854,43
855,65
856,1
857,32
858,34
859,55
860,57
861,38
862,40
863,42
864,61
865,63
866,33
867,35
868,68
869,6
870,37
871,49
872,56
873,70
874,13
875,60
876,32
877,34
878,36
879,62
880,64
881,3
882,5
883,11
884,40
885,57
886,31
887,33
888,35
889,61
890,63
891,37
892,39
893,41
894,10
895,14
896,6
897,29
898,32
899,60
900,71
901,34
902,36
903,38
904,31
905,64
906,7
907,9
908,28
909,35
910,37
911,1
912,30
913,32
914,56
915,58
916,34
917,36
918,38
919,31
920,60
921,10
922,40
923,42
924,50
925,64
926,1
927,6
928,44
929,8
930,54
931,38
932,41
933,46
934,50
935,68
936,53
937,58
938,49
939,51
940,46
941,60
942,48
943,50
944,40
945,45
946,51
947,53
948,44
949,56
950,46
951,48
952,51
953,54
954,59
955,61
956,11
957,13
958,52
959,54
960,57
961,59
962,43
963,48
964,55
965,60
966,57
967,62
968,1
969,59
970,12
971,53
972,41
973,56
974,45
975,60
976,52
977,62
978,12
979,26
980,0
981,0
982,0
983,0
984,14
985,23
986,51
987,53
988,55
989,59
990,70
991,72
992,54
993,57
994,43
995,66
996,45
997,47
998,49
999,51
1000,63
1001,65
1002,53
1003,55
1004,57
1005,59
1006,62
1007,65
1008,0
1009,2
1010,7
1011,40
1012,72
1013,9
1014,18
1015,42
1016,55
1017,62
1018,1
1019,3
1020,6
1021,52
1022,56
1023,8
1024,10
1025,12
1026,54
1027,58
1028,0
1029,2
1030,4
1031,60
1032,62
1033,6
1034,9
1035,11
1036,58
1037,67
1038,1
1039,3
1040,41
1041,52
1042,60
1043,5
1044,7
1045,10
1046,0
1047,2
1048,12
1049,15
1050,42
1051,6
1052,63
1053,3
1054,8
1055,44
1056,5
1057,53
1058,46
1059,48
1060,50
1061,9
1062,20
1063,0
1064,4
1065,6
1066,44
1067,62
1068,8
1069,10
1070,12
1071,53
1072,63
1073,17
1074,19
1075,39
1076,64
1077,66
1078,0
1079,7
1080,9
1081,50
1082,65
1083,11
1084,13
1085,42
1086,54
1087,64
1088,44
1089,46
1090,48
1091,3
1092,68
1093,20
1094,22
1095,50
1096,61
1097,70
1098,0
1099,2
1100,4
1101,64
1102,67
1103,11
1104,13
1105,23
1106,47
1107,69
1108,3
1109,5
1110,36
1111,8
1112,24
1113,49
1114,59
1115,66
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,27
1129,30
1130,42
1131,45
1132,47
1133,0
1134,7
1135,9
1136,49
1137,65
1138,13
1139,28
1140,43
1141,52
1142,74
1143,1
1144,45
1145,47
1146,3
1147,64
1148,12
1149,49
1150,51
1151,62
1152,68
1153,0
1154,2
1155,4
1156,50
1157,52
1158,11
1159,13
1160,40
1161,54
1162,57
1163,3
1164,5
1165,16
1166,41
1167,43
1168,8
1169,12
1170,18
1171,45
1172,71
1173,4
1174,14
1175,24
1176,61
1177,67
1178,16
1179,19
1180,21
1181,3
1182,75
1183,23
1184,25
1185,27
1186,55
1187,73
1188,4
1189,15
1190,57
1191,59
1192,64
1193,66
1194,41
1195,61
1196,68
1197,72
1198,55
1199,64
1200,50
1201,73
1202,57
1203,62
1204,17
1205,49
1206,65
1207,67
1208,39
1209,63
1210,42
1211,55
1212,47
1213,49
1214,51
1215,56
1216,58
1217,68
1218,61
1219,71
1220,23
1221,37
1222,24
1223,26
1224,39
1225,42
1226,44
1227,54
1228,61
1229,63
1230,0
1231,10
1232,0
1233,0
1234,0
1235,0
1236,18
1237,20
1238,24
1239,54
1240,56
1241,58
1242,67
1243,69
1244,24
1245,73
1246,55
1247,58
1248,61
1249,67
1250,46
1251,48
1252,39
1253,52
1254,47
1255,69
1256,7
1257,9
1258,47
1259,66
1260,12
1261,29
1262,31
1263,21
1264,24
1265,34
1266,36
1267,44
1268,68
1269,73
1270,14
1271,16
1272,20
1273,74
1274,76
1275,22
1276,24
1277,26
1278,44
1279,47
1280,15
1281,17
1282,19
1283,39
1284,42
1285,21
1286,23
1287,25
1288,61
1289,75
1290,14
1291,16
1292,18
1293,45
1294,68
1295,22
1296,24
1297,26
1298,30
1299,64
1300,19
1301,36
1302,38
1303,52
1304,55
1305,21
1306,23
1307,25
1308,66
1309,68
1310,27
1311,33
1312,35
1313,22
1314,24
1315,14
1316,16
1317,18
1318,58
1319,60
1320,21
1321,23
1322,25
1323,45
1324,65
1325,15
1326,27
1327,41
1328,44
1329,54
1330,4
1331,22
1332,24
1333,26
1334,47
1335,2
1336,16
1337,18
1338,35
1339,51
1340,21
1341,25
1342,27
1343,7
1344,9
1345,32
1346,34
1347,36
1348,52
1349,57
1350,8
1351,15
1352,17
1353,46
1354,48
1355,19
1356,21
1357,25
1358,50
1359,71
1360,16
1361,27
1362,29
1363,18
1364,20
1365,39
1366,41
1367,46
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,22
1381,37
1382,39
1383,50
1384,52
1385,2
1386,4
1387,15
1388,46
1389,60
1390,17
1391,19
1392,21
1393,50
1394,62
1395,30
1396,34
1397,36
1398,7
1399,9
1400,22
1401,26
1402,42
1403,20
1404,53
1405,8
1406,15
1407,17
1408,63
1409,65
1410,19
1411,21
1412,23
1413,42
1414,44
1415,25
1416,27
1417,29
1418,50
1419,59
1420,0
1421,20
1422,22
1423,54
1424,62
1425,2
1426,26
1427,28
1428,51
1429,56
1430,33
1431,35
1432,37
1433,11
1434,22
1435,17
1436,20
1437,39
1438,10
1439,60
1440,3
1441,14
1442,60
1443,63
1444,39
1445,49
1446,51
1447,53
1448,57
1449,59
1450,46
1451,48
1452,51
1453,53
1454,4
1455,59
1456,1
1457,4
1458,11
1459,58
1460,54
1461,56
1462,52
1463,64
1464,67
1465,69
1466,48
1467,57
1468,52
1469,59
1470,49
1471,55
1472,5
1473,53
1474,59
1475,62
1476,28
1477,41
1478,35
1479,37
1480,43
1481,52
1482,1
1483,60
1484,0
1485,0
1486,0
1487,0
1488,62
1489,64
1490,29
1491,31
1492,53
1493,55
1494,5
1495,57
1496,59
1497,64
1498,28
1499,56
1500,47
1501,60
1502,53
1503,64
1504,66
1505,68
1506,40
1507,58
1508,63
1509,65
1510,1
1511,5
1512,41
1513,43
1514,45
1515,61
1516,65
1517,23
1518,25
1519,47
1520,54
1521,58
1522,5
1523,11
1524,28
1525,35
1526,43
1527,7
1528,30
1529,32
1530,63
1531,65
1532,13
1533,34
1534,36
1535,52
1536,66
1537,27
1538,29
1539,31
1540,38
1541,40
1542,8
1543,33
1544,35
1545,47
1546,56
1547,37
1548,39
1549,43
1550,20
1551,67
1552,28
1553,31
1554,34
1555,14
1556,60
1557,40
1558,45
1559,47
1560,70
1561,72
1562,30
1563,37
1564,43
1565,59
1566,61
1567,1
1568,3
1569,5
1570,38
1571,40
1572,11
1573,29
1574,31
1575,50
1576,61
1577,33
1578,35
1579,37
1580,46
1581,62
1582,6
1583,20
1584,30
1585,43
1586,45
1587,8
1588,10
1589,12
1590,31
1591,33
1592,29
1593,38
1594,40
1595,19
1596,56
1597,43
1598,45
1599,47
1600,30
1601,55
1602,1
1603,6
1604,10
1605,53
1606,56
1607,12
1608,31
1609,33
1610,40
1611,45
1612,7
1613,9
1614,14
1615,32
1616,34
1617,48
1618,55
1619,57
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,26
1633,33
1634,35
1635,41
1636,44
1637,6
1638,8
1639,10
1640,48
1641,51
1642,12
1643,23
1644,25
1645,27
1646,66
1647,32
1648,38
1649,40
1650,11
1651,54
1652,44
1653,46
1654,48
1655,66
1656,69
1657,1
1658,6
1659,10
1660,38
1661,43
1662,31
1663,33
1664,35
1665,49
1666,51
1667,7
1668,9
1669,37
1670,55
1671,70
1672,15
1673,17
1674,32
1675,60
1676,72
1677,6
1678,10
1679,13
1680,31
1681,53
1682,42
1683,44
1684,46
1685,30
1686,59
1687,48
1688,50
1689,52
1690,62
1691,64
1692,19
1693,27
1694,21
1695,33
1696,50
1697,52
1698,45
1699,55
1700,58
1701,60
1702,49
1703,54
1704,62
1705,64
1706,41
1707,50
1708,10
1709,57
1710,12
1711,42
1712,71
1713,73
1714,46
1715,55
1716,53
1717,63
1718,56
1719,66
1720,58
1721,60
1722,50
1723,63
1724,66
1725,68
1726,23
1727,65
1728,58
1729,60
1730,38
1731,42
1732,36
1733,51
1734,62
1735,64
1736,0
1737,0
1738,0
1739,0
1740,30
1741,65
1742,28
1743,54
1744,56
1745,58
1746,1
1747,68
1748,25
1749,27
1750,50
1751,52
1752,45
1753,54
1754,57
1755,61
1756,43
1757,48
1758,67
1759,69
1760,27
1761,29
1762,7
1763,16
1764,0
1765,2
1766,4
1767,35
1768,37
1769,8
1770,13
1771,15
1772,42
1773,56
1774,1
1775,3
1776,18
1777,48
1778,61
1779,9
1780,38
1781,40
1782,67
1783,69
1784,0
1785,2
1786,4
1787,56
1788,68
1789,6
1790,10
1791,20
1792,67
1793,69
1794,1
1795,3
1796,12
1797,52
1798,58
1799,5
1800,15
1801,17
1802,46
1803,48
1804,0
1805,2
1806,7
1807,26
1808,62
1809,49
1810,51
1811,53
1812,70
1813,72
1814,32
1815,39
1816,41
1817,34
1818,48
1819,7
1820,9
1821,13
1822,44
1823,49
1824,17
1825,19
1826,26
1827,47
1828,68
1829,0
1830,39
1831,42
1832,51
1833,64
1834,3
1835,14
1836,28
1837,65
1838,67
1839,1
1840,17
1841,23
1842,48
1843,54
1844,42
1845,44
1846,46
1847,22
1848,28
1849,39
1850,49
1851,51
1852,14
1853,63
1854,3
1855,18
1856,20
1857,44
1858,64
1859,22
1860,24
1861,26
1862,47
1863,49
1864,0
1865,2
1866,4
1867,11
1868,23
