vertex,label
0,323
1,382
2,43
3,41
4,424
5,369
6,325
7,29
8,456
9,79
10,488
11,394
12,37
13,483
14,389
15,496
16,87
17,327
18,125
19,376
20,401
21,354
22,108
23,250
24,132
25,264
26,170
27,166
28,184
29,186
30,191
31,95
32,101
33,13
34,172
35,160
36,237
37,180
38,39
39,171
40,185
41,97
42,202
43,21
44,197
45,251
46,485
47,414
48,206
49,320
50,261
51,45
52,358
53,463
54,492
55,213
56,239
57,85
58,35
59,143
60,42
61,51
62,321
63,297
64,238
65,337
66,350
67,55
68,278
69,244
70,53
71,228
72,288
73,275
74,385
75,283
76,247
77,292
78,464
79,245
80,370
81,359
82,130
83,167
84,168
85,461
86,439
87,355
88,340
89,377
90,248
91,432
92,335
93,299
94,429
95,378
96,416
97,311
98,305
99,409
100,417
101,360
102,313
103,446
104,277
105,252
106,348
107,301
108,88
109,419
110,477
111,328
112,486
113,178
114,36
115,287
116,361
117,445
118,356
119,33
120,430
121,437
122,346
123,487
124,452
125,227
126,72
127,240
128,484
129,472
130,126
131,347
132,231
133,61
134,265
135,395
136,497
137,457
138,478
139,93
140,475
141,63
142,351
143,418
144,458
145,467
146,434
147,469
148,495
149,316
150,102
151,233
152,353
153,440
154,386
155,476
156,403
157,498
158,397
159,222
160,104
161,279
162,371
163,235
164,317
165,153
166,390
167,272
168,379
169,71
170,312
171,151
172,69
173,306
174,489
175,435
176,309
177,290
178,372
179,453
180,365
181,362
182,300
183,332
184,448
185,420
186,425
187,121
188,218
189,116
190,100
191,246
192,135
193,183
194,78
195,441
196,314
197,176
198,70
199,284
200,138
201,109
202,380
203,118
204,114
205,479
206,40
207,154
208,428
209,289
210,443
211,459
212,473
213,5
214,74
215,224
216,442
217,319
218,274
219,119
220,294
221,387
222,474
223,110
224,128
225,357
226,421
227,269
228,210
229,173
230,204
231,338
232,293
233,90
234,6
235,253
236,155
237,58
238,422
239,23
240,106
241,68
242,123
243,405
244,468
245,329
246,482
247,494
248,223
249,465
250,241
251,47
252,92
253,285
254,216
255,255
256,391
257,341
258,342
259,65
260,490
261,491
262,352
263,373
264,276
265,211
266,199
267,280
268,99
269,336
270,111
271,220
272,80
273,83
274,226
275,449
276,410
277,64
278,460
279,98
280,411
281,400
282,127
283,139
284,103
285,67
286,366
287,454
288,402
289,254
290,291
291,415
292,136
293,131
294,187
295,140
296,105
297,57
298,89
299,404
300,229
301,374
302,295
303,266
304,162
305,141
306,193
307,150
308,163
309,273
310,324
311,263
312,122
313,236
314,396
315,144
316,431
317,124
318,73
319,146
320,179
321,115
322,129
323,436
324,142
325,363
326,148
327,286
328,194
329,212
330,333
331,164
332,310
333,318
334,257
335,230
336,322
337,296
338,225
339,209
340,120
341,113
342,426
343,349
344,219
345,303
346,383
347,388
348,330
349,207
350,145
351,91
352,215
353,433
354,181
355,375
356,76
357,298
358,50
359,208
360,339
361,364
362,444
363,267
364,427
365,447
366,152
367,450
368,232
369,281
370,234
371,157
372,159
373,81
374,242
375,406
376,343
377,326
378,307
379,344
380,189
381,407
382,451
383,282
384,134
385,149
386,147
387,86
388,462
389,221
390,156
391,308
392,203
393,190
394,117
395,466
396,392
397,174
398,258
399,259
400,345
401,192
402,82
403,195
404,198
405,214
406,175
407,249
408,256
409,393
410,331
411,200
412,268
413,262
414,165
415,75
416,315
417,96
418,438
419,182
420,398
421,169
422,84
423,177
424,471
425,205
426,413
427,408
428,260
429,480
430,133
431,188
432,243
433,161
434,77
435,481
436,493
437,367
438,217
439,399
440,455
441,107
442,158
443,18
444,46
445,4
446,56
447,28
448,137
449,270
450,12
451,368
452,30
453,44
454,48
455,0
456,62
457,14
458,52
459,60
460,24
461,334
462,31
463,16
464,38
465,54
466,423
467,2
468,26
469,8
470,10
471,32
472,304
473,66
474,302
475,196
476,201
477,94
478,22
479,384
480,27
481,412
482,470
483,34
484,49
485,1
486,271
487,59
488,381
489,112
490,20
491,11
492,0
493,0
494,0
495,0
