vertex,label
0,7
1,8
2,12
3,15
4,9
5,10
6,5
7,6
8,0
9,2
10,3
11,3
12,4
13,1
14,6
15,13
16,14
17,5
18,6
19,10
20,9
21,11
22,12
23,3
24,0
25,1
26,7
27,5
28,7
29,8
30,5
31,6
32,11
33,12
34,0
35,2
36,3
37,13
38,8
39,13
40,15
41,22
42,0
43,0
44,5
45,6
46,7
47,5
48,6
49,7
50,8
51,9
52,10
53,17
54,18
55,5
56,16
57,10
58,9
59,6
60,7
61,8
62,11
63,13
64,14
65,2
66,4
67,1
68,19
69,22
70,7
71,8
72,9
73,10
74,11
75,12
76,15
77,16
78,13
79,14
80,2
81,3
82,0
83,14
84,20
85,5
86,6
87,9
88,10
89,11
90,12
91,15
92,16
93,13
94,18
95,2
96,4
97,1
98,7
99,8
100,6
101,5
102,11
103,12
104,19
105,15
106,0
107,2
108,3
109,4
110,9
111,1
112,13
113,15
114,14
115,0
116,0
117,5
118,6
119,7
120,5
121,6
122,7
123,5
124,6
125,7
126,8
127,9
128,10
129,17
130,18
131,12
132,15
133,9
134,10
135,6
136,7
137,8
138,11
139,13
140,14
141,3
142,4
143,0
144,19
145,20
146,5
147,6
148,9
149,10
150,11
151,12
152,15
153,16
154,13
155,14
156,3
157,2
158,1
159,17
160,18
161,8
162,7
163,9
164,10
165,11
166,12
167,15
168,16
169,13
170,14
171,3
172,4
173,0
174,19
175,21
176,5
177,6
178,9
179,10
180,12
181,11
182,15
183,16
184,13
185,14
186,2
187,3
188,1
189,8
190,14
191,6
192,7
193,11
194,12
195,15
196,16
197,0
198,2
199,4
200,5
201,10
202,13
203,15
204,14
205,0
206,0
207,5
208,6
209,7
210,5
211,6
212,7
213,5
214,6
215,7
216,5
217,6
218,7
219,9
220,10
221,11
222,17
223,18
224,5
225,16
226,9
227,10
228,6
229,7
230,8
231,11
232,13
233,14
234,2
235,4
236,1
237,19
238,22
239,7
240,8
241,10
242,9
243,11
244,12
245,15
246,16
247,13
248,14
249,2
250,3
251,0
252,17
253,18
254,5
255,6
256,9
257,10
258,12
259,11
260,15
261,16
262,13
263,14
264,2
265,4
266,1
267,7
268,19
269,22
270,21
271,8
272,9
273,11
274,12
275,15
276,16
277,13
278,14
279,3
280,2
281,0
282,17
283,18
284,6
285,22
286,9
287,10
288,12
289,11
290,16
291,20
292,5
293,13
294,2
295,3
296,1
297,16
298,19
299,6
300,7
301,11
302,12
303,14
304,15
305,0
306,2
307,4
308,8
309,13
310,9
311,15
312,14
313,0
314,0
315,5
316,7
317,6
318,5
319,6
320,7
321,5
322,6
323,7
324,4
325,5
326,6
327,5
328,6
329,7
330,9
331,10
332,11
333,17
334,18
335,19
336,15
337,9
338,10
339,6
340,7
341,12
342,11
343,13
344,14
345,3
346,4
347,0
348,19
349,20
350,5
351,6
352,9
353,10
354,11
355,12
356,15
357,16
358,13
359,14
360,3
361,2
362,1
363,7
364,17
365,8
366,18
367,9
368,10
369,11
370,12
371,15
372,16
373,13
374,14
375,3
376,4
377,0
378,5
379,18
380,6
381,19
382,8
383,9
384,11
385,12
386,15
387,16
388,10
389,13
390,2
391,3
392,1
393,7
394,12
395,17
396,19
397,8
398,9
399,10
400,11
401,14
402,15
403,13
404,16
405,3
406,2
407,0
408,6
409,17
410,18
411,20
412,8
413,9
414,10
415,11
416,14
417,15
418,5
419,13
420,2
421,3
422,1
423,5
424,7
425,10
426,11
427,14
428,22
429,3
430,2
431,0
432,4
433,6
434,0
435,13
436,15
437,14
438,0
439,0
440,5
441,6
442,7
443,5
444,6
445,7
446,5
447,6
448,7
449,4
450,5
451,6
452,4
453,5
454,6
455,4
