vertex,label
0,8
1,1
2,4
3,2
4,10
5,3
6,1
7,2
8,5
9,0
10,2
11,4
12,5
13,6
14,9
15,10
16,7
17,8
18,4
19,6
20,3
21,10
22,6
23,0
24,8
25,7
26,2
27,1
28,0
29,10
30,9
31,7
32,1
33,5
34,6
35,0
36,4
37,3
38,2
39,5
40,5
41,0
42,3
43,2
44,1
45,4
46,8
47,9
48,10
49,0
50,6
51,2
52,9
53,10
54,3
55,1
56,6
57,7
58,2
59,9
60,7
61,5
62,10
63,8
64,4
65,3
66,7
67,5
68,10
69,1
70,6
71,3
72,9
73,0
74,2
75,5
76,6
77,8
78,9
79,3
80,0
81,7
82,8
83,10
84,1
85,2
86,7
87,0
88,4
89,8
90,4
91,1
92,9
93,4
94,3
95,0
96,10
97,6
98,0
99,0
