vertex,label
0,1
1,10
2,14
3,0
4,10
5,12
6,6
7,13
8,11
9,3
10,5
11,9
12,6
13,14
14,8
15,15
16,2
17,6
18,8
19,11
20,2
21,9
22,11
23,18
24,10
25,15
26,13
27,6
28,8
29,5
30,2
31,6
32,3
33,5
34,9
35,12
36,14
37,16
38,8
39,11
40,0
41,2
42,4
43,7
44,5
45,18
46,1
47,15
48,13
49,18
50,0
51,9
52,1
53,10
54,5
55,13
56,1
57,7
58,2
59,11
60,18
61,3
62,0
63,9
64,8
65,2
66,9
67,13
68,5
69,7
70,9
71,11
72,5
73,7
74,0
75,2
76,8
77,1
78,3
79,7
80,9
81,1
82,3
83,5
84,0
85,4
86,6
87,16
88,6
89,4
90,7
91,1
92,3
93,7
94,0
95,12
96,8
97,0
98,2
99,4
100,6
101,1
102,3
103,14
104,4
105,6
106,8
107,0
108,2
109,4
110,6
111,8
112,7
113,1
114,3
115,5
116,7
117,0
118,9
119,11
120,12
121,5
122,9
123,13
124,4
125,8
126,12
127,7
128,10
129,0
130,12
131,1
132,9
133,11
134,5
135,8
136,12
137,4
138,8
139,10
140,3
141,6
142,0
143,10
144,7
145,14
146,6
147,18
148,7
149,2
150,8
151,3
152,13
153,2
154,0
155,8
156,5
157,12
158,4
159,17
160,1
161,7
162,5
163,11
164,0
165,10
166,7
167,9
168,9
169,3
170,1
171,6
172,9
173,13
174,0
175,12
176,0
177,8
178,10
179,2
180,11
181,6
182,14
183,16
184,10
185,13
186,15
187,8
188,0
189,10
190,1
191,13
192,13
193,3
194,10
195,14
196,6
197,1
198,7
199,12
200,6
201,9
202,1
203,5
204,0
205,8
206,2
207,14
208,10
209,0
210,11
211,2
212,9
213,5
214,10
215,7
216,5
217,8
218,3
219,6
220,1
221,3
222,6
223,11
224,3
225,10
226,12
227,18
228,4
229,8
230,1
231,13
232,11
233,0
234,4
235,8
236,12
237,2
238,5
239,7
240,2
241,5
242,7
243,0
244,5
245,9
246,11
247,18
248,14
249,9
250,11
251,6
252,3
253,12
254,16
255,9
256,7
257,1
258,18
259,3
260,8
261,10
262,3
263,9
264,2
265,11
266,6
267,12
268,2
269,4
270,6
271,11
272,8
273,3
274,14
275,0
276,6
277,1
278,18
279,2
280,11
281,1
282,5
283,10
284,8
285,11
286,0
287,8
288,6
289,4
290,0
291,2
292,13
293,5
294,3
295,6
296,8
297,2
298,6
299,11
300,0
301,7
302,10
303,2
304,10
305,12
306,1
307,3
308,8
309,1
310,4
311,8
312,18
313,6
314,8
315,10
316,15
317,5
318,18
319,12
320,18
321,1
322,12
323,9
324,0
325,6
326,14
327,0
328,2
329,11
330,7
331,2
332,9
333,1
334,5
335,8
336,6
337,4
338,8
339,5
340,8
341,2
342,11
343,15
344,10
345,5
346,3
347,6
348,12
349,8
350,10
351,16
352,12
353,15
354,17
355,7
356,5
357,0
358,4
359,18
360,7
361,9
362,1
363,10
364,16
365,18
366,7
367,13
368,10
369,1
370,5
371,14
372,13
373,3
374,7
375,12
376,15
377,6
378,11
379,5
380,11
381,13
382,17
383,15
384,15
385,6
386,3
387,18
388,4
389,14
390,1
391,6
392,8
393,10
394,4
395,9
396,6
397,16
398,14
399,7
400,12
401,0
402,18
403,3
404,7
405,10
406,16
407,0
408,5
409,2
410,14
411,17
412,8
413,0
414,10
415,2
416,6
417,8
418,10
419,13
420,9
421,1
422,3
423,5
424,15
425,4
426,0
427,7
428,10
429,6
430,8
431,12
432,10
433,4
434,7
435,18
436,5
437,11
438,17
439,1
440,7
441,13
442,2
443,4
444,14
445,9
446,5
447,10
448,8
449,6
450,9
451,5
452,12
453,0
454,4
455,7
456,10
457,3
458,6
459,12
460,6
461,11
462,13
463,2
464,11
465,1
466,12
467,0
468,3
469,5
470,2
471,9
472,15
473,7
474,0
475,3
476,9
477,1
478,15
479,11
480,0
481,2
482,8
483,0
484,6
485,8
486,0
487,9
488,7
489,5
490,14
491,4
492,11
493,3
494,6
495,1
496,2
497,15
498,1
499,13
500,5
501,4
502,10
503,11
504,8
505,5
506,9
507,7
508,3
509,11
510,13
511,1
512,6
513,13
514,4
515,1
516,5
517,3
518,9
519,11
520,6
521,3
522,0
523,4
524,14
525,9
526,4
527,14
528,16
529,4
530,11
531,1
532,10
533,18
534,8
535,1
536,6
537,14
538,4
539,12
540,3
541,7
542,2
543,10
544,8
545,11
546,13
547,0
548,11
549,15
550,6
551,14
552,12
553,6
554,8
555,10
556,5
557,7
558,3
559,12
560,2
561,6
562,1
563,3
564,0
565,2
566,9
567,0
568,13
569,3
570,4
571,6
572,8
573,11
574,1
575,1
576,7
577,7
578,1
579,3
580,14
581,4
582,0
583,14
584,9
585,9
586,4
587,7
588,0
589,4
590,2
591,6
592,0
593,15
594,2
595,0
596,8
597,2
598,6
599,16
600,0
601,2
602,18
603,1
604,13
605,5
606,0
607,3
608,6
609,9
610,4
611,7
612,2
613,18
614,8
615,1
616,4
617,7
618,0
619,3
620,5
621,9
622,14
623,5
624,8
625,11
626,2
627,10
628,2
629,12
630,1
631,9
632,0
633,6
634,11
635,4
636,5
637,7
638,4
639,6
640,14
641,2
642,5
643,0
644,8
645,0
646,2
647,15
648,3
649,3
650,11
651,10
652,5
653,9
654,18
655,6
656,2
657,12
658,5
659,0
660,2
661,11
662,3
663,6
664,0
665,11
666,7
667,17
668,5
669,2
670,14
671,9
672,1
673,14
674,3
675,5
676,8
677,3
678,6
679,3
680,7
681,9
682,12
683,17
684,1
685,11
686,9
687,0
688,2
689,11
690,0
691,3
692,5
693,8
694,11
695,13
696,18
697,16
698,10
699,18
700,7
701,12
702,7
703,5
704,3
705,11
706,2
707,4
708,1
709,10
710,0
711,2
712,8
713,1
714,18
715,8
716,16
717,2
718,6
719,4
720,10
721,5
722,0
723,0
724,4
725,12
726,7
727,0
728,12
729,8
730,4
731,18
732,10
733,3
734,9
735,18
736,1
737,1
738,3
739,18
740,1
741,4
742,7
743,4
744,0
745,5
746,8
747,10
748,1
749,7
750,14
751,0
752,2
753,12
754,18
755,0
756,5
757,13
758,6
759,9
760,15
761,4
762,6
763,3
764,7
765,1
766,10
767,13
768,7
769,2
770,8
771,1
772,12
773,6
774,0
775,3
776,1
777,8
778,12
779,5
780,7
781,17
782,3
783,0
784,3
785,6
786,0
787,3
788,9
789,0
790,10
791,6
792,9
793,1
794,7
795,13
796,2
797,2
798,8
799,2
800,10
801,3
802,9
803,5
804,0
805,13
806,17
807,6
808,14
809,12
810,4
811,5
812,7
813,4
814,8
815,2
816,0
817,0
818,7
819,10
820,6
821,12
822,4
823,2
824,16
825,4
826,5
827,0
828,3
829,7
830,9
831,0
832,3
833,7
834,8
835,11
836,1
837,13
838,2
839,4
840,12
841,0
842,12
843,9
844,14
845,11
846,15
847,8
848,2
849,9
850,5
851,0
852,14
853,3
854,3
855,6
856,12
857,5
858,1
859,8
860,0
861,7
862,10
863,4
864,2
865,9
866,0
867,7
868,10
869,6
870,8
871,1
872,3
873,15
874,7
875,9
876,4
877,1
878,4
879,9
880,5
881,8
882,3
883,1
884,7
885,9
886,9
887,11
888,2
889,15
890,7
891,1
892,8
893,0
894,5
895,3
896,11
897,2
898,8
899,0
900,6
901,4
902,6
903,2
904,8
905,0
906,13
907,4
908,12
909,10
910,1
911,3
912,0
913,5
914,1
915,6
916,0
917,2
918,6
919,8
920,10
921,3
922,12
923,7
924,0
925,13
926,2
927,4
928,6
929,3
930,0
931,10
932,13
933,5
934,3
935,5
936,18
937,1
938,14
939,12
940,16
941,3
942,5
943,0
944,2
945,7
946,4
947,6
948,2
949,9
950,3
951,8
952,4
953,9
954,12
955,0
956,14
957,1
958,1
959,3
960,16
961,4
962,10
963,0
964,9
965,1
966,13
967,2
968,4
969,7
970,6
971,8
972,11
973,13
974,4
975,1
976,14
977,5
978,7
979,3
980,6
981,11
982,0
983,10
984,4
985,11
986,0
987,5
988,1
989,3
990,5
991,2
992,7
993,13
994,4
995,9
996,13
997,15
998,8
999,6
1000,3
1001,5
1002,3
1003,11
1004,8
1005,0
1006,12
1007,0
1008,6
1009,3
1010,2
1011,5
1012,10
1013,1
1014,10
1015,8
1016,0
1017,13
1018,3
1019,7
1020,0
1021,6
1022,4
1023,2
1024,7
1025,10
1026,1
1027,9
1028,3
1029,8
