vertex,label
0,7
1,1
2,0
3,9
4,10
5,0
6,7
7,10
8,11
9,9
10,4
11,5
12,6
13,9
14,10
15,11
16,10
17,11
18,0
19,8
20,10
21,4
22,9
23,11
24,7
25,10
26,5
27,6
28,9
29,10
30,11
31,10
32,9
33,11
34,9
35,1
36,8
37,2
38,10
39,2
40,10
41,0
42,8
43,10
44,4
45,9
46,4
47,10
48,12
49,10
50,8
51,9
52,8
53,9
54,7
55,9
56,10
57,11
58,10
59,9
60,8
61,1
62,3
63,10
64,9
65,10
66,11
67,10
68,9
69,10
70,9
71,1
72,11
73,10
74,11
75,10
76,11
77,8
78,9
79,7
80,10
81,11
82,2
83,0
84,9
85,10
86,1
87,11
88,2
89,11
90,2
91,11
92,2
93,11
94,2
95,11
96,6
97,7
98,9
99,8
100,10
101,4
102,10
103,4
104,10
105,4
106,10
107,11
108,7
109,4
110,9
111,4
112,12
113,10
114,11
115,10
116,9
117,10
118,8
119,9
120,8
121,9
122,8
123,7
124,8
125,7
126,8
127,7
128,8
129,7
130,8
131,7
132,8
133,9
134,8
135,9
136,11
137,12
138,11
139,12
140,11
141,10
142,11
143,10
144,9
145,10
146,11
147,10
148,5
149,11
150,9
151,4
152,11
153,12
154,11
155,10
156,9
157,10
158,11
159,10
160,11
161,9
162,10
163,9
164,10
165,9
166,10
167,9
168,10
169,5
170,6
171,10
172,4
173,11
174,4
175,10
176,4
177,11
178,12
179,13
180,11
181,4
182,9
183,4
184,11
185,10
186,11
187,10
188,12
189,10
190,12
191,11
192,10
193,11
194,12
195,4
196,10
197,4
198,11
199,4
200,11
201,4
202,11
203,4
204,11
205,4
206,8
207,9
208,10
209,12
210,10
211,11
212,9
213,10
214,1
215,12
216,9
217,10
218,11
219,10
220,7
221,11
222,9
223,11
224,13
225,11
226,13
227,10
228,11
229,10
230,11
231,10
232,11
233,9
234,10
235,9
236,10
237,9
238,10
239,9
240,10
241,0
242,6
243,10
244,4
245,11
246,4
247,10
248,4
249,11
250,10
251,3
252,10
253,4
254,9
255,4
256,9
257,10
258,11
259,10
260,7
261,10
262,11
263,12
264,13
265,11
266,12
267,4
268,10
269,4
270,11
271,4
272,11
273,4
274,11
275,4
276,11
277,9
278,8
279,9
280,10
281,12
282,10
283,11
284,9
285,10
286,11
287,12
288,11
289,10
290,11
291,10
292,11
293,4
294,9
295,4
296,9
297,11
298,12
299,10
300,11
301,10
302,11
303,10
304,11
305,9
306,10
307,9
308,10
309,9
310,10
311,9
312,10
313,0
314,4
315,5
316,11
317,10
318,4
319,10
320,4
321,11
322,9
323,10
324,4
325,11
326,9
327,11
328,10
329,8
330,10
331,11
332,10
333,12
334,11
335,12
336,4
337,11
338,4
339,11
340,4
341,10
342,11
343,10
344,5
345,10
346,5
347,10
348,5
349,0
350,10
351,11
352,12
353,11
354,9
355,10
356,11
357,12
358,9
359,10
360,11
361,12
362,2
363,10
364,9
365,10
366,9
367,10
368,12
369,10
370,9
371,10
372,9
373,10
374,9
375,11
376,9
377,11
378,9
379,2
380,9
381,2
382,4
383,12
384,10
385,12
386,4
387,11
388,4
389,10
390,4
391,11
392,4
393,3
394,10
395,11
396,10
397,11
398,13
399,11
400,4
401,11
402,4
403,11
404,4
405,10
406,4
407,3
408,0
409,11
410,9
411,10
412,9
413,10
414,9
415,10
416,9
417,10
418,4
419,0
420,11
421,12
422,10
423,12
424,9
425,10
426,9
427,10
428,9
429,11
430,9
431,12
432,5
433,10
434,11
435,10
436,11
437,10
438,4
439,10
440,4
441,4
442,6
443,11
444,10
445,11
446,12
447,4
448,11
449,4
450,10
451,11
452,8
453,7
454,8
455,9
456,11
457,12
458,11
459,9
460,11
461,9
462,11
463,9
464,11
465,12
466,10
467,9
468,10
469,9
470,11
471,9
472,10
473,0
474,1
475,11
476,10
477,12
478,3
479,10
480,4
481,10
482,2
483,2
484,10
485,11
486,10
487,3
488,11
489,4
490,11
491,4
492,12
493,7
494,1
495,0
496,9
497,11
498,10
499,11
500,8
501,9
502,8
503,9
504,9
505,8
506,9
507,1
508,11
509,10
510,9
511,10
512,11
513,0
514,4
515,10
516,11
517,9
518,11
519,3
520,10
521,1
522,9
523,6
524,9
525,10
526,11
527,12
528,11
529,10
530,11
531,4
532,7
533,8
534,11
535,12
536,10
537,11
538,10
539,4
540,6
541,9
542,10
543,7
544,10
545,11
546,7
547,8
548,4
549,7
550,8
551,9
552,4
553,9
554,4
555,8
556,10
557,5
558,9
559,1
560,9
561,7
562,7
563,9
564,10
565,9
566,10
567,11
568,10
569,11
570,0
571,8
572,1
573,0
574,0
575,8
576,7
577,8
578,10
579,4
580,9
581,4
582,9
583,4
584,7
585,5
586,9
587,10
588,11
589,9
590,10
591,11
592,10
593,11
594,10
595,3
596,0
597,8
598,9
599,10
600,11
601,4
602,9
603,4
604,9
605,11
606,12
607,0
608,1
609,10
610,8
611,9
612,10
613,11
614,10
615,11
616,10
617,7
618,9
619,9
620,10
621,11
622,4
623,11
624,4
625,11
626,10
627,8
628,0
629,8
630,9
631,10
632,9
633,10
634,12
635,11
636,7
637,6
638,10
639,4
640,10
641,4
642,9
643,0
644,0
645,10
646,11
647,10
648,9
649,10
650,11
651,8
652,7
653,8
654,9
655,13
656,4
657,5
658,10
659,11
660,9
661,10
662,3
663,3
664,8
665,0
666,0
667,8
668,9
669,10
670,3
671,1
672,7
673,7
674,1
675,4
676,6
677,0
678,3
679,2
680,1
681,2
682,1
683,2
684,0
685,3
686,0
687,3
688,0
689,6
690,1
691,2
692,1
693,2
694,1
695,2
696,1
697,0
698,3
699,0
700,3
701,0
702,3
703,0
704,7
705,10
706,6
707,7
708,6
709,8
710,5
711,1
712,2
713,1
714,2
715,1
716,2
717,1
718,2
719,0
720,1
721,0
722,1
723,0
724,1
725,6
726,8
727,6
728,5
729,0
730,3
731,0
732,3
733,0
734,3
735,0
736,3
737,4
738,2
739,3
740,2
741,3
742,2
743,0
744,1
745,0
746,8
747,6
748,10
749,7
750,0
751,7
752,6
753,9
754,6
755,9
756,6
757,9
758,6
759,9
760,6
761,9
762,2
763,2
764,1
765,2
766,1
767,2
768,1
769,2
770,1
771,2
772,0
773,1
774,0
775,1
776,0
777,1
778,3
779,2
780,3
781,1
782,0
783,1
784,2
785,1
786,2
787,0
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,3
800,0
801,3
802,0
803,3
804,0
805,3
806,4
807,3
808,2
809,3
810,2
811,3
812,2
813,0
814,1
815,0
816,2
817,3
818,4
819,0
820,3
821,4
822,3
823,2
824,3
825,2
826,3
827,2
828,3
829,2
830,3
831,2
832,3
833,1
834,2
835,1
836,2
837,1
838,2
839,1
840,2
841,0
842,1
843,0
844,1
845,0
846,1
847,4
848,3
849,2
850,3
851,1
852,0
853,1
854,2
855,1
856,0
857,1
858,0
859,1
860,0
861,1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,3
870,0
871,3
872,0
873,3
874,0
875,3
876,4
877,2
878,3
879,2
880,3
881,2
882,0
883,1
884,0
885,4
886,2
887,3
888,4
889,0
890,3
891,2
892,3
893,2
894,3
895,2
896,3
897,2
898,3
899,2
900,3
901,2
902,3
903,1
904,2
905,1
906,2
907,1
908,2
909,1
910,2
911,0
912,1
913,0
914,1
915,0
916,1
917,3
918,2
919,3
920,1
921,0
922,1
923,2
924,1
925,4
926,0
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,3
940,0
941,3
942,0
943,3
944,0
945,3
946,4
947,2
948,3
949,2
950,3
951,2
952,0
953,1
954,0
955,2
956,3
957,4
958,0
959,3
960,2
961,3
962,2
963,3
964,2
965,3
966,2
967,3
968,2
969,3
970,2
971,3
972,2
973,2
974,1
975,2
976,1
977,2
978,1
979,2
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,3
988,2
989,3
990,1
991,0
992,1
993,2
994,1
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,6
1008,0
1009,3
1010,0
1011,3
1012,0
1013,3
1014,2
1015,3
1016,2
1017,3
1018,2
1019,9
1020,5
1021,4
1022,0
1023,2
1024,3
1025,4
1026,0
1027,3
1028,2
1029,3
1030,2
1031,3
1032,2
1033,3
1034,2
1035,6
1036,7
1037,6
1038,7
1039,2
1040,1
1041,2
1042,1
1043,2
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,6
1051,1
1052,0
1053,1
1054,2
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
1061,1
1062,0
1063,6
1064,0
1065,3
1066,0
1067,3
1068,2
1069,3
1070,2
1071,3
1072,2
1073,5
1074,7
1075,3
1076,0
1077,3
1078,2
1079,3
1080,2
1081,3
1082,2
1083,3
1084,2
1085,2
1086,1
1087,2
1088,1
1089,0
1090,1
1091,0
1092,1
1093,1
1094,2
1095,1
1096,0
1097,1
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,3
1106,4
1107,2
1108,3
1109,2
1110,3
1111,0
1112,3
1113,4
1114,2
1115,3
1116,2
1117,3
1118,2
1119,3
1120,2
1121,6
1122,5
1123,1
1124,2
1125,0
1126,1
1127,0
1128,1
1129,0
1130,5
1131,1
1132,2
1133,0
1134,1
1135,0
1136,1
1137,0
1138,1
1139,4
1140,5
1141,6
1142,0
1143,3
1144,4
1145,2
1146,3
1147,2
1148,3
1149,6
1150,0
1151,3
1152,4
1153,2
1154,3
1155,2
1156,3
1157,2
1158,2
1159,1
1160,2
1161,1
1162,0
1163,5
1164,4
1165,5
1166,4
1167,1
1168,2
1169,0
1170,1
1171,0
1172,1
1173,0
1174,5
1175,6
1176,0
1177,3
1178,0
1179,3
1180,2
1181,0
1182,3
1183,4
1184,5
1185,6
1186,2
1187,3
1188,0
1189,1
1190,2
1191,1
1192,2
1193,1
1194,2
1195,1
1196,0
1197,4
1198,5
1199,5
1200,6
1201,2
1202,3
1203,0
1204,3
1205,0
1206,3
1207,6
1208,6
1209,0
1210,1
1211,0
1212,1
1213,2
1214,1
1215,2
1216,1
1217,2
1218,1
1219,2
1220,3
1221,2
1222,3
1223,0
1224,3
1225,0
1226,3
1227,0
1228,3
1229,0
1230,1
1231,0
1232,1
1233,2
1234,1
1235,2
1236,1
1237,2
1238,6
1239,7
1240,6
1241,2
1242,3
1243,0
1244,3
1245,0
1246,3
1247,0
1248,1
1249,4
1250,1
1251,2
1252,1
1253,2
1254,1
1255,2
1256,3
1257,4
1258,0
1259,3
1260,0
1261,3
1262,0
1263,4
1264,5
1265,1
1266,2
1267,1
1268,2
1269,1
1270,2
1271,5
1272,0
1273,3
1274,0
1275,3
1276,0
1277,3
1278,4
1279,2
1280,1
1281,9
1282,2
1283,1
1284,2
1285,1
1286,2
1287,5
1288,0
1289,6
1290,6
1291,0
1292,7
1293,0
1294,4
1295,5
1296,2
1297,6
1298,8
1299,4
1300,5
1301,8
1302,4
1303,5
1304,6
1305,7
1306,6
1307,9
1308,3
1309,7
1310,8
1311,5
1312,8
1313,4
1314,8
1315,4
1316,5
1317,6
1318,7
1319,6
1320,5
1321,6
1322,3
1323,3
1324,7
1325,8
1326,5
1327,8
1328,7
1329,8
1330,4
1331,5
1332,3
1333,4
1334,3
1335,4
1336,3
1337,8
1338,6
1339,5
1340,6
1341,7
1342,6
1343,5
1344,6
1345,7
1346,6
1347,7
1348,5
1349,6
1350,5
1351,6
1352,4
1353,3
1354,4
1355,2
1356,2
1357,3
1358,0
1359,4
1360,7
1361,8
1362,5
1363,8
1364,7
1365,8
1366,5
1367,8
1368,9
1369,8
1370,7
1371,8
1372,7
1373,5
1374,6
1375,5
1376,6
1377,3
1378,4
1379,5
1380,4
1381,5
1382,4
1383,3
1384,4
1385,3
1386,4
1387,3
1388,4
1389,3
1390,4
1391,3
1392,4
1393,5
1394,6
1395,5
1396,6
1397,9
1398,6
1399,9
1400,5
1401,6
1402,7
1403,6
1404,5
1405,6
1406,5
1407,6
1408,9
1409,8
1410,7
1411,8
1412,7
1413,5
1414,6
1415,7
1416,6
1417,7
1418,6
1419,5
1420,6
1421,5
1422,6
1423,5
1424,6
1425,5
1426,6
1427,5
1428,6
1429,7
1430,3
1431,7
1432,8
1433,5
1434,7
1435,8
1436,7
1437,8
1438,9
1439,8
1440,7
1441,8
1442,7
1443,8
1444,7
1445,6
1446,5
1447,6
1448,9
1449,8
1450,9
1451,8
1452,5
1453,8
1454,9
1455,7
1456,8
1457,7
1458,8
1459,7
1460,8
1461,7
1462,8
1463,7
1464,8
1465,9
1466,4
1467,5
1468,6
1469,9
1470,6
1471,5
1472,6
1473,5
1474,6
1475,10
1476,5
1477,6
1478,5
1479,6
1480,9
1481,8
1482,7
1483,8
1484,7
1485,5
1486,6
1487,7
1488,6
1489,7
1490,5
1491,6
1492,5
1493,6
1494,5
1495,6
1496,5
1497,6
1498,5
1499,6
1500,5
1501,6
1502,3
1503,7
1504,8
1505,5
1506,7
1507,8
1508,7
1509,8
1510,7
1511,8
1512,7
1513,8
1514,7
1515,8
1516,5
1517,6
1518,5
1519,6
1520,9
1521,8
1522,9
1523,8
1524,9
1525,8
1526,9
1527,7
1528,8
1529,7
1530,8
1531,7
1532,8
1533,7
1534,8
1535,7
1536,8
1537,7
1538,4
1539,5
1540,6
1541,9
1542,6
1543,5
1544,6
1545,5
1546,6
1547,9
1548,5
1549,6
1550,5
1551,6
1552,7
1553,8
1554,7
1555,8
1556,5
1557,6
1558,7
1559,5
1560,6
1561,7
1562,5
1563,6
1564,5
1565,6
1566,5
1567,6
1568,5
1569,6
1570,5
1571,6
1572,5
1573,4
1574,6
1575,7
1576,8
1577,5
1578,7
1579,8
1580,7
1581,8
1582,7
1583,8
1584,7
1585,8
1586,7
1587,8
1588,5
1589,6
1590,5
1591,6
1592,7
1593,8
1594,9
1595,8
1596,9
1597,8
1598,9
1599,7
1600,8
1601,7
1602,8
1603,7
1604,8
1605,7
1606,8
1607,7
1608,8
1609,9
1610,4
1611,6
1612,9
1613,5
1614,6
1615,5
1616,6
1617,5
1618,6
1619,5
1620,6
1621,4
1622,7
1623,0
1624,7
1625,8
1626,5
1627,6
1628,7
1629,5
1630,6
1631,5
1632,6
1633,5
1634,6
1635,5
1636,6
1637,4
1638,3
1639,4
1640,3
1641,4
1642,8
1643,5
1644,7
1645,8
1646,7
1647,8
1648,7
1649,8
1650,7
1651,8
1652,7
1653,5
1654,2
1655,4
1656,7
1657,8
1658,9
1659,8
1660,7
1661,8
1662,7
1663,8
1664,7
1665,8
1666,7
1667,8
1668,9
1669,4
1670,5
1671,6
1672,5
1673,6
1674,5
1675,6
1676,5
1677,6
1678,9
1679,8
1680,3
1681,5
1682,6
1683,5
1684,6
1685,5
1686,6
1687,5
1688,6
1689,5
1690,6
1691,10
1692,8
1693,7
1694,8
1695,7
1696,8
1697,7
1698,8
1699,7
1700,8
1701,2
1702,9
1703,7
1704,8
1705,7
1706,8
1707,7
1708,8
1709,7
1710,8
1711,7
1712,5
1713,4
1714,5
1715,6
1716,9
1717,5
1718,6
1719,5
1720,6
1721,3
1722,5
1723,6
1724,9
1725,5
1726,6
1727,5
1728,6
1729,5
1730,6
1731,4
1732,3
1733,6
1734,7
1735,8
1736,7
1737,8
1738,7
1739,8
1740,7
1741,8
1742,7
1743,8
1744,7
1745,8
1746,7
1747,8
1748,7
1749,8
1750,0
1751,8
1752,3
1753,5
1754,6
1755,9
1756,5
1757,6
1758,5
1759,6
1760,0
1761,3
1762,5
1763,6
1764,9
1765,5
1766,6
1767,5
1768,6
1769,9
1770,8
1771,4
1772,7
1773,8
1774,7
1775,0
1776,7
1777,0
1778,1
1779,4
1780,7
1781,8
1782,7
1783,8
1784,7
1785,8
1786,7
1787,9
1788,5
1789,6
1790,5
1791,6
1792,9
1793,3
1794,5
1795,6
1796,9
1797,3
1798,4
1799,5
1800,6
1801,2
1802,3
1803,4
1804,7
1805,8
1806,7
1807,8
1808,4
1809,7
1810,8
1811,2
1812,8
1813,0
1814,1
1815,8
1816,5
1817,6
1818,5
1819,6
1820,5
1821,6
1822,3
1823,4
1824,2
1825,2
1826,3
1827,4
1828,7
1829,8
1830,7
1831,8
1832,7
1833,8
1834,3
1835,4
1836,5
1837,6
1838,5
1839,6
1840,5
1841,6
1842,5
1843,6
1844,5
1845,7
1846,6
1847,7
1848,8
1849,7
1850,8
1851,7
1852,8
1853,7
1854,8
1855,9
1856,5
1857,3
1858,4
1859,5
1860,6
1861,5
1862,6
1863,5
1864,6
1865,4
1866,3
1867,0
1868,7
1869,8
1870,7
1871,8
1872,7
1873,8
1874,5
1875,6
1876,6
1877,5
1878,6
1879,5
1880,6
1881,9
1882,0
1883,1
1884,3
1885,7
1886,8
1887,7
1888,8
1889,7
1890,8
1891,8
1892,5
1893,6
1894,5
