vertex,label
0,0
1,6
2,10
3,7
4,0
5,2
6,9
7,0
8,4
9,9
10,0
11,10
12,12
13,2
14,0
15,11
16,4
17,9
18,0
19,5
20,7
21,0
22,2
23,4
24,10
25,1
26,3
27,12
28,0
29,2
30,11
31,0
32,8
33,7
34,3
35,1
36,9
37,3
38,5
39,7
40,10
41,11
42,3
43,5
44,1
45,3
46,5
47,7
48,3
49,1
50,6
51,3
52,2
53,4
54,6
55,11
56,11
57,3
58,5
59,7
60,9
61,11
62,6
63,8
64,10
65,3
66,1
67,5
68,7
69,4
70,6
71,8
72,1
73,3
74,5
75,7
76,9
77,4
78,6
79,8
80,1
81,9
82,5
83,10
84,7
85,9
86,1
87,3
88,5
89,7
90,9
91,0
92,2
93,4
94,1
95,3
96,3
97,1
98,5
99,10
100,11
101,9
102,2
103,0
104,11
105,5
106,8
107,10
108,12
109,0
110,2
111,9
112,11
113,13
114,15
115,3
116,1
117,11
118,13
119,7
120,9
121,1
122,3
123,11
124,13
125,5
126,7
127,9
128,0
129,11
130,8
131,0
132,3
133,8
134,0
135,5
136,7
137,9
138,12
139,6
140,1
141,3
142,5
143,7
144,0
145,2
146,4
147,1
148,6
149,4
150,0
151,2
152,10
153,12
154,4
155,0
156,2
157,9
158,1
159,3
160,5
161,8
162,6
163,2
164,4
165,1
166,4
167,7
168,3
169,10
170,1
171,3
172,10
173,7
174,11
175,13
176,3
177,5
178,7
179,9
180,5
181,8
182,10
183,5
184,7
185,3
186,6
187,8
188,11
189,6
190,0
191,11
192,11
193,1
194,10
195,12
196,5
197,8
198,2
199,8
200,2
201,4
202,6
203,8
204,4
205,6
206,1
207,7
208,4
209,6
210,1
211,7
212,4
213,6
214,8
215,2
216,4
217,1
218,3
219,5
220,7
221,1
222,6
223,8
224,10
225,5
226,7
227,9
228,5
229,7
230,1
231,4
232,0
233,5
234,12
235,9
236,0
237,2
238,8
239,8
240,0
241,2
242,8
243,8
244,0
245,2
246,10
247,10
248,0
249,8
250,7
251,0
252,2
253,9
254,9
255,0
256,2
257,4
258,0
259,2
260,4
261,0
262,2
263,6
264,9
265,10
266,10
267,0
268,2
269,4
270,6
271,0
272,2
273,4
274,6
275,0
276,2
277,4
278,6
279,0
280,2
281,4
282,1
283,3
284,5
285,7
286,0
287,2
288,4
289,6
290,8
291,10
292,5
293,11
294,10
295,4
296,8
297,5
298,1
299,3
300,11
301,12
302,1
303,3
304,11
305,13
306,1
307,3
308,5
309,7
310,1
311,3
312,5
313,7
314,9
315,5
316,0
317,2
318,4
319,6
320,8
321,1
322,3
323,0
324,2
325,12
326,13
327,1
328,6
329,3
330,0
331,6
332,6
333,1
334,3
335,5
336,0
337,2
338,4
339,6
340,8
341,1
342,3
343,5
344,0
345,8
346,0
347,2
348,7
349,4
350,6
351,0
352,9
353,10
354,5
355,7
356,4
357,6
358,0
359,2
360,4
361,0
362,7
363,7
364,2
365,10
366,9
367,0
368,7
369,9
370,5
371,0
372,9
373,2
374,6
375,8
376,10
377,11
378,2
379,12
380,12
381,3
382,1
383,8
384,2
385,5
386,1
387,3
388,10
389,8
390,9
391,3
392,5
393,7
394,3
395,1
396,9
397,10
398,6
399,0
400,10
401,12
402,7
403,9
404,11
405,2
406,12
407,2
408,4
409,9
410,11
411,13
412,11
413,7
414,7
415,13
416,9
417,11
418,13
419,8
420,2
421,0
422,12
423,9
424,13
425,11
426,8
427,10
428,4
429,6
430,2
431,8
432,8
433,1
434,3
435,5
436,1
437,3
438,5
439,7
440,10
441,10
442,3
443,5
444,1
445,3
446,5
447,2
448,4
449,6
450,8
451,1
452,3
453,5
454,7
455,1
456,3
457,6
458,1
459,3
460,5
461,9
462,0
463,7
464,12
465,3
466,5
467,7
