vertex,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,14
112,17
113,0
114,11
115,16
116,5
117,0
118,0
119,0
120,0
121,0
122,0
123,6
124,16
125,4
126,14
127,22
128,0
129,10
130,17
131,8
132,12
133,21
134,1
135,20
136,26
137,3
138,13
139,22
140,9
141,23
142,16
143,5
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,10
160,12
161,3
162,8
163,19
164,1
165,17
166,22
167,14
168,21
169,28
170,7
171,11
172,18
173,1
174,9
175,20
176,3
177,13
178,16
179,5
180,15
181,18
182,7
183,17
184,25
185,10
186,19
187,27
188,1
189,21
190,8
191,3
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,20
208,18
209,15
210,13
211,24
212,4
213,11
214,29
215,6
216,19
217,25
218,9
219,15
220,24
221,5
222,17
223,28
224,7
225,19
226,26
227,1
228,11
229,23
230,3
231,14
232,29
233,5
234,12
235,26
236,7
237,17
238,20
239,15
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,11
256,26
257,1
258,9
259,23
260,7
261,20
262,27
263,0
264,17
265,31
266,13
267,21
268,30
269,8
270,23
271,32
272,10
273,15
274,31
275,6
276,17
277,27
278,8
279,19
280,28
281,1
282,9
283,30
284,3
285,5
286,23
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,24
304,22
305,3
306,16
307,25
308,5
309,10
310,12
311,2
312,22
313,32
314,4
315,18
316,28
317,0
318,20
319,25
320,13
321,22
322,33
323,11
324,24
325,29
326,14
327,16
328,31
329,6
330,22
331,32
332,18
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,15
352,29
353,12
354,18
355,28
356,8
357,21
358,19
359,6
360,24
361,20
362,11
363,16
364,29
365,14
366,5
367,26
368,3
369,18
370,28
371,0
372,20
373,23
374,4
375,13
376,26
377,9
378,15
379,27
380,7
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,16
397,11
398,6
399,20
400,25
401,4
402,13
403,27
404,10
405,16
406,32
407,3
408,26
409,31
410,1
411,19
412,12
413,6
414,11
415,24
416,9
417,21
418,15
419,7
420,16
421,25
422,10
423,19
424,24
425,0
426,11
427,29
428,3
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,21
445,30
446,1
447,14
448,26
449,7
450,19
451,29
452,0
453,22
454,20
455,8
456,28
457,33
458,10
459,17
460,35
461,15
462,13
463,27
464,1
465,19
466,23
467,3
468,22
469,14
470,5
471,17
472,28
473,7
474,23
475,10
476,20
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,23
493,31
494,12
495,17
496,28
497,9
498,11
499,25
500,2
501,18
502,27
503,5
504,24
505,32
506,12
507,22
508,36
509,7
510,25
511,34
512,10
513,17
514,31
515,12
516,20
517,27
518,0
519,13
520,30
521,3
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
