vertex,label
0,0
1,2
2,2
3,6
4,7
5,16
6,262
7,4
8,2
9,17
10,35
11,1
12,1
13,2
14,1
15,1
16,2
17,3
18,1
19,6
20,3
21,1
22,1
23,2
24,1
25,1
26,2
27,1
28,5
29,5
30,2
31,1
32,3
33,2
34,2
35,3
36,3
37,2
38,1
39,5
40,3
41,3
42,2
43,2
44,3
45,4
46,3
47,3
48,3
49,84
50,263
51,3
52,1
53,3
54,4
55,5
56,3
57,2
58,7
59,2
60,4
61,2
62,1
63,2
64,1
65,2
66,1
67,3
68,2
69,3
70,1
71,2
72,3
73,3
74,0
75,1
76,18
77,85
78,4
79,86
80,2
81,2
82,4
83,1
84,2
85,3
86,1
87,1
88,4
89,3
90,4
91,3
92,4
93,1
94,3
95,0
96,1
97,3
98,1
99,1
100,2
101,1
102,87
103,36
104,3
105,88
106,3
107,89
108,264
109,2
110,4
111,5
112,1
113,2
114,1
115,2
116,1
117,3
118,3
119,2
120,1
121,2
122,1
123,2
124,1
125,2
126,1
127,2
128,7
129,0
130,4
131,37
132,90
133,8
134,38
135,265
136,91
137,39
138,3
139,1
140,4
141,40
142,266
143,267
144,92
145,93
146,41
147,19
148,42
149,94
150,268
151,95
152,20
153,96
154,97
155,98
156,269
157,270
158,271
159,272
160,273
161,99
162,100
163,101
164,102
165,43
166,21
167,44
168,103
169,104
170,105
171,106
172,9
173,274
174,45
175,275
176,107
177,108
178,109
179,110
180,22
181,276
182,23
183,46
184,111
185,24
186,112
187,47
188,113
189,114
190,10
191,48
192,115
193,49
194,50
195,116
196,51
197,117
198,2
199,118
200,25
201,1
202,4
203,119
204,52
205,120
206,53
207,1
208,4
209,6
210,9
211,6
212,5
213,5
214,6
215,5
216,6
217,5
218,277
219,3
220,5
221,4
222,6
223,6
224,4
225,3
226,5
227,6
228,7
229,278
230,6
231,121
232,6
233,1
234,279
235,6
236,5
237,280
238,6
239,4
240,7
241,6
242,281
243,282
244,283
245,284
246,285
247,286
248,287
249,122
250,289
251,2
252,288
253,290
254,291
255,292
256,293
257,294
258,295
259,296
260,297
261,4
262,5
263,6
264,123
265,124
266,26
267,125
268,126
269,3
270,298
271,127
272,128
273,4
274,299
275,129
276,130
277,131
278,54
279,4
280,3
281,55
282,56
283,11
284,132
285,133
286,1
287,57
288,300
289,301
290,302
291,134
292,135
293,136
294,303
295,137
296,138
297,139
298,304
299,140
300,141
301,142
302,143
303,144
304,145
305,1
306,5
307,146
308,147
309,148
310,305
311,149
312,306
313,307
314,150
315,151
316,152
317,153
318,58
319,59
320,1
321,154
322,155
323,3
324,60
325,27
326,308
327,61
328,4
329,2
330,156
331,157
332,309
333,62
334,310
335,63
336,64
337,158
338,311
339,312
340,313
341,159
342,12
343,160
344,314
345,161
346,162
347,315
348,65
349,316
350,163
351,2
352,164
353,317
354,165
355,318
356,66
357,166
358,167
359,319
360,320
361,168
362,321
363,322
364,323
365,2
366,324
367,325
368,2
369,3
370,326
371,327
372,328
373,169
374,329
375,330
376,331
377,6
378,7
379,3
380,2
381,3
382,67
383,28
384,170
385,68
386,1
387,9
388,2
389,8
390,5
391,3
392,4
393,2
394,1
395,2
396,1
397,2
398,4
399,69
400,2
401,3
402,1
403,3
404,332
405,333
406,334
407,335
408,29
409,171
410,30
411,4
412,70
413,336
414,71
415,337
416,172
417,1
418,338
419,173
420,339
421,31
422,3
423,2
424,340
425,72
426,32
427,33
428,174
429,2
430,175
431,176
432,34
433,177
434,178
435,179
436,341
437,342
438,343
439,180
440,181
441,13
442,1
443,182
444,183
445,73
446,74
447,184
448,185
449,186
450,187
451,188
452,14
453,189
454,75
455,190
456,76
457,77
458,191
459,344
460,192
461,345
462,78
463,193
464,194
465,79
466,80
467,195
468,196
469,346
470,15
471,197
472,347
473,3
474,348
475,349
476,350
477,198
478,199
479,351
480,81
481,352
482,353
483,354
484,200
485,355
486,201
487,356
488,202
489,1
490,2
491,357
492,358
493,359
494,2
495,2
496,1
497,360
498,361
499,203
500,204
501,205
502,206
503,207
504,1
505,5
506,4
507,7
508,362
509,363
510,364
511,365
512,440
513,366
514,208
515,367
516,6
517,368
518,5
519,5
520,5
521,5
522,369
523,370
524,371
525,372
526,373
527,374
528,375
529,376
530,377
531,378
532,379
533,380
534,381
535,382
536,383
537,4
538,384
539,385
540,386
541,209
542,210
543,387
544,388
545,211
546,212
547,389
548,3
549,390
550,82
551,213
552,214
553,4
554,391
555,215
556,216
557,392
558,83
559,5
560,5
561,217
562,218
563,219
564,220
565,393
566,1
567,221
568,222
569,223
570,394
571,224
572,225
573,226
574,395
575,227
576,228
577,229
578,230
579,396
580,231
581,232
582,397
583,398
584,399
585,233
586,8
587,400
588,234
589,235
590,401
591,236
592,402
593,237
594,403
595,238
596,404
597,239
598,405
599,406
600,240
601,407
602,241
603,8
604,408
605,409
606,410
607,6
608,2
609,411
610,412
611,413
612,414
613,242
614,243
615,244
616,245
617,246
618,415
619,416
620,247
621,248
622,417
623,249
624,250
625,418
626,251
627,419
628,252
629,3
630,420
631,421
632,253
633,254
634,255
635,422
636,423
637,424
638,425
639,426
640,427
641,428
642,3
643,256
644,257
645,2
646,429
647,430
648,431
649,432
650,433
651,434
652,435
653,436
654,258
655,259
656,437
657,4
658,260
659,261
660,438
661,439
662,3
