vertex,label
0,5
1,3
2,0
3,6
4,44
5,40
6,41
7,34
8,35
9,36
10,37
11,38
12,39
13,0
14,3
15,42
16,2
17,43
18,7
19,10
20,5
21,5
22,11
23,13
24,11
25,16
26,16
27,13
28,13
29,14
30,13
31,12
32,11
33,11
34,8
35,45
36,46
37,50
38,6
39,6
40,0
41,2
42,4
43,0
44,10
45,1
46,4
47,5
48,3
49,16
50,2
51,2
52,16
53,0
54,4
55,54
56,16
57,46
58,13
59,14
60,15
61,17
62,34
63,42
64,47
65,48
66,49
67,43
68,50
69,44
70,55
71,10
72,55
73,10
74,10
75,10
76,11
77,10
78,56
79,56
80,6
81,9
82,6
83,6
84,19
85,51
86,52
87,53
88,35
89,9
90,2
91,4
92,1
93,2
94,6
95,1
96,45
97,6
98,0
99,5
100,13
101,3
102,0
103,3
104,3
105,9
106,12
107,7
108,8
109,6
110,1
111,3
112,35
113,37
114,36
115,4
116,38
117,39
118,40
119,5
120,2
121,41
122,43
123,42
124,11
125,11
126,19
127,9
128,11
129,55
130,7
131,8
132,8
133,8
134,11
135,11
136,10
137,23
138,11
139,47
140,48
141,49
142,51
143,12
144,15
145,18
146,12
147,28
148,13
149,9
150,0
151,1
152,3
153,4
154,44
155,8
156,12
157,4
158,11
159,11
160,11
161,11
162,8
163,15
164,11
165,14
166,36
167,13
168,34
169,35
170,10
171,39
172,40
173,41
174,42
175,43
176,1
177,37
178,0
179,7
180,9
181,50
182,15
183,12
184,9
185,17
186,7
187,7
188,17
189,50
190,6
191,7
192,15
193,16
194,44
195,45
196,46
197,47
198,20
199,19
200,0
201,1
202,9
203,31
204,2
205,38
206,4
207,9
208,19
209,17
210,7
211,9
212,8
213,55
214,5
215,6
216,13
217,10
218,9
219,15
220,17
221,44
222,14
223,5
224,18
225,2
226,19
227,20
228,21
229,7
230,13
231,3
232,6
233,11
234,15
235,12
236,16
237,2
238,2
239,18
240,20
241,21
242,22
243,23
244,24
245,25
246,26
247,27
248,28
249,29
250,32
251,30
252,33
253,31
254,4
255,9
256,29
257,8
258,9
259,10
260,22
261,7
262,0
263,13
264,8
265,10
266,7
267,31
268,32
269,33
270,40
271,27
272,39
273,30
274,26
275,34
276,35
277,36
278,37
279,38
280,3
281,4
282,5
283,6
284,0
285,7
286,9
287,1
288,10
289,2
290,21
291,22
292,19
293,20
294,25
295,19
296,19
297,19
298,25
299,30
300,26
301,27
302,28
303,29
304,33
305,13
306,14
307,15
308,18
309,20
310,11
311,8
312,0
313,1
314,3
315,16
316,8
317,5
318,6
319,22
320,25
321,23
322,19
323,21
324,20
325,27
326,24
327,31
328,26
329,17
330,27
331,33
332,29
333,32
334,28
335,14
336,15
337,18
338,19
339,20
340,21
341,22
342,23
343,24
344,11
345,12
346,16
347,17
348,25
349,5
350,1
351,10
352,1
353,7
354,4
355,1
356,2
357,12
358,5
359,9
360,1
361,4
362,0
