vertex,label
0,3
1,12
2,0
3,0
4,2
5,1
6,1
7,2
8,2
9,13
10,14
11,14
12,14
13,6
14,14
15,1
16,0
17,14
18,13
19,13
20,7
21,4
22,7
23,4
24,11
25,11
26,2
27,0
28,2
29,14
30,13
31,0
32,1
33,7
34,11
35,14
36,1
37,13
38,2
39,4
40,0
41,9
42,11
43,4
44,3
45,5
46,1
47,0
48,3
49,7
50,5
51,4
52,3
53,12
54,2
55,2
56,3
57,2
58,2
59,0
60,0
61,6
62,5
63,0
64,1
65,14
66,7
67,13
68,6
69,14
70,12
71,0
72,12
73,0
74,2
75,4
76,0
77,2
78,4
79,6
80,9
81,3
82,10
83,1
84,3
85,13
86,0
87,2
88,13
89,1
90,14
91,11
92,8
93,1
94,3
95,12
96,6
97,12
98,0
99,2
100,4
101,10
102,14
103,1
104,11
105,2
106,13
107,7
108,0
109,2
110,9
111,3
112,5
113,0
114,3
115,1
116,5
117,14
118,0
119,5
120,1
121,6
122,14
123,12
124,7
125,1
126,3
127,10
128,11
129,2
130,12
131,1
132,3
133,0
134,5
135,9
136,14
137,4
138,6
139,8
140,5
141,7
142,1
143,3
144,1
145,13
146,0
147,14
148,12
149,9
150,6
151,13
152,4
153,9
154,12
155,4
156,0
157,11
158,8
159,4
160,0
161,14
162,6
163,13
164,9
165,3
166,0
167,9
168,13
169,10
170,1
171,3
172,6
173,12
174,4
175,6
176,2
177,4
178,7
179,14
180,2
181,7
182,11
183,1
184,7
185,11
186,0
187,6
188,11
189,13
190,9
191,12
192,0
193,6
194,8
195,14
196,12
197,6
198,13
199,2
200,5
201,1
202,3
203,0
204,2
205,11
206,8
207,0
208,3
209,7
210,11
211,5
212,7
213,0
214,2
215,7
216,6
217,0
218,8
219,1
220,3
221,13
222,10
223,14
224,9
225,2
226,4
227,7
228,11
229,1
230,5
231,11
232,7
233,5
234,9
235,0
236,4
237,9
238,2
239,0
240,10
241,1
242,11
243,5
244,12
245,0
246,8
247,3
248,5
249,3
250,13
251,1
252,8
253,2
254,6
255,14
256,8
257,3
258,0
259,2
260,9
261,14
262,0
263,10
264,10
265,14
266,7
267,4
268,6
269,1
270,3
271,6
272,0
273,2
274,13
275,8
276,10
277,12
278,5
279,9
280,8
281,4
282,6
283,11
284,14
285,2
286,0
287,12
288,1
289,11
290,0
291,3
292,8
293,10
294,3
295,6
296,12
297,3
298,13
299,6
300,1
301,7
302,12
303,8
304,0
305,14
306,2
307,10
308,3
309,5
310,1
311,11
312,9
313,12
314,4
315,14
316,0
317,12
318,4
319,0
320,2
321,7
322,12
323,5
324,7
325,2
326,4
327,12
328,4
329,0
330,2
331,14
332,0
333,5
334,14
335,2
336,9
337,6
338,4
339,1
340,3
341,8
342,1
343,4
344,3
345,1
346,10
347,5
348,7
349,4
350,6
351,10
352,10
353,8
354,2
355,9
356,0
357,12
358,14
359,2
360,6
361,0
362,7
363,12
364,10
365,2
366,0
367,13
368,2
369,4
370,9
371,0
372,6
373,14
374,3
375,5
376,7
377,1
378,6
379,2
380,9
381,1
382,13
383,10
384,14
385,11
386,1
387,3
388,10
389,6
390,11
391,1
392,6
393,3
394,13
395,7
396,2
397,9
398,0
399,13
400,1
401,8
402,0
403,10
404,5
405,11
406,3
407,6
408,5
409,14
410,3
411,12
412,1
413,14
414,8
415,0
416,0
417,12
418,5
419,14
420,3
421,5
422,1
423,7
424,4
425,2
426,11
427,1
428,7
429,13
430,4
431,9
432,10
433,7
434,3
435,13
436,2
437,0
438,6
439,2
440,3
441,5
442,0
443,4
444,14
445,3
446,11
447,14
448,0
449,13
450,4
451,9
452,12
453,14
454,2
455,6
456,10
457,1
458,8
459,0
460,4
461,1
462,5
463,3
464,13
465,4
466,6
467,2
468,7
469,13
470,9
471,11
472,7
473,0
474,13
475,4
476,11
477,0
478,2
479,5
480,9
481,3
482,1
483,7
484,13
485,8
486,6
487,3
488,11
489,5
490,9
491,3
492,0
493,10
494,14
495,11
496,13
497,0
498,6
499,10
500,4
501,7
502,1
503,13
504,9
505,2
506,14
507,1
508,8
509,13
510,4
511,0
512,8
513,3
514,0
515,13
516,1
517,8
518,0
519,12
520,12
521,14
522,2
523,6
524,11
525,3
526,7
527,9
528,0
529,7
530,9
531,14
532,0
533,5
534,1
535,13
536,4
537,2
538,5
539,1
540,9
541,7
542,4
543,8
544,12
545,6
546,10
547,12
548,4
549,1
550,9
551,12
552,8
553,1
554,4
555,6
556,2
557,5
558,0
559,4
560,6
561,3
562,11
563,0
564,14
565,11
566,3
567,7
568,1
569,7
570,5
571,12
572,6
573,1
574,14
575,2
576,1
577,5
578,9
579,11
580,14
581,6
582,4
583,8
584,6
585,0
586,4
587,1
588,5
589,0
590,2
591,5
592,14
593,3
594,12
595,8
596,2
597,9
598,6
599,10
600,1
601,8
602,0
603,10
604,6
605,12
606,0
607,3
608,10
609,4
610,2
611,14
612,0
613,3
614,5
615,7
616,0
617,14
618,7
619,1
620,11
621,9
622,2
623,13
624,2
625,5
626,9
627,3
628,7
629,0
630,6
631,1
632,4
633,0
634,2
635,14
636,9
637,4
638,11
639,8
640,4
641,14
642,12
643,0
644,9
645,2
646,12
647,14
648,8
649,2
650,6
651,3
652,7
653,4
654,8
655,11
656,12
657,5
658,1
659,13
660,11
661,1
662,3
663,0
664,7
665,10
666,3
667,5
668,8
669,14
670,7
671,12
672,5
673,0
674,6
