vertex,label
0,9
1,7
2,11
3,8
4,2
5,10
6,6
7,7
8,5
9,6
10,5
11,10
12,1
13,2
14,6
15,4
16,3
17,4
18,0
19,2
20,2
21,11
22,9
23,1
24,9
25,1
26,10
27,4
28,10
29,4
30,11
31,3
32,5
33,0
34,7
35,0
36,9
37,10
38,8
39,4
40,8
41,1
42,10
43,8
44,10
45,5
46,7
47,5
48,9
49,0
50,5
51,6
52,10
53,0
54,10
55,9
56,6
57,11
58,7
59,3
60,9
61,3
62,5
63,0
64,4
65,1
66,0
67,3
68,7
69,6
70,5
71,3
72,10
73,0
74,7
75,1
76,5
77,11
78,4
79,11
80,9
81,5
82,7
83,3
84,11
85,10
86,9
87,8
88,1
89,9
90,5
91,10
92,10
93,0
94,1
95,2
96,6
97,8
98,11
99,1
100,7
101,6
102,11
103,5
104,0
105,4
106,1
107,6
108,8
109,3
110,1
111,11
112,3
113,2
114,11
115,0
116,5
117,1
118,0
119,2
120,7
121,6
122,9
123,1
124,0
125,8
126,11
127,7
128,6
129,6
130,5
131,2
132,3
133,2
134,4
135,9
136,10
137,8
138,4
139,5
140,7
141,8
142,8
143,4
144,6
145,11
146,2
147,3
148,0
149,11
150,1
151,3
152,7
153,0
154,11
155,8
