vertex,label
0,3
1,1
2,2
3,1
4,0
5,2
6,1
7,0
8,2
9,0
10,2
11,1
12,2
13,1
14,2
15,5
16,13
17,14
18,6
19,5
20,12
21,3
22,2
23,3
24,5
25,1
26,6
27,4
28,0
29,4
30,4
31,6
32,12
33,4
34,8
35,1
36,7
37,3
38,9
39,4
40,3
41,0
42,10
43,4
44,10
45,7
46,18
47,5
48,12
49,5
50,11
51,5
52,9
53,3
54,1
55,5
56,9
57,3
58,0
59,11
60,8
61,7
62,9
63,10
64,6
65,9
66,9
67,12
68,11
69,13
70,8
71,7
72,9
73,12
74,12
75,11
76,0
77,6
78,0
79,7
80,10
81,6
82,4
83,3
84,7
85,8
86,7
87,8
88,6
89,7
90,12
91,16
92,14
93,15
94,16
95,11
96,14
97,17
98,15
99,17
100,13
101,15
102,17
103,19
104,16
105,9
106,19
107,21
108,20
109,21
110,9
111,16
112,13
113,11
114,10
115,9
116,12
117,20
118,21
119,14
120,17
121,4
122,13
123,18
124,10
125,11
126,5
127,9
128,0
129,11
130,14
131,10
132,21
133,11
134,12
135,13
136,12
137,8
138,19
139,20
140,15
141,19
142,15
143,16
144,17
145,2
146,14
147,18
148,17
149,13
150,10
151,15
152,10
153,12
154,16
155,21
156,18
157,14
158,17
159,20
160,16
161,20
162,17
163,18
164,15
165,17
166,13
167,6
168,21
169,8
170,14
171,13
172,19
173,7
174,4
175,8
176,16
177,20
178,21
179,4
180,6
181,20
182,17
183,3
184,6
185,4
186,11
187,3
188,0
189,0
190,14
191,6
192,20
193,13
194,14
195,4
196,19
197,3
198,1
