vertex,label
0,777
1,890
2,309
3,33
4,692
5,713
6,342
7,471
8,840
9,568
10,364
11,672
12,744
13,908
14,266
15,814
16,541
17,926
18,215
19,1004
20,115
21,473
22,128
23,233
24,369
25,475
26,312
27,582
28,1020
29,952
30,211
31,72
32,864
33,754
34,751
35,477
36,618
37,82
38,213
39,694
40,88
41,194
42,717
43,346
44,910
45,130
46,790
47,132
48,670
49,101
50,431
51,552
52,665
53,645
54,363
55,214
56,813
57,238
58,537
59,311
60,927
61,850
62,24
63,543
64,696
65,313
66,667
67,583
68,729
69,134
70,315
71,697
72,73
73,102
74,753
75,1006
76,94
77,755
78,26
79,815
80,294
81,759
82,317
83,584
84,586
85,951
86,867
87,603
88,579
89,699
90,669
91,141
92,967
93,365
94,756
95,21
96,14
97,758
98,170
99,841
100,56
101,358
102,1027
103,232
104,430
105,28
106,216
107,653
108,479
109,420
110,113
111,418
112,619
113,276
114,319
115,573
116,701
117,267
118,458
119,416
120,50
121,139
122,52
123,1012
124,143
125,869
126,398
127,462
128,16
129,535
130,872
131,171
132,46
133,671
134,597
135,433
136,1022
137,871
138,321
139,103
140,181
141,621
142,545
143,104
144,731
145,873
146,23
147,2
148,17
149,760
150,269
151,435
152,591
153,679
154,13
155,274
156,739
157,566
158,635
159,218
160,547
161,35
162,366
163,843
164,491
165,481
166,507
167,271
168,911
169,448
170,693
171,426
172,250
173,929
174,785
175,255
176,789
177,593
178,787
179,985
180,163
181,549
182,123
183,551
184,962
185,368
186,556
187,623
188,984
189,78
190,323
191,558
192,588
193,493
194,912
195,403
196,265
197,438
198,936
199,483
200,437
201,931
202,107
203,870
204,370
205,625
206,221
207,1035
208,875
209,241
210,207
211,325
212,157
213,91
214,691
215,953
216,766
217,508
218,151
219,327
220,554
221,542
222,372
223,261
224,466
225,892
226,845
227,590
228,847
229,998
230,510
231,614
232,76
233,817
234,627
235,673
236,830
237,43
238,791
239,329
240,628
241,485
242,332
243,234
244,15
245,405
246,4
247,733
248,86
249,273
250,781
251,553
252,220
253,819
254,1
255,737
256,331
257,27
258,852
259,761
260,434
261,284
262,726
263,407
