vertex,label
0,468
1,470
2,472
3,474
4,476
5,478
6,480
7,482
8,484
9,486
10,488
11,490
12,492
13,494
14,496
15,498
16,500
17,502
18,504
19,506
20,508
21,510
22,512
23,514
24,516
25,518
26,520
27,0
28,1
29,2
30,4
31,5
32,6
33,8
34,9
35,10
36,12
37,13
38,14
39,16
40,17
41,18
42,20
43,21
44,22
45,24
46,25
47,26
48,28
49,29
50,30
51,32
52,33
53,34
54,36
55,37
56,38
57,40
58,41
59,42
60,44
61,45
62,46
63,48
64,49
65,50
66,52
67,53
68,54
69,56
70,57
71,58
72,60
73,61
74,62
75,64
76,65
77,66
78,68
79,69
80,70
81,72
82,73
83,74
84,76
85,77
86,78
87,80
88,81
89,82
90,84
91,85
92,86
93,88
94,89
95,90
96,92
97,93
98,94
99,96
100,97
101,98
102,100
103,101
104,102
105,104
106,105
107,106
108,108
109,109
110,110
111,112
112,113
113,114
114,116
115,117
116,118
117,120
118,121
119,122
120,124
121,125
122,126
123,128
124,129
125,130
126,132
127,133
128,134
129,136
130,137
131,138
132,140
133,141
134,142
135,144
136,145
137,146
138,148
139,149
140,150
141,152
142,153
143,154
144,156
145,157
146,158
147,160
148,161
149,162
150,164
151,165
152,166
153,168
154,169
155,170
156,172
157,173
158,174
159,176
160,177
161,178
162,180
163,181
164,182
165,184
166,185
167,186
168,188
169,189
170,190
171,192
172,193
173,194
174,196
175,197
176,198
177,200
178,201
179,202
180,204
181,205
182,206
183,208
184,209
185,210
186,212
187,213
188,214
189,216
190,217
191,218
192,220
193,221
194,222
195,224
196,225
197,226
198,228
199,229
200,230
201,232
202,233
203,234
204,236
205,237
206,238
207,240
208,241
209,242
210,244
211,245
212,246
213,248
214,249
215,250
216,252
217,253
218,254
219,256
220,257
221,258
222,260
223,261
224,262
225,264
226,265
227,266
228,268
229,269
230,270
231,272
232,273
233,274
234,276
235,277
236,278
237,280
238,281
239,282
240,284
241,285
242,286
243,288
244,289
245,290
246,292
247,293
248,294
249,296
250,297
251,298
252,300
253,301
254,302
255,304
256,305
257,306
258,308
259,309
260,310
261,312
262,313
263,314
264,316
265,317
266,318
267,320
268,321
269,322
270,324
271,325
272,326
273,328
274,329
275,330
276,332
277,333
278,334
279,336
280,337
281,338
282,340
283,341
284,342
285,344
286,345
287,346
288,348
289,349
290,350
291,352
292,353
293,354
294,356
295,357
296,358
297,360
298,361
299,362
300,364
301,365
302,366
303,368
304,369
305,370
306,372
307,373
308,374
309,376
310,377
311,378
312,380
313,381
314,382
315,384
316,385
317,386
318,388
319,389
320,390
321,392
322,393
323,394
324,396
325,397
326,398
327,400
328,401
329,402
330,404
331,405
332,406
333,408
334,409
335,410
336,412
337,413
338,414
339,416
340,417
341,418
342,420
343,421
344,422
345,424
346,425
347,426
348,428
349,429
350,430
351,432
352,433
353,434
354,436
355,437
356,438
357,440
358,441
359,442
360,444
361,445
362,446
363,448
364,449
365,450
366,452
367,453
368,454
369,456
370,457
371,458
372,460
373,461
374,462
375,464
376,465
377,466
