vertex,label
0,352
1,301
2,192
3,392
4,323
5,100
6,7
7,334
8,401
9,145
10,119
11,384
12,214
13,385
14,60
15,2
16,32
17,206
18,77
19,103
20,362
21,172
22,359
23,121
24,256
25,66
26,112
27,194
28,360
29,353
30,70
31,195
32,308
33,236
34,34
35,25
36,238
37,79
38,282
39,197
40,62
41,272
42,72
43,164
44,92
45,259
46,123
47,199
48,177
49,87
50,44
51,391
52,278
53,317
54,201
55,218
56,10
57,163
58,220
59,226
60,146
61,285
62,288
63,240
64,101
65,306
66,53
67,203
68,315
69,51
70,102
71,313
72,148
73,261
74,99
75,303
76,222
77,252
78,147
79,149
80,150
81,29
82,372
83,205
84,11
85,331
86,374
87,179
88,37
89,33
90,242
91,361
92,287
93,365
94,289
95,263
96,95
97,41
98,20
99,180
100,178
101,265
102,151
103,161
104,166
105,351
106,396
107,208
108,22
109,159
110,153
111,370
112,260
113,3
114,125
115,267
116,24
117,188
118,363
119,155
120,286
121,86
122,182
123,18
124,104
125,328
126,27
127,224
128,80
129,269
130,0
131,13
132,400
133,234
134,17
135,35
136,319
137,127
138,291
139,225
140,138
141,321
142,202
143,1
144,333
145,290
146,292
147,387
148,43
149,168
150,254
151,128
152,174
153,304
154,341
155,154
156,326
157,207
158,129
159,106
160,336
161,335
162,377
163,294
164,64
165,302
166,9
167,88
168,215
169,244
170,94
171,293
172,108
173,81
174,305
175,65
176,219
177,239
178,130
179,268
180,45
181,132
182,393
183,284
184,82
185,57
186,55
187,367
188,46
189,133
190,379
191,270
192,170
193,398
194,381
195,354
196,221
197,193
198,26
199,307
200,271
201,299
202,227
203,39
204,142
205,136
206,31
207,165
208,4
209,273
210,380
211,97
212,49
213,230
214,345
215,275
216,209
217,110
218,67
219,135
220,140
221,61
222,210
223,184
224,246
225,357
226,366
227,152
228,266
229,330
230,36
231,186
232,388
233,342
234,228
235,137
236,200
237,364
238,248
239,389
240,264
241,262
242,73
243,247
244,48
245,74
246,21
247,196
248,5
249,309
250,249
251,395
252,358
253,337
254,311
255,318
256,50
257,296
258,368
259,113
260,19
261,38
262,212
263,310
264,250
265,338
266,274
267,229
268,223
269,71
270,343
271,105
272,277
273,369
274,347
275,171
276,213
277,241
278,231
279,245
280,279
281,109
282,111
283,375
284,96
285,15
286,16
287,75
288,116
289,14
290,383
291,8
292,402
293,157
294,122
295,40
296,251
297,297
298,47
299,176
300,253
301,344
302,76
303,124
304,322
305,281
306,320
307,378
308,243
309,131
310,98
311,324
312,91
313,115
314,139
315,312
316,233
317,356
318,52
319,28
320,173
321,332
322,169
323,175
324,325
325,232
326,327
327,298
328,83
329,42
330,376
331,371
332,204
333,382
334,276
335,54
336,144
337,339
338,120
339,295
340,283
341,346
342,156
343,258
344,185
345,181
346,280
347,314
348,85
349,141
350,30
351,23
352,355
353,93
354,348
355,143
356,329
357,187
358,90
359,255
360,107
361,167
362,89
363,189
364,237
365,373
366,12
367,257
368,198
369,300
370,217
371,158
372,117
373,68
374,183
375,56
376,84
377,78
378,118
379,160
380,191
381,63
382,134
383,235
384,216
385,340
386,126
387,403
388,397
389,69
390,58
391,162
392,59
393,190
394,350
395,316
396,114
397,349
398,211
399,6
