vertex,label
0,4
1,15
2,5
3,30
4,28
5,31
6,29
7,21
8,13
9,6
10,2
11,12
12,30
13,13
14,18
15,9
16,26
17,31
18,29
19,14
20,24
21,26
22,10
23,16
24,11
25,29
26,19
27,3
28,22
29,11
30,16
31,14
32,7
33,29
34,3
35,20
36,26
37,12
38,25
39,13
40,19
41,26
42,12
43,27
44,11
45,3
46,22
47,29
48,26
49,28
50,4
51,29
52,0
53,15
54,8
55,20
56,16
57,4
58,15
59,0
60,7
61,31
62,2
63,21
64,30
65,27
66,2
67,8
68,10
69,31
70,27
71,9
72,16
73,14
74,2
75,20
76,9
77,21
78,24
79,0
80,14
81,17
82,15
83,25
84,31
85,21
86,17
87,20
88,27
89,24
90,21
91,10
92,25
93,0
94,2
95,8
96,30
97,14
98,20
99,13
100,6
101,10
102,25
103,4
104,20
105,22
106,19
107,11
108,5
109,0
110,22
111,10
112,27
113,17
114,3
115,15
116,18
117,9
118,23
119,28
120,0
121,16
122,9
123,23
124,25
125,2
126,7
127,28
128,1
129,22
130,18
131,11
132,22
133,3
134,5
135,9
136,0
137,23
138,17
139,0
140,29
141,6
142,12
143,17
144,1
145,25
146,31
147,24
148,18
149,0
150,23
151,1
152,8
153,2
154,7
155,1
156,19
157,8
158,14
159,19
160,15
161,8
162,16
163,11
164,3
165,5
166,12
167,9
168,6
169,28
170,12
171,23
172,18
173,4
174,8
175,14
176,7
177,31
178,18
179,0
180,24
181,15
182,18
183,28
184,6
185,8
186,31
187,7
188,11
189,6
190,4
191,25
192,5
193,30
194,10
195,4
196,7
197,0
198,6
199,31
