vertex,label
0,201
1,74
2,127
3,364
4,406
5,120
6,175
7,92
8,203
9,417
10,252
11,357
12,205
13,111
14,76
15,254
16,359
17,334
18,87
19,341
20,207
21,382
22,176
23,91
24,286
25,283
26,361
27,178
28,164
29,353
30,247
31,397
32,346
33,227
34,55
35,94
36,265
37,322
38,209
39,236
40,154
41,20
42,22
43,324
44,129
45,318
46,345
47,96
48,229
49,171
50,36
51,58
52,46
53,130
54,407
55,393
56,210
57,146
58,153
59,348
60,277
61,336
62,362
63,420
64,23
65,363
66,106
67,79
68,64
69,27
70,132
71,391
72,155
73,242
74,6
75,180
76,157
77,288
78,372
79,126
80,182
81,256
82,21
83,383
84,211
85,331
86,281
87,184
88,267
89,113
90,131
91,290
92,411
93,140
94,231
95,204
96,233
97,19
98,99
99,291
100,220
101,314
102,78
103,269
104,374
105,159
106,160
107,206
108,365
109,162
110,98
111,384
112,376
113,387
114,186
115,48
116,77
117,66
118,270
119,262
120,1
121,38
122,358
123,65
124,378
125,50
126,272
127,133
128,426
129,213
130,330
131,161
132,215
133,244
134,196
135,163
136,292
137,218
138,294
139,293
140,245
141,274
142,24
143,217
144,52
145,310
146,275
147,255
148,4
149,235
150,8
151,246
152,93
153,128
154,295
155,398
156,338
157,212
158,73
159,430
160,351
161,80
162,340
163,142
164,100
165,85
166,158
167,115
168,54
169,101
170,332
171,165
172,337
173,276
174,112
175,423
176,134
177,0
178,45
179,300
180,232
181,304
182,114
183,388
184,26
185,313
186,37
187,342
188,315
189,188
190,219
191,297
192,189
193,39
194,167
195,350
196,3
197,43
198,306
199,299
200,312
201,118
202,136
203,298
204,214
205,117
206,152
207,60
208,367
209,271
210,14
211,413
212,392
213,432
214,135
215,301
216,419
217,279
218,317
219,191
220,251
221,137
222,230
223,119
224,9
225,139
226,237
227,141
228,394
229,193
230,289
231,395
232,16
233,69
234,273
235,427
236,278
237,47
238,268
239,168
240,82
241,347
242,319
243,333
244,369
245,84
246,10
247,234
248,95
249,208
250,285
251,258
252,339
253,400
254,102
255,257
256,195
257,371
258,35
259,240
260,29
261,259
262,280
263,425
264,261
265,51
266,5
267,401
268,253
269,103
270,248
271,108
272,386
273,221
274,143
275,396
276,145
277,105
278,68
279,409
280,122
281,377
282,194
283,197
284,239
285,296
286,86
287,156
288,202
289,15
290,89
291,12
292,53
293,170
294,18
295,181
296,147
297,241
298,303
299,13
300,228
301,223
302,144
303,381
304,282
305,121
306,28
307,380
308,172
309,305
310,174
311,429
312,57
313,266
314,326
315,373
316,418
317,349
318,370
319,149
320,360
321,11
322,416
323,344
324,403
325,320
326,307
327,169
328,67
329,25
330,222
331,97
332,356
333,335
334,343
335,49
336,321
337,323
338,148
339,2
340,325
341,107
342,390
343,405
344,309
345,352
346,284
347,124
348,354
349,88
350,264
351,177
352,199
353,109
354,123
355,327
356,40
357,375
358,187
359,33
360,125
361,42
362,415
363,62
364,63
365,75
366,44
367,311
368,70
369,41
370,422
371,150
372,225
373,151
374,30
375,32
376,355
377,34
378,408
379,226
380,302
381,249
382,173
383,200
384,104
385,90
386,238
387,110
388,263
389,72
390,243
391,421
392,183
393,116
394,224
395,198
396,399
397,316
398,329
399,250
