vertex,label
0,0
1,1
2,2
3,3
4,4
5,5
6,68
7,7
8,69
9,189
10,70
11,71
12,9
13,10
14,11
15,8
16,6
17,190
18,14
19,13
20,191
21,192
22,193
23,12
24,16
25,194
26,72
27,15
28,74
29,17
30,75
31,195
32,73
33,76
34,19
35,78
36,21
37,77
38,196
39,79
40,80
41,81
42,197
43,83
44,201
45,410
46,291
47,228
48,23
49,85
50,198
51,86
52,84
53,160
54,411
55,168
56,200
57,412
58,413
59,414
60,87
61,199
62,415
63,208
64,89
65,280
66,91
67,293
68,416
69,292
70,294
71,25
72,26
73,27
74,28
75,20
76,202
77,35
78,29
79,203
80,204
81,205
82,30
83,82
84,206
85,90
86,24
87,33
88,207
89,93
90,22
91,102
92,418
93,128
94,209
95,419
96,420
97,421
98,37
99,139
100,422
101,172
102,32
103,211
104,212
105,213
106,210
107,399
108,417
109,407
110,215
111,409
112,423
113,424
114,214
115,405
116,425
117,426
118,31
119,88
120,217
121,94
122,95
123,110
124,428
125,174
126,219
127,429
128,427
129,430
130,96
131,184
132,431
133,186
134,34
135,98
136,36
137,97
138,221
139,99
140,100
141,101
142,222
143,103
144,226
145,433
146,296
147,297
148,38
149,105
150,223
151,106
152,104
153,188
154,434
155,216
156,225
157,432
158,435
159,436
160,107
161,218
162,437
163,224
164,109
165,299
166,111
167,220
168,438
169,300
170,298
171,40
172,113
173,42
174,112
175,227
176,114
177,115
178,116
179,302
180,118
181,303
182,440
183,304
184,305
185,44
186,108
187,229
188,120
189,119
190,230
191,439
192,245
193,231
194,441
195,442
196,443
197,121
198,247
199,444
200,253
201,123
202,301
203,125
204,307
205,445
206,308
207,306
208,127
209,309
210,129
211,310
212,446
213,311
214,312
215,313
216,586
217,315
218,451
219,658
220,587
221,588
222,131
223,317
224,448
225,318
226,316
227,466
228,659
229,505
230,450
231,660
232,595
233,661
234,319
235,589
236,662
237,590
238,321
239,592
240,323
241,593
242,663
243,591
244,594
245,46
246,133
247,233
248,134
249,92
250,234
251,452
252,259
253,235
254,453
255,454
256,455
257,135
258,272
259,456
260,274
261,132
262,263
263,457
264,325
265,236
266,536
267,665
268,596
269,459
270,666
271,667
272,668
273,261
274,598
275,669
276,597
277,237
278,461
279,462
280,463
281,343
282,664
283,671
284,672
285,465
286,670
287,601
288,616
289,460
290,674
291,675
292,673
293,136
294,320
295,467
296,326
297,276
298,544
299,677
300,546
301,469
302,676
303,620
304,678
305,327
306,599
307,679
308,600
309,138
310,329
311,140
312,328
313,471
314,330
315,331
316,332
317,602
318,334
319,603
320,681
321,604
322,605
323,142
324,336
325,473
326,337
327,335
328,607
329,682
330,608
331,475
332,680
333,618
334,683
335,338
336,606
337,684
338,609
339,340
340,611
341,342
342,612
343,685
344,610
345,613
346,48
347,49
348,50
349,51
350,41
351,239
352,61
353,52
354,240
355,241
356,242
357,53
358,117
359,243
360,124
361,54
362,143
363,244
364,144
365,43
366,278
367,447
368,282
369,246
370,476
371,477
372,478
373,63
374,314
375,472
376,333
377,55
378,166
379,248
380,249
381,250
382,449
383,479
384,474
385,251
386,480
387,481
388,482
389,252
390,484
391,483
392,485
393,56
394,122
395,254
396,145
397,130
398,126
399,487
400,154
401,256
402,488
403,486
404,489
405,141
406,170
407,490
408,255
409,47
410,59
411,258
412,146
413,147
414,257
415,492
416,286
417,260
418,491
419,493
420,494
421,148
422,322
423,495
424,324
425,45
426,238
427,496
428,344
429,288
430,232
431,687
432,284
433,498
434,688
435,689
436,690
437,345
438,556
439,691
440,558
441,262
442,500
443,501
444,502
445,464
446,693
447,694
448,695
449,504
450,635
451,692
452,696
453,499
454,698
455,697
456,699
457,65
458,347
459,506
460,348
461,349
462,560
463,701
464,575
465,508
466,702
467,700
468,703
469,346
470,577
471,704
472,615
473,58
474,182
475,264
476,265
477,266
478,458
479,510
480,468
481,267
482,470
483,511
484,509
485,268
486,497
487,512
488,507
489,269
490,513
491,514
492,515
493,503
494,585
495,706
496,707
497,517
498,709
499,708
500,710
501,516
502,712
503,711
504,713
505,270
506,519
507,520
508,521
509,518
510,686
511,715
512,716
513,523
514,622
515,644
516,657
517,522
518,718
519,714
520,717
521,271
522,525
523,526
524,527
525,524
526,720
527,721
528,722
529,529
530,719
531,723
532,724
533,528
534,726
535,725
536,727
537,57
538,137
539,273
540,150
541,151
542,341
543,531
544,351
545,275
546,530
547,532
548,533
549,149
550,353
551,534
552,352
553,152
554,354
555,535
556,355
557,356
558,567
559,729
560,581
561,537
562,730
563,731
564,732
565,357
566,583
567,733
568,617
569,277
570,539
571,540
572,541
573,538
574,735
575,736
576,737
577,543
578,734
579,728
580,738
581,542
582,740
583,739
584,741
585,153
586,339
587,545
588,359
589,350
590,579
591,743
592,619
593,547
594,744
595,742
596,745
597,358
598,621
599,746
600,614
601,60
602,155
603,62
604,156
605,279
606,157
607,158
608,159
609,361
610,161
611,362
612,549
613,363
614,364
615,64
616,163
617,281
618,164
619,162
620,366
621,550
622,360
623,283
624,548
625,551
626,552
627,165
628,365
629,553
630,295
631,167
632,367
633,169
634,368
635,554
636,369
637,370
638,171
639,372
640,173
641,371
642,555
643,373
644,374
645,375
646,623
647,377
648,624
649,748
650,625
651,626
652,175
653,379
654,557
655,380
656,290
657,628
658,749
659,629
660,559
661,705
662,750
663,751
664,378
665,627
666,752
667,630
668,381
669,632
670,383
671,633
672,753
673,631
674,634
675,66
676,177
677,285
678,178
679,179
680,376
681,561
682,382
683,287
684,562
685,563
686,564
687,180
688,384
689,565
690,385
691,176
692,387
693,566
694,386
695,388
696,636
697,755
698,637
699,568
700,756
701,757
702,758
703,389
704,639
705,759
706,638
707,289
708,570
709,571
710,572
711,569
712,754
713,761
714,762
715,574
716,747
717,760
718,763
719,573
720,765
721,764
722,766
723,181
724,391
725,576
726,392
727,393
728,641
729,768
730,642
731,578
732,769
733,767
734,770
735,390
736,640
737,771
738,643
739,183
740,395
741,185
742,394
743,580
744,396
745,397
746,398
747,645
748,400
749,646
750,773
751,647
752,648
753,187
754,402
755,582
756,403
757,401
758,650
759,774
760,651
761,584
762,772
763,775
764,776
765,404
766,649
767,777
768,652
769,406
770,654
771,408
772,655
773,778
774,653
775,656
