vertex,label
0,298
1,287
2,188
3,16
4,65
5,239
6,87
7,278
8,83
9,276
10,215
11,292
12,128
13,256
14,206
15,242
16,269
17,141
18,62
19,164
20,121
21,27
22,259
23,67
24,13
25,101
26,118
27,107
28,120
29,116
30,197
31,1
32,40
33,282
34,178
35,214
36,153
37,4
38,93
39,24
40,258
41,85
42,77
43,96
44,47
45,260
46,195
47,48
48,14
49,253
50,192
51,146
52,249
53,56
54,194
55,12
56,59
57,98
58,137
59,265
60,124
61,3
62,79
63,293
64,286
65,288
66,51
67,55
68,296
69,103
70,165
71,275
72,212
73,289
74,42
75,0
76,186
77,199
78,104
79,246
80,122
81,231
82,35
83,134
84,270
85,255
86,175
87,180
88,58
89,216
90,69
91,189
92,218
93,201
94,244
95,161
96,181
97,126
98,238
99,172
100,174
101,11
102,73
103,94
104,113
105,162
106,26
107,5
108,61
109,71
110,114
111,285
112,283
113,230
114,33
115,236
116,25
117,261
118,72
119,17
120,228
121,147
122,115
123,123
124,80
125,117
126,234
127,217
128,187
129,155
130,185
131,297
132,82
133,130
134,64
135,152
136,112
137,166
138,50
139,193
140,224
141,203
142,240
143,205
144,139
145,106
146,157
147,266
148,34
149,221
150,23
151,108
152,6
153,250
154,264
155,81
156,241
157,184
158,66
159,140
160,37
161,100
162,149
163,207
164,110
165,132
166,243
167,220
168,232
169,74
170,19
171,182
172,252
173,119
174,176
175,105
176,131
177,247
178,68
179,49
180,179
181,168
182,272
183,210
184,160
185,277
186,294
187,84
188,235
189,18
190,167
191,57
192,154
193,279
194,200
195,196
196,95
197,223
198,151
199,76
200,233
201,267
202,274
203,177
204,28
205,15
206,191
207,145
208,54
209,262
210,171
211,209
212,148
213,150
214,43
215,280
216,53
217,163
218,20
219,156
220,158
221,159
222,125
223,227
224,21
225,97
226,219
227,229
228,295
229,273
230,63
231,222
232,245
233,254
234,70
235,208
236,88
237,299
238,8
239,90
240,271
241,213
242,268
243,142
244,144
245,127
246,36
247,251
248,225
249,92
250,129
251,109
252,211
253,89
254,2
255,39
256,248
257,29
258,10
259,173
260,198
261,30
262,111
263,7
264,257
265,202
266,41
267,22
268,169
269,183
270,133
271,31
272,86
273,38
274,281
275,143
276,170
277,291
278,204
279,45
280,135
281,290
282,99
283,284
284,102
285,91
286,44
287,136
288,237
289,46
290,9
291,190
292,75
293,138
294,263
295,78
296,32
297,60
298,52
299,226
