vertex,label
0,243
1,266
2,237
3,19
4,293
5,304
6,142
7,116
8,268
9,165
10,219
11,270
12,69
13,460
14,272
15,340
16,341
17,306
18,144
19,134
20,465
21,380
22,9
23,274
24,422
25,210
26,118
27,29
28,14
29,146
30,184
31,159
32,120
33,183
34,175
35,97
36,391
37,145
38,33
39,269
40,240
41,212
42,242
43,343
44,276
45,21
46,130
47,394
48,363
49,424
50,73
51,148
52,27
53,337
54,308
55,88
56,62
57,244
58,64
59,150
60,469
61,122
62,214
63,261
64,66
65,246
66,13
67,365
68,138
69,123
70,51
71,90
72,278
73,342
74,152
75,216
76,345
77,228
78,211
79,125
80,412
81,127
82,129
83,67
84,275
85,310
86,186
87,92
88,173
89,38
90,267
91,370
92,347
93,154
94,449
95,423
96,280
97,311
98,393
99,374
100,282
101,462
102,238
103,248
104,356
105,0
106,284
107,22
108,68
109,213
110,35
111,37
112,297
113,132
114,115
115,113
116,225
117,188
118,401
119,286
120,218
121,94
122,367
123,220
124,197
125,376
126,467
127,288
128,190
129,433
130,192
131,16
132,199
133,155
134,24
135,471
136,156
137,85
138,56
139,395
140,349
141,312
142,426
143,327
144,348
145,351
146,453
147,250
148,194
149,131
150,313
151,317
152,316
153,89
154,232
155,58
156,452
157,26
158,329
159,71
160,50
161,290
162,96
163,8
164,223
165,252
166,158
167,153
168,70
169,109
170,283
171,149
172,177
173,52
174,79
175,161
176,475
177,353
178,133
179,11
180,189
181,360
182,46
183,440
184,428
185,289
186,28
187,72
188,119
189,222
190,292
191,98
192,54
193,396
194,366
195,369
196,205
197,135
198,117
199,55
200,74
201,441
202,251
203,318
204,307
205,40
206,81
207,100
208,378
209,254
210,314
211,265
212,371
213,2
214,398
215,388
216,413
217,373
218,432
219,382
220,320
221,207
222,224
223,256
224,375
225,102
226,18
227,415
228,245
229,104
230,226
231,103
232,417
233,473
234,76
235,160
236,472
237,42
238,128
239,10
240,4
241,322
242,400
243,106
244,196
245,108
246,287
247,162
248,324
249,258
250,377
251,446
252,6
253,7
254,402
255,45
256,430
257,93
258,255
259,95
260,41
261,427
262,379
263,198
264,110
265,294
266,303
267,273
268,171
269,404
270,227
271,260
272,419
273,78
274,296
275,326
276,200
277,137
278,454
279,285
280,80
281,202
282,112
283,57
284,416
285,355
286,408
287,448
288,298
289,328
290,30
291,204
292,3
293,53
294,456
295,300
296,39
297,139
298,31
299,32
300,434
301,450
302,464
303,75
304,105
305,164
306,169
307,59
308,381
309,34
310,262
311,383
312,166
313,470
314,168
315,170
316,291
317,147
318,43
319,20
320,114
321,36
322,357
323,172
324,385
325,203
326,126
327,136
328,111
329,425
330,83
331,229
332,231
333,264
334,330
335,359
336,323
337,309
338,48
339,163
340,332
341,61
342,233
343,407
344,141
345,389
346,174
347,12
348,25
349,23
350,339
351,187
352,60
353,350
354,410
355,271
356,436
357,82
358,263
359,435
360,176
361,399
362,354
363,438
364,443
365,321
366,178
367,334
368,444
369,253
370,302
371,236
372,301
373,84
374,140
375,336
376,414
377,206
378,180
379,1
380,191
381,361
382,167
383,447
384,420
385,406
386,338
387,325
388,235
389,86
390,458
391,208
392,182
393,63
394,418
395,99
396,107
397,124
398,387
399,442
