vertex,label
0,10
1,204
2,65
3,205
4,236
5,336
6,360
7,247
8,222
9,89
10,384
11,142
12,319
13,41
14,288
15,135
16,326
17,328
18,290
19,27
20,307
21,171
22,32
23,139
24,362
25,47
26,190
27,291
28,337
29,30
30,176
31,121
32,132
33,155
34,309
35,17
36,156
37,122
38,144
39,177
40,45
41,318
42,345
43,157
44,347
45,91
46,377
47,60
48,159
49,13
50,109
51,382
52,178
53,34
54,146
55,264
56,266
57,302
58,117
59,293
60,378
61,265
62,23
63,196
64,206
65,150
66,339
67,115
68,104
69,390
70,364
71,391
72,395
73,154
74,267
75,180
76,224
77,182
78,294
79,269
80,4
81,93
82,310
83,237
84,365
85,95
86,160
87,367
88,311
89,6
90,40
91,184
92,263
93,158
94,49
95,369
96,161
97,136
98,349
99,42
100,289
101,363
102,248
103,381
104,208
105,338
106,209
107,320
108,329
109,304
110,271
111,44
112,340
113,94
114,295
115,143
116,14
117,259
118,43
119,90
120,138
121,210
122,355
123,397
124,16
125,371
126,273
127,249
128,51
129,239
130,29
131,193
132,219
133,183
134,186
135,124
136,106
137,72
138,87
139,163
140,359
141,5
142,275
143,274
144,297
145,74
146,96
147,195
148,387
149,48
150,162
151,268
152,366
153,175
154,188
155,386
156,185
157,108
158,59
159,308
160,292
161,18
162,197
163,97
164,164
165,250
166,35
167,379
168,341
169,270
170,57
171,98
172,221
173,396
174,321
175,251
176,19
177,241
178,62
179,78
180,126
181,110
182,7
183,334
184,276
185,299
186,225
187,166
188,385
189,253
190,207
191,252
192,342
193,168
194,127
195,134
196,187
197,238
198,36
199,111
200,64
201,194
202,165
203,243
204,348
205,283
206,76
207,123
208,26
209,350
210,9
211,374
212,351
213,53
214,147
215,312
216,125
217,21
218,1
219,167
220,173
221,313
222,170
223,198
224,272
225,281
226,332
227,52
228,99
229,100
230,370
231,66
232,343
233,242
234,61
235,82
236,31
237,244
238,129
239,86
240,285
241,245
242,140
243,314
244,301
245,380
246,300
247,20
248,145
249,361
250,56
251,223
252,240
253,38
254,352
255,296
256,172
257,149
258,77
259,399
260,217
261,179
262,211
263,383
264,112
265,323
266,233
267,105
268,11
269,71
270,113
271,148
272,114
273,246
274,141
275,120
276,212
277,227
278,354
279,12
280,22
281,174
282,37
283,393
284,169
285,213
286,116
287,200
288,255
289,228
290,389
291,92
292,69
293,3
294,331
295,324
296,316
297,214
298,79
299,24
300,229
301,81
302,344
303,67
304,39
305,107
306,103
307,353
308,137
309,392
310,2
311,118
312,277
313,398
314,325
315,278
316,68
317,83
318,33
319,327
320,315
321,54
322,0
323,298
324,346
325,230
326,189
327,284
328,333
329,70
330,216
331,235
332,55
333,218
334,303
335,317
336,50
337,254
338,372
339,25
340,199
341,232
342,15
343,202
344,256
345,75
346,356
347,191
348,88
349,28
350,258
351,287
352,368
353,280
354,128
355,8
356,373
357,151
358,101
359,358
360,130
361,279
362,234
363,220
364,260
365,181
366,357
367,85
368,286
369,330
370,394
371,282
372,305
373,131
374,80
375,262
376,152
377,375
378,306
379,201
380,46
381,192
382,133
383,335
384,63
385,257
386,119
387,58
388,388
389,261
390,215
391,226
392,231
393,84
394,203
395,153
396,73
397,376
398,102
399,322
