vertex,label
0,682
1,1350
2,1413
3,1069
4,235
5,983
6,1192
7,1119
8,1003
9,1016
10,835
11,1530
12,1081
13,349
14,1757
15,1439
16,1653
17,1237
18,95
19,39
20,1875
21,1605
22,1975
23,1135
24,1612
25,1032
26,908
27,299
28,208
29,137
30,1619
31,453
32,648
33,68
34,177
35,179
36,134
37,209
38,927
39,1352
40,985
41,1622
42,606
43,1315
44,1552
45,1826
46,796
47,608
48,189
49,1302
50,188
51,724
52,455
53,113
54,652
55,1614
56,1858
57,516
58,599
59,885
60,380
61,910
62,377
63,1870
64,1415
65,1656
66,237
67,1100
68,448
69,891
70,1696
71,1137
72,269
73,528
74,24
75,50
76,1900
77,200
78,1963
79,993
80,1658
81,901
82,1244
83,500
84,2026
85,61
86,1940
87,414
88,741
89,689
90,991
91,191
92,350
93,1812
94,1533
95,1590
96,1354
97,840
98,83
99,654
100,1356
101,1417
102,317
103,1139
104,1189
105,1759
106,1182
107,1616
108,1482
109,1071
110,437
111,552
112,352
113,919
114,1534
115,1029
116,1738
117,1246
118,1248
119,1877
120,853
121,1031
122,314
123,1250
124,1374
125,1419
126,1402
127,1358
128,1360
129,27
130,30
131,300
132,1737
133,1780
134,561
135,691
136,909
137,271
138,607
139,273
140,121
141,912
142,1536
143,1817
144,1949
145,1538
146,1055
147,1927
148,811
149,1760
150,653
151,1897
152,238
153,239
154,507
155,1086
156,1882
157,152
158,1198
159,828
160,2032
161,1421
162,1362
163,563
164,738
165,1423
166,987
167,1864
168,544
169,1618
170,1387
171,760
172,509
173,565
174,2016
175,874
176,347
177,511
178,513
179,1051
180,784
181,1033
182,51
183,1624
184,849
185,1160
186,379
187,241
188,1227
189,494
190,186
191,1425
192,1364
193,1075
194,1929
195,1828
196,1328
197,243
198,567
199,275
200,1083
201,716
202,217
203,97
204,316
205,1889
206,1841
207,693
208,150
209,1695
210,319
211,457
212,60
213,92
214,764
215,1540
216,1304
217,1488
218,1035
219,1085
220,381
221,320
222,63
223,198
224,104
225,1040
226,743
227,272
228,1542
229,1303
230,210
231,1577
232,318
233,610
234,657
235,1252
236,1976
237,322
238,148
239,1814
240,1254
241,99
242,515
243,1306
244,52
245,775
246,1427
247,480
248,526
249,815
250,1313
251,650
252,136
253,1152
254,914
255,1481
256,1733
257,1483
258,1578
259,1769
260,837
261,1816
262,942
263,1146
264,1428
265,1979
266,302
267,1366
268,1818
269,1644
270,459
271,439
272,1367
273,1843
274,228
275,967
276,1385
277,1866
278,1253
279,1523
280,1191
281,989
282,769
283,656
284,1515
285,1037
286,2
287,566
288,1406
289,1333
290,851
291,1715
292,2018
293,1196
294,1141
295,1697
296,1794
297,578
298,66
299,212
300,704
301,159
302,1620
303,949
304,321
305,1368
306,518
307,421
308,1087
309,219
310,517
311,214
312,1416
313,1996
314,839
315,192
316,1121
317,1879
318,1621
319,1680
320,1544
321,841
322,519
323,1573
324,548
325,680
326,1845
327,1699
328,695
329,1251
330,569
331,1193
332,1013
333,1429
334,1143
335,1556
336,1145
337,301
338,461
339,1723
340,990
341,1847
342,1147
343,1978
344,354
345,836
346,250
347,1453
348,713
349,1580
350,65
351,986
352,1762
353,277
354,789
355,982
356,383
357,1359
358,1311
359,593
360,1646
361,730
362,1370
363,571
364,1931
365,521
366,1942
367,114
368,745
369,1844
370,245
371,1225
372,450
373,1915
374,916
375,19
376,538
377,1773
378,1528
379,791
380,668
381,842
382,1485
383,1682
384,268
385,1395
386,1256
387,458
388,800
389,1089
390,1613
391,793
392,498
393,872
394,615
395,540
396,992
397,194
398,1202
399,1607
400,612
401,1487
402,1188
403,298
404,1698
405,146
406,1543
407,1623
408,614
409,1348
410,1297
411,1104
412,247
413,303
414,1363
415,893
416,8
417,639
418,463
419,1489
420,1091
421,1701
422,697
423,1149
424,843
425,1233
426,1308
427,364
428,249
429,173
430,1431
431,1490
432,1344
433,420
434,279
435,786
436,876
437,1492
438,857
439,193
440,1819
441,160
442,918
443,1907
444,1703
445,1909
446,1609
447,1583
448,38
449,308
450,305
451,138
452,1986
453,748
454,699
455,41
456,523
457,1195
458,465
459,333
460,1849
461,1371
