vertex,label
0,115
1,0
2,2
3,116
4,0
5,111
6,1
7,117
8,4
9,6
10,118
11,3
12,113
13,5
14,119
15,8
16,10
17,120
18,7
19,173
20,9
21,121
22,12
23,14
24,122
25,11
26,175
27,13
28,123
29,16
30,18
31,124
32,15
33,177
34,17
35,125
36,20
37,22
38,126
39,19
40,179
41,21
42,127
43,24
44,26
45,128
46,23
47,181
48,25
49,129
50,28
51,30
52,130
53,27
54,183
55,29
56,131
57,32
58,34
59,132
60,31
61,185
62,33
63,133
64,36
65,38
66,134
67,35
68,187
69,37
70,135
71,40
72,42
73,136
74,39
75,189
76,41
77,137
78,44
79,46
80,138
81,43
82,191
83,45
84,139
85,48
86,50
87,140
88,47
89,193
90,49
91,141
92,52
93,54
94,142
95,51
96,195
97,53
98,143
99,56
100,58
101,144
102,55
103,197
104,57
105,145
106,60
107,62
108,146
109,59
110,199
111,61
112,147
113,64
114,66
115,148
116,63
117,201
118,65
119,149
120,68
121,70
122,150
123,67
124,203
125,69
126,151
127,72
128,74
129,152
130,71
131,205
132,73
133,153
134,76
135,78
136,154
137,75
138,207
139,77
140,155
141,80
142,82
143,156
144,79
145,209
146,81
147,157
148,84
149,86
150,158
151,83
152,211
153,85
154,159
155,88
156,90
157,160
158,87
159,213
160,89
161,161
162,92
163,94
164,162
165,91
166,215
167,93
168,163
169,96
170,98
171,164
172,95
173,217
174,97
175,165
176,100
177,102
178,166
179,99
180,219
181,101
182,167
183,104
184,106
185,168
186,103
187,221
188,105
189,169
190,108
191,110
192,170
193,107
194,223
195,109
196,171
197,112
198,114
199,172
