vertex,label
0,6
1,0
2,2
3,7
4,8
5,4
6,0
7,6
8,7
9,2
10,4
11,8
12,6
13,0
14,2
15,7
16,8
17,4
18,0
19,6
20,7
21,2
22,4
23,8
24,6
25,0
26,2
27,7
28,8
29,4
30,0
31,6
32,7
33,2
34,4
35,8
36,6
37,0
38,2
39,7
40,8
41,4
42,0
43,6
44,7
45,2
46,4
47,8
48,9
49,15
50,11
51,5
52,13
53,14
54,10
55,16
56,12
57,17
58,15
59,18
60,9
61,5
62,11
63,16
64,13
65,15
66,10
67,17
68,12
69,18
70,14
71,16
72,9
73,15
74,11
75,5
76,13
77,14
78,10
79,16
80,12
81,17
82,15
83,18
84,9
85,5
86,11
87,14
88,13
89,16
90,10
91,15
92,12
93,17
94,14
95,18
96,11
97,15
98,9
99,5
100,13
101,14
102,10
103,16
104,12
105,17
106,15
107,18
108,9
109,5
110,11
111,14
112,13
113,10
114,16
115,18
116,12
117,11
118,15
119,17
120,9
121,14
122,16
123,5
124,13
125,15
126,10
127,17
128,12
129,14
130,16
131,18
132,9
133,5
134,11
135,17
136,13
137,16
138,10
139,15
140,12
141,17
142,14
143,18
