graph,#vertices,#edges,density,max_degree,min_degree,time(ms),lambda,status,lb,gap,bb_nodes
1138_bus_clean,1138,1458,0.00225,17,1,900092.24,18.0,BEST FOUND (time limit exceeded),10.0000,0.444444,335447
C1000-9_clean,1000,450079,0.90106,925,868,911181.00,1035.0,BEST FOUND (time limit exceeded),2.0000,0.998068,606
C2000-9_clean,2000,1799532,0.90022,1848,1751,1124761.79,2036.0,BEST FOUND (time limit exceeded),0.0000,1.000000,0
CELAR6-SUB0,32,223,0.44960,25,3,900068.29,30.0,BEST FOUND (time limit exceeded),15.0000,0.500000,2416329
CELAR6-SUB3,36,439,0.69683,35,19,900024.54,40.0,BEST FOUND (time limit exceeded),19.0000,0.525000,1553581
MANN-a27_clean,378,70551,0.99015,374,364,900780.68,520.0,BEST FOUND (time limit exceeded),2.0000,0.996154,11042
bcsstk03_clean,112,264,0.04247,5,3,10591.35,8.0,BEST FOUND (integer optimal solution),8.0000,0.000000,42817
bcsstk31_clean,35588,572914,0.00090,188,1,912849.55,191.0,BEST FOUND (time limit exceeded),2.0000,0.989529,0
bcsstm01_clean,48,0,0.00000,0,0,19.16,0,BEST FOUND (integer optimal solution),0.0000,0.000000,0
bcsstm20_clean,485,0,0.00000,0,0,4.01,0,BEST FOUND (integer optimal solution),0.0000,0.000000,0
c-fat200-1_clean,200,1534,0.07709,17,14,900079.79,31.0,BEST FOUND (time limit exceeded),10.0000,0.677419,454095
c-fat200-5_clean,200,8473,0.42578,86,83,900147.02,223.0,BEST FOUND (time limit exceeded),44.0000,0.802691,16248
c-fat500-10_clean,500,46627,0.37376,188,185,901494.28,413.0,BEST FOUND (time limit exceeded),2.0000,0.995157,6600
c-fat500-1_clean,500,4459,0.03574,20,17,900069.83,39.0,BEST FOUND (time limit exceeded),12.0000,0.692308,209804
c-fat500-5_clean,500,23191,0.18590,95,92,900291.30,190.0,BEST FOUND (time limit exceeded),49.0000,0.742105,7424
can_144_clean,144,576,0.05594,14,5,900049.33,18.0,BEST FOUND (time limit exceeded),9.0000,0.500000,1306375
