vertex,label
0,0
1,4
2,2
3,0
4,2
5,5
6,0
7,2
8,1
9,0
10,7
11,3
12,0
13,8
14,2
15,1
16,3
17,2
18,1
19,4
20,9
21,8
22,3
23,4
24,0
25,1
26,6
27,5
28,5
29,0
30,0
31,3
32,3
33,1
34,1
35,0
36,0
37,0
38,0
39,8
40,4
41,3
42,4
43,3
44,2
45,2
46,2
47,8
48,4
49,0
50,0
51,4
52,0
53,3
54,6
55,9
56,3
57,2
58,4
59,10
60,10
61,1
62,4
63,2
64,6
65,5
66,5
67,6
68,3
69,10
70,7
71,1
72,10
73,3
74,1
75,3
76,0
77,0
78,3
79,1
80,0
81,1
82,9
83,1
84,0
85,5
86,0
87,10
88,5
89,2
90,0
91,0
92,2
93,2
94,0
95,3
96,4
97,1
98,3
99,5
100,4
101,4
102,7
103,7
104,4
105,2
106,1
107,0
108,7
109,2
110,6
111,7
112,1
113,8
114,0
115,0
116,10
117,5
118,8
119,3
120,2
121,0
122,4
123,1
124,0
125,2
126,0
127,1
128,8
129,2
130,5
131,5
132,9
133,4
134,3
135,7
136,6
137,8
138,3
139,2
140,1
141,5
142,2
143,4
144,0
145,0
146,1
147,2
148,2
149,5
150,4
151,9
152,1
153,4
154,10
155,3
156,1
157,4
158,0
159,9
160,6
161,0
162,1
163,6
164,0
165,4
166,5
167,4
168,0
169,5
170,4
171,9
172,2
173,4
174,9
175,0
176,0
177,0
178,5
179,0
180,1
181,5
182,0
183,10
184,5
185,7
186,6
187,9
188,4
189,10
190,9
191,8
192,5
193,6
194,6
195,6
196,0
197,0
198,6
199,5
200,10
201,9
202,2
203,7
204,8
205,1
206,10
207,1
208,4
209,10
210,9
211,10
212,2
213,0
214,0
215,10
216,10
217,9
218,8
219,0
220,0
221,7
222,5
223,2
224,2
225,5
226,10
227,0
228,2
229,4
230,0
231,5
232,7
233,6
234,0
235,6
236,10
237,10
238,10
239,10
240,8
241,0
242,7
243,10
244,3
245,4
246,10
247,9
248,6
249,10
250,6
251,7
252,3
253,6
254,9
255,0
256,1
257,8
258,10
259,9
260,6
261,1
262,1
263,0
264,10
265,8
266,5
267,4
268,5
269,9
270,10
271,6
272,6
273,2
274,7
275,7
276,7
277,5
278,0
279,10
280,2
281,8
282,10
283,4
284,9
285,10
286,2
287,6
288,7
289,10
290,10
291,5
292,2
293,7
294,5
295,10
296,0
297,9
298,0
299,5
300,4
301,10
302,5
303,7
304,2
305,2
306,5
307,10
308,0
309,10
310,8
311,5
312,0
313,2
314,5
315,0
316,9
317,4
318,7
319,1
320,8
321,0
322,7
323,4
324,8
325,5
326,1
327,6
328,9
329,0
330,2
331,10
332,2
333,8
334,5
335,4
336,6
337,7
338,8
339,4
340,3
341,9
342,3
343,6
344,6
345,10
346,3
347,3
348,2
349,10
350,1
351,3
352,7
353,0
354,0
355,8
356,7
357,4
358,6
359,1
360,10
361,0
362,3
363,0
364,0
365,5
366,8
367,5
368,3
369,3
370,2
371,0
372,4
373,9
374,0
375,4
376,6
377,9
378,8
379,8
380,3
381,0
382,1
383,9
384,10
385,7
386,4
387,8
388,10
389,6
390,9
391,9
392,1
393,9
394,2
395,9
396,9
397,4
398,2
399,5
400,6
401,10
402,6
403,8
404,8
405,10
406,7
407,3
408,5
409,7
410,5
411,4
412,6
413,0
414,8
415,0
416,0
417,6
418,8
419,10
420,1
421,7
422,9
423,10
424,10
425,6
426,9
427,4
428,4
429,10
430,8
431,1
432,10
433,7
434,5
435,8
436,10
437,8
438,1
439,7
440,5
441,3
442,5
443,10
444,9
445,0
446,2
447,10
448,9
449,8
450,10
451,4
452,4
453,3
454,4
455,0
456,8
457,8
458,1
459,0
460,0
461,1
462,10
463,1
464,0
465,2
466,5
467,0
468,1
469,7
470,0
471,1
472,8
473,1
474,5
475,2
476,0
477,1
478,5
479,0
480,9
481,3
482,7
483,2
484,6
485,6
486,9
487,7
488,10
489,7
490,4
491,7
492,4
493,4
494,1
495,10
496,9
497,0
498,6
499,8
500,6
501,6
502,8
503,5
504,7
505,5
506,0
507,4
508,4
509,4
510,5
511,9
512,10
513,9
514,10
515,5
516,3
517,6
518,4
519,8
520,8
521,10
522,5
523,4
524,10
525,1
526,9
527,7
528,4
529,0
530,10
531,7
532,1
533,6
534,3
535,3
536,7
537,2
538,2
539,8
540,0
541,0
542,5
543,3
544,7
545,10
546,0
547,4
548,2
549,6
550,2
551,6
552,10
553,4
554,0
555,7
556,2
557,10
558,8
559,2
560,1
561,7
562,3
563,9
564,3
565,8
566,2
567,10
568,6
569,3
570,4
571,5
572,7
573,10
574,1
575,10
576,9
577,2
578,6
579,5
580,7
581,6
582,10
583,2
584,10
585,1
586,4
587,1
588,1
589,0
590,7
591,0
592,6
593,0
594,5
595,8
596,5
597,0
598,0
599,1
600,10
601,7
602,0
603,2
604,0
605,3
606,1
607,8
608,2
609,10
610,6
611,4
612,2
613,9
614,2
615,8
616,6
617,9
618,4
619,0
620,7
621,5
622,2
623,9
624,1
625,3
626,8
627,2
628,7
629,0
630,6
631,9
632,4
633,5
634,9
635,0
636,2
637,9
638,3
639,4
640,0
641,8
642,10
643,6
644,1
645,7
646,3
647,5
648,1
649,6
650,1
651,10
652,4
653,9
654,0
655,6
656,5
657,2
658,7
659,8
660,3
661,10
