vertex,label
0,12
1,4
2,6
3,8
4,10
5,14
6,18
7,20
8,26
9,27
10,16
11,24
12,28
13,22
14,30
15,17
16,29
17,0
18,31
19,2
20,1
21,1
22,1
23,1
24,1
25,7
26,15
27,11
28,5
29,42
30,9
31,43
32,13
33,19
34,44
35,21
36,45
37,46
38,47
39,48
40,49
41,50
42,23
43,25
44,51
45,52
46,53
47,32
48,54
49,55
50,33
51,56
52,57
53,58
54,34
55,35
56,59
57,60
58,61
59,62
60,36
61,63
62,37
63,64
64,65
65,38
66,66
67,39
68,67
69,68
70,69
71,70
72,40
73,71
74,41
75,72
76,73
77,74
78,75
79,76
80,77
81,78
82,79
83,80
84,81
85,82
86,83
87,84
88,85
89,86
90,87
91,88
92,89
93,90
94,91
95,92
96,93
97,94
98,95
99,96
100,97
101,98
102,99
103,100
104,101
105,102
106,103
107,104
108,105
109,106
110,107
111,108
112,109
113,110
114,111
115,112
116,113
117,114
118,115
119,116
120,117
121,118
122,119
123,120
124,121
125,122
126,123
127,124
128,125
129,126
