vertex,label
0,0
1,12
2,10
3,14
4,8
5,2
6,6
7,3
8,9
9,4
10,7
11,12
12,1
13,11
14,14
15,5
16,7
17,9
18,4
19,13
20,11
21,10
22,0
23,8
24,2
25,0
26,12
27,8
28,6
29,2
30,14
31,1
32,5
33,12
34,3
35,7
36,0
37,8
38,10
39,5
40,4
41,6
42,3
43,5
44,10
45,3
46,7
47,14
48,0
49,9
50,1
51,7
52,11
53,0
54,2
55,14
56,6
57,3
58,7
59,9
60,1
61,12
62,4
63,0
64,2
65,11
66,3
67,4
68,13
69,9
70,1
71,10
72,3
73,8
74,11
75,8
76,10
77,1
78,12
79,0
80,3
81,5
82,14
83,10
84,4
85,6
86,13
87,8
88,14
89,5
90,0
91,6
92,14
93,4
94,13
95,6
96,8
97,2
98,2
99,7
100,11
101,13
102,3
103,0
104,14
105,1
106,9
107,2
108,12
109,12
110,9
111,11
112,2
113,0
114,7
115,9
116,7
117,11
118,1
119,3
120,10
121,7
122,4
123,8
124,6
125,0
126,11
127,10
128,5
129,13
130,10
131,0
132,13
133,5
134,3
135,10
136,14
137,4
138,12
139,0
140,4
141,1
142,12
143,5
144,13
145,3
146,14
147,2
148,4
149,8
150,6
151,3
152,14
153,8
154,2
155,6
156,11
157,1
158,6
159,12
160,7
161,9
162,5
163,11
164,0
165,8
166,6
167,11
168,6
169,10
170,0
171,12
172,1
173,10
174,4
175,6
176,8
177,0
178,0
179,4
180,13
181,9
182,7
183,12
184,14
185,10
186,2
187,4
188,13
189,10
190,3
191,7
192,5
193,2
194,10
195,9
196,13
197,14
198,11
199,8
200,6
201,4
202,13
203,3
204,5
205,1
206,9
207,8
208,11
209,5
210,3
211,1
212,10
213,4
214,11
215,8
216,10
217,0
218,6
219,13
220,7
221,0
222,2
223,1
224,4
225,2
226,12
227,1
228,10
229,4
230,12
231,6
232,8
233,14
234,14
235,9
236,0
237,14
238,9
239,13
240,5
241,11
242,9
243,6
244,12
245,7
246,11
247,4
248,2
249,7
250,13
251,0
252,10
253,2
254,5
255,3
256,14
257,8
258,6
259,14
260,3
261,10
262,2
263,7
264,0
265,11
266,4
267,10
268,0
269,9
270,2
271,1
272,12
273,4
274,11
275,8
276,13
277,6
278,0
279,14
280,9
281,1
282,7
283,3
284,10
285,6
286,8
287,0
288,11
289,5
290,1
291,3
