vertex,label
0,7
1,0
2,2
3,4
4,5
5,4
6,5
7,0
8,6
9,0
10,7
11,7
12,8
13,5
14,2
15,0
16,7
17,1
18,7
19,3
20,3
21,4
22,1
23,9
24,4
25,0
26,2
27,0
28,3
29,4
30,6
31,5
32,6
33,2
34,0
35,4
36,2
37,6
38,4
39,1
40,4
41,5
42,1
43,4
44,0
45,3
46,5
47,7
48,8
49,2
50,7
51,4
52,0
53,0
54,3
55,4
56,6
57,2
58,0
59,4
60,6
61,4
62,5
63,8
64,0
65,2
66,0
67,6
68,1
69,1
70,1
71,0
72,8
73,0
74,2
75,1
76,8
77,4
78,9
79,0
80,5
81,5
82,1
83,8
84,5
85,1
86,2
87,8
88,0
89,3
90,6
91,4
92,5
93,2
94,4
95,0
96,1
97,2
98,2
99,3
100,0
101,6
102,0
103,8
104,0
105,1
106,6
107,2
108,10
109,3
110,6
111,1
112,7
113,5
114,4
115,7
116,0
117,2
118,5
119,6
120,1
121,3
122,4
123,0
124,6
125,1
126,3
127,0
128,0
129,2
130,0
131,7
132,4
133,6
134,7
135,8
136,0
137,0
138,4
139,6
140,7
141,5
142,8
143,6
144,0
145,6
146,0
147,2
148,1
149,4
150,1
151,5
152,0
153,3
154,5
155,6
156,0
157,2
158,3
159,4
160,1
161,0
162,4
163,2
164,6
165,1
166,9
167,5
168,3
169,7
170,2
171,10
172,0
173,2
174,4
175,2
176,0
177,5
178,10
179,0
180,3
181,3
182,5
183,3
184,1
185,4
186,2
187,1
188,0
189,8
190,4
191,5
192,6
193,0
194,1
195,7
196,3
197,4
198,8
199,0
200,4
201,2
202,3
203,1
204,5
205,6
206,5
207,7
208,5
209,0
210,3
211,7
212,3
213,2
214,3
215,1
216,0
217,2
218,6
219,6
220,1
221,8
222,8
223,9
224,1
225,2
226,9
227,5
228,4
229,2
230,5
231,5
232,1
233,4
234,5
235,0
236,2
237,3
238,4
239,5
240,3
241,8
242,5
243,3
244,6
245,1
246,3
247,7
248,9
249,1
250,1
251,0
252,2
253,5
254,4
255,7
256,3
257,5
258,5
259,4
260,0
261,1
262,3
263,8
264,5
265,3
266,8
267,0
268,7
269,0
270,4
271,4
272,1
273,4
274,3
275,2
276,0
277,0
278,5
279,7
280,3
281,0
282,5
283,7
284,4
285,9
286,1
287,6
288,0
289,8
290,9
291,0
292,3
293,2
294,4
295,2
296,3
297,0
298,3
299,4
300,5
301,4
302,1
303,2
304,1
305,0
306,6
307,2
308,7
309,9
310,2
311,6
312,1
313,6
314,1
315,5
316,0
317,3
318,5
319,7
320,9
321,0
322,0
323,7
324,4
325,7
326,7
327,0
328,6
329,1
330,6
331,0
332,0
333,2
334,2
335,2
336,10
337,3
338,6
339,7
340,8
341,6
342,7
343,8
344,9
345,7
346,7
347,5
348,2
349,0
350,4
351,6
352,0
353,2
354,1
355,2
356,1
357,1
358,0
359,6
360,0
361,3
362,7
363,6
364,6
365,0
366,6
367,9
368,7
369,2
370,4
371,1
372,4
373,1
374,5
375,5
376,3
377,5
378,6
379,0
380,10
381,3
382,6
383,4
384,6
385,8
386,5
387,5
388,6
389,10
390,4
391,2
392,0
393,3
394,7
395,2
396,5
397,8
398,7
399,0
400,8
401,4
402,1
403,4
404,8
405,2
406,1
407,1
408,5
409,3
410,4
411,3
412,0
413,4
414,5
415,0
416,7
417,8
418,2
419,9
420,0
421,4
422,4
423,5
424,4
425,2
426,5
427,5
428,3
429,5
430,8
431,9
432,7
433,5
434,3
435,6
436,8
437,6
438,9
439,0
440,5
441,2
442,7
