vertex,label
0,4
1,1
2,14
3,6
4,0
5,16
6,8
7,11
8,2
9,10
10,2
11,12
12,17
13,9
14,17
15,3
16,19
17,0
18,0
19,0
20,0
21,5
22,0
23,15
24,0
25,0
26,0
27,4
28,0
29,8
30,3
31,7
32,7
33,11
34,0
35,13
36,0
37,0
38,0
39,0
40,0
41,11
42,0
43,0
44,0
45,6
46,0
47,15
48,0
49,0
50,0
51,9
52,0
53,11
54,7
55,1
56,9
57,1
58,11
59,4
60,0
61,0
62,0
63,0
64,0
65,12
66,16
67,5
68,0
69,18
70,3
71,20
72,2
73,10
74,23
75,0
76,21
77,0
78,0
79,0
80,0
81,3
82,0
83,9
84,0
85,0
86,0
87,8
88,0
89,13
90,5
91,13
92,12
93,14
94,3
95,16
96,5
97,4
98,1
99,15
100,2
101,9
102,9
103,8
104,3
105,12
106,0
107,14
108,12
109,11
110,17
111,20
112,4
113,22
114,1
115,7
116,9
117,11
118,2
119,13
120,4
121,12
122,2
123,6
124,2
125,9
126,3
127,6
128,0
129,5
130,2
131,7
132,0
133,0
134,0
135,5
136,0
137,10
138,0
139,18
140,2
141,8
142,0
143,10
144,3
145,11
146,6
147,8
148,4
149,10
150,4
151,24
152,6
153,13
154,2
155,15
156,11
157,15
158,16
159,18
160,3
161,20
162,0
163,0
164,0
165,0
166,0
167,3
168,0
169,0
170,0
171,1
172,0
173,3
174,1
175,20
176,6
177,16
178,2
179,18
180,7
181,21
182,19
183,0
184,3
185,22
186,16
187,34
188,26
189,28
190,0
191,30
192,18
193,27
194,5
195,20
196,0
197,29
198,10
199,2
200,12
201,20
202,0
203,22
204,0
205,0
206,0
207,2
208,0
209,2
210,0
211,0
212,0
213,3
214,0
215,5
216,0
217,0
218,0
219,2
220,0
221,2
222,15
223,20
224,1
225,23
226,6
227,3
228,30
229,6
230,31
231,32
232,34
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,12
249,0
250,14
251,0
252,0
253,0
254,0
255,0
256,7
257,8
258,6
259,12
260,19
261,9
262,14
263,32
264,33
265,34
266,13
267,38
268,20
269,40
270,22
271,27
272,2
273,30
274,17
275,42
276,19
277,22
278,8
279,25
280,5
281,37
282,2
283,9
284,0
285,14
286,19
287,38
288,17
289,23
290,0
291,30
292,17
293,28
294,21
295,23
296,2
297,27
298,13
299,0
300,21
301,35
302,15
303,20
304,33
305,17
306,35
307,39
308,32
309,4
310,0
311,1
312,3
313,7
314,8
315,0
316,10
317,3
318,15
319,26
320,7
321,2
322,26
323,6
324,8
325,3
326,16
327,19
328,13
329,24
330,28
331,35
332,17
333,2
334,23
335,31
336,22
337,0
338,2
339,5
340,7
341,0
342,6
343,0
344,0
345,0
346,6
347,0
348,0
349,13
350,4
351,8
352,15
353,0
354,17
355,20
356,3
357,22
358,18
359,24
360,29
361,13
362,8
363,9
364,29
365,11
366,16
367,32
368,24
369,33
370,36
371,28
372,0
373,0
374,0
375,2
376,0
377,2
378,18
379,9
380,25
381,13
382,0
383,26
384,20
385,0
386,19
387,11
388,14
389,0
390,0
391,0
392,36
393,0
394,38
395,4
396,2
397,7
398,19
399,25
400,21
401,3
402,15
403,9
404,3
405,3
406,7
407,5
408,13
409,19
410,21
411,1
412,23
413,19
414,9
415,11
416,21
417,2
418,23
419,1
420,6
421,5
422,7
423,0
424,10
425,3
426,8
427,5
428,9
429,2
430,12
431,25
432,3
433,24
434,37
435,36
436,1
437,9
438,4
439,15
440,0
441,11
442,23
443,5
444,9
445,21
446,3
447,23
448,31
449,18
450,36
451,39
452,41
453,5
454,7
455,2
456,14
457,6
458,12
459,18
460,17
461,20
462,24
463,15
464,28
465,27
466,35
467,34
468,29
469,37
470,0
471,10
472,2
473,14
474,5
475,12
476,6
477,15
478,8
479,11
480,4
481,13
482,31
483,7
484,34
485,22
486,26
487,27
488,12
489,28
490,25
491,27
492,38
493,4
494,40
495,34
496,40
497,10
498,14
499,1
500,3
501,12
502,5
503,3
504,22
505,20
506,26
507,12
508,30
509,0
510,0
511,0
512,3
513,0
514,5
515,0
516,0
517,0
518,2
519,0
520,10
521,0
522,0
523,0
524,17
525,0
526,20
527,4
528,8
529,23
530,17
531,28
532,33
