vertex,label
0,5
1,21
2,3
3,7
4,14
5,6
6,8
7,22
8,3
9,16
10,18
11,8
12,20
13,22
14,10
15,24
16,26
17,12
18,21
19,28
20,7
21,23
22,25
23,9
24,10
25,12
26,11
27,16
28,21
29,7
30,23
31,25
32,9
33,15
34,27
35,11
36,8
37,21
38,7
39,23
40,25
41,9
42,5
43,7
44,11
45,8
46,13
47,3
48,15
49,22
50,5
51,10
52,12
53,9
54,0
55,2
56,0
57,20
58,24
59,0
60,9
61,11
62,2
63,3
64,5
65,4
66,0
67,7
68,0
69,2
70,4
71,2
72,6
73,8
74,4
75,0
76,3
77,0
78,5
79,7
80,2
81,1
82,9
83,4
84,3
85,6
86,0
87,10
88,12
89,2
90,14
91,16
92,4
93,0
94,2
95,0
96,10
97,18
98,0
99,9
100,12
101,2
102,17
103,19
104,11
105,4
106,6
107,5
108,26
109,28
110,2
111,13
112,15
113,7
114,17
115,19
116,9
117,10
118,12
119,6
120,14
121,16
122,8
123,11
124,18
125,10
126,13
127,15
128,6
129,17
130,19
131,8
132,11
133,14
134,10
135,18
136,20
137,6
138,22
139,24
140,8
141,19
142,26
143,10
144,4
145,6
146,6
147,21
148,27
149,2
150,17
151,20
152,8
153,22
154,25
155,13
156,1
157,8
158,1
159,18
160,30
161,4
162,21
163,23
164,3
165,25
166,27
167,11
168,1
169,22
170,1
171,20
172,24
173,3
174,9
175,26
176,12
177,21
178,29
179,1
180,2
181,4
182,3
183,8
184,23
185,12
186,0
187,27
188,1
189,7
190,13
191,3
192,11
193,15
194,12
195,1
196,8
197,1
198,30
199,32
200,4
201,13
202,22
203,11
204,10
205,12
206,4
207,3
208,5
209,6
210,20
211,27
212,0
213,11
214,14
215,8
216,7
217,9
218,13
219,3
220,5
221,5
222,28
223,30
224,7
225,0
226,6
227,9
228,31
229,32
230,5
231,10
232,12
233,7
234,6
235,16
236,9
237,3
238,21
239,5
240,9
241,17
242,7
243,23
244,25
245,9
246,3
247,5
248,4
249,12
250,14
251,0
252,18
253,24
254,7
255,7
256,19
257,0
258,0
259,16
260,2
261,9
262,29
263,2
264,24
265,26
266,15
267,17
268,19
269,0
270,12
271,15
272,2
273,8
274,10
275,14
276,13
277,16
278,0
279,3
280,18
281,2
282,1
283,14
284,11
285,19
286,24
287,0
288,26
289,28
290,2
291,12
292,14
293,11
294,29
295,31
296,0
297,0
298,10
299,2
300,7
301,17
302,2
303,20
304,26
305,10
306,13
307,22
308,7
309,1
310,4
311,4
312,21
313,23
314,6
315,2
316,25
317,8
318,20
319,22
320,4
321,5
322,7
323,6
324,9
325,11
326,8
327,4
328,22
329,4
330,0
331,2
332,6
333,7
334,18
335,8
336,16
337,22
338,13
339,30
340,32
341,9
342,6
343,9
344,1
345,11
346,14
347,10
348,0
349,27
350,12
351,17
352,29
353,1
354,15
355,26
356,10
357,30
358,32
359,12
360,6
361,13
362,1
363,10
364,15
365,10
366,5
367,20
368,3
369,3
370,25
371,15
372,11
373,19
374,3
375,5
376,7
377,13
378,24
379,27
380,3
381,26
382,28
383,11
384,3
385,16
386,3
387,18
388,24
389,5
390,8
391,31
392,7
393,3
394,6
395,3
396,1
397,10
398,5
399,8
400,18
401,7
402,3
403,21
404,14
405,1
406,17
407,5
408,8
409,12
410,0
411,27
412,29
413,12
414,9
415,11
416,10
417,5
418,7
419,3
420,17
421,21
422,3
423,9
424,13
425,5
426,0
427,2
428,0
429,15
430,21
431,0
432,10
433,12
434,6
435,20
436,22
437,8
438,1
439,5
440,0
441,12
442,21
443,9
444,16
445,19
446,11
447,14
448,22
449,0
450,5
451,12
452,2
453,23
454,25
455,9
456,14
457,19
458,11
459,22
460,24
461,2
462,16
463,18
464,4
465,0
466,2
467,1
468,22
469,24
470,0
471,14
472,19
473,8
474,16
475,18
476,9
477,4
478,6
479,2
480,23
481,25
482,2
483,14
484,17
485,4
486,25
487,27
488,10
489,7
490,9
491,2
492,23
493,26
494,4
495,0
496,2
497,6
498,7
499,9
500,8
501,20
502,27
503,4
504,0
505,2
506,6
507,4
508,6
509,13
510,10
511,26
512,7
513,13
514,20
515,9
516,4
517,6
518,6
519,26
520,28
521,2
522,10
523,12
524,11
525,20
526,22
527,11
528,1
529,8
530,7
531,27
532,29
533,4
534,11
535,19
536,12
537,29
538,31
539,14
540,3
541,13
542,7
543,11
544,15
545,12
546,4
547,17
548,1
549,13
550,24
551,10
552,11
553,15
554,12
555,8
556,17
557,1
558,21
559,28
560,3
561,15
562,30
563,0
564,17
565,23
566,12
567,1
568,8
569,3
570,9
571,30
572,4
573,15
574,21
575,13
576,12
577,24
578,5
579,3
580,5
581,0
582,13
583,31
584,0
585,15
586,21
587,3
588,0
589,24
590,1
591,5
592,8
593,5
594,1
595,19
596,3
597,6
598,21
599,14
600,28
601,29
602,5
603,1
604,3
605,7
606,5
607,19
608,9
609,12
610,24
611,5
612,7
613,9
614,8
615,11
616,19
617,10
618,3
619,5
620,1
621,16
622,22
623,0
624,18
625,24
626,7
627,0
628,14
629,2
630,7
631,9
632,9
633,16
634,18
635,2
636,17
637,26
638,6
639,2
640,10
641,8
642,12
643,14
644,10
645,16
646,23
647,0
648,9
649,25
650,8
651,31
652,32
653,2
654,7
655,10
656,0
657,14
658,16
659,11
660,0
661,2
662,2
663,4
664,22
665,13
666,25
667,27
668,15
669,0
670,13
671,4
672,7
673,10
674,2
675,20
676,26
677,11
678,19
679,23
680,11
681,4
682,6
683,2
684,18
685,20
686,4
687,3
688,7
689,6
690,0
691,11
692,11
693,33
694,30
695,4
696,4
697,18
698,6
699,20
700,23
701,14
702,6
703,8
704,4
705,10
706,15
707,0
708,30
709,32
710,9
711,13
712,16
713,9
714,0
715,2
716,0
717,25
718,27
719,0
720,9
721,11
722,2
723,3
724,13
725,4
726,0
727,5
728,0
729,2
730,7
731,2
732,4
733,9
734,4
735,0
736,6
737,0
738,2
739,8
740,2
741,4
742,10
743,4
744,0
745,6
746,0
747,3
748,9
749,2
750,11
751,13
752,4
753,0
754,2
755,0
756,25
757,27
758,0
759,9
760,12
761,2
762,10
763,19
764,11
765,4
766,6
767,5
768,29
769,31
770,2
771,15
772,17
773,7
774,19
775,21
776,9
777,10
778,16
779,6
780,12
781,14
782,8
783,17
784,19
785,10
786,21
787,26
788,6
789,12
790,14
791,8
792,16
793,18
794,10
795,20
796,22
797,6
798,15
799,17
800,8
801,19
802,21
803,10
804,4
805,6
806,6
807,29
808,31
809,2
810,14
811,17
812,8
813,21
814,24
815,13
816,1
817,8
818,1
819,20
820,26
821,4
822,12
823,23
824,3
825,25
826,27
827,11
828,1
829,6
830,1
831,8
832,22
833,3
834,3
835,24
836,12
837,28
838,29
839,1
840,1
841,5
842,3
843,7
844,24
845,12
846,26
847,28
848,1
849,12
850,30
851,3
852,10
853,23
854,12
855,1
856,8
857,1
858,15
859,26
860,4
861,20
862,22
863,11
864,11
865,13
866,4
867,3
868,5
869,6
870,28
871,30
872,0
873,14
874,18
875,8
876,9
877,20
878,13
879,4
880,11
881,5
882,13
883,15
884,7
885,0
886,18
887,9
888,20
889,31
890,5
891,9
892,11
893,7
894,3
895,13
896,9
897,25
898,29
899,5
900,1
901,8
902,7
903,13
904,15
905,9
906,5
907,22
908,1
909,17
910,19
911,13
912,2
913,6
914,9
915,12
916,15
917,1
918,1
919,25
920,8
921,3
922,13
923,10
924,17
925,19
926,6
927,1
928,34
929,3
930,17
931,19
932,6
933,5
934,7
935,8
936,10
937,18
938,3
939,22
940,27
941,10
942,10
943,17
944,0
945,24
946,26
947,3
948,9
949,28
950,5
951,14
952,25
953,7
954,8
955,10
956,3
957,21
958,27
959,5
960,5
961,7
962,12
963,9
964,11
965,2
966,21
967,24
968,13
969,29
970,31
971,11
972,5
973,7
974,14
975,14
976,21
977,3
978,19
979,22
980,7
981,9
982,11
983,3
984,0
985,2
986,1
987,20
988,23
989,0
990,12
991,14
992,4
993,3
994,19
995,6
996,0
997,6
998,8
999,4
1000,11
1001,10
1002,1
1003,16
1004,0
1005,3
1006,18
1007,11
1008,0
1009,23
1010,14
1011,14
1012,16
1013,0
1014,2
1015,18
1016,4
1017,15
1018,26
1019,7
1020,10
1021,12
1022,0
1023,0
1024,2
1025,2
1026,16
1027,18
1028,0
1029,9
1030,11
1031,4
1032,13
1033,15
1034,11
1035,4
1036,6
1037,7
1038,25
1039,28
1040,2
1041,16
1042,21
1043,9
1044,23
1045,25
1046,2
1047,8
1048,13
1049,12
1050,20
1051,22
1052,4
1053,7
1054,29
1055,2
1056,12
1057,26
1058,6
1059,6
1060,20
1061,8
1062,4
1063,25
1064,10
1065,8
1066,22
1067,15
1068,20
1069,28
1070,9
1071,17
1072,23
1073,5
1074,4
1075,6
1076,8
1077,20
1078,24
1079,2
1080,13
1081,15
1082,6
1083,17
1084,19
1085,14
1086,1
1087,8
1088,0
1089,30
1090,32
1091,4
1092,10
1093,18
1094,5
1095,27
1096,29
1097,14
1098,2
1099,5
1100,7
1101,10
1102,15
1103,9
1104,17
1105,24
1106,13
1107,2
1108,9
1109,15
1110,15
1111,28
1112,1
1113,1
1114,10
1115,3
1116,13
1117,30
1118,6
1119,11
1120,32
1121,1
1122,14
1123,25
1124,3
1125,1
1126,8
1127,10
1128,27
1129,29
1130,4
1131,19
1132,22
1133,12
1134,11
1135,22
1136,6
1137,3
1138,5
1139,3
1140,20
1141,24
1142,0
1143,12
1144,14
1145,8
1146,0
1147,7
1148,1
1149,19
1150,31
1151,3
1152,21
