vertex,label
0,0
1,310
2,179
3,26
4,14
5,11
6,8
7,7
8,9
9,13
10,15
11,8
12,14
13,13
14,83
15,281
16,180
17,282
18,141
19,16
20,181
21,21
22,14
23,5
24,2
25,14
26,3
27,26
28,65
29,15
30,1
31,5
32,2
33,9
34,11
35,84
36,15
37,7
38,7
39,10
40,7
41,21
42,4
43,8
44,8
45,33
46,6
47,30
48,9
49,18
50,99
51,32
52,26
53,5
54,5
55,12
56,5
57,34
58,11
59,20
60,4
61,303
62,182
63,157
64,183
65,14
66,19
67,5
68,8
69,2
70,3
71,100
72,10
73,1
74,20
75,114
76,3
77,31
78,21
79,4
80,115
81,16
82,11
83,14
84,22
85,21
86,212
87,213
88,1
89,41
90,101
91,20
92,17
93,4
94,3
95,1
96,29
97,3
98,23
99,214
100,10
101,11
102,25
103,19
104,24
105,13
106,33
107,9
108,21
109,22
110,1
111,2
112,2
113,85
114,7
115,27
116,5
117,158
118,4
119,12
120,11
121,1
122,21
123,16
124,12
125,23
126,22
127,7
128,13
129,86
130,27
131,21
132,24
133,35
134,28
135,7
136,29
137,0
138,0
139,1
140,4
141,29
142,7
143,116
144,33
145,5
146,53
147,24
148,0
149,30
150,6
151,0
152,20
153,117
154,24
155,35
156,26
157,27
158,28
159,19
160,9
161,5
162,4
163,7
164,34
165,32
166,102
167,185
168,36
169,24
170,37
171,18
172,264
173,2
174,15
175,2
176,42
177,32
178,1
179,22
180,9
181,6
182,10
183,11
184,5
185,16
186,7
187,184
188,2
189,159
190,18
191,12
192,3
193,1
194,8
195,16
196,1
197,21
198,2
199,6
200,1
201,10
202,6
203,5
204,1
205,5
206,26
207,10
208,215
209,54
210,33
211,186
212,87
213,11
214,27
215,238
216,216
217,1
218,1
219,36
220,13
221,103
222,3
223,142
224,6
225,31
226,14
227,187
228,11
229,217
230,31
231,25
232,6
233,8
234,9
235,37
236,2
237,23
238,118
239,12
240,14
241,5
242,15
243,6
244,7
245,25
246,23
247,0
248,3
249,12
250,25
251,16
252,66
253,2
254,3
255,143
256,5
257,28
258,119
259,4
260,2
261,25
262,0
263,16
264,7
265,3
266,4
267,25
268,8
269,7
270,26
271,18
272,0
273,33
274,7
275,6
276,38
277,0
278,30
279,23
280,67
281,104
282,0
283,30
284,23
285,25
286,26
287,1
288,1
289,1
290,5
291,3
292,2
293,2
294,5
295,1
296,1
297,38
298,14
299,22
300,19
301,6
302,11
303,7
304,13
305,12
306,283
307,265
308,304
309,239
310,144
311,240
312,284
313,305
314,285
315,241
316,286
317,218
318,7
319,13
320,287
321,242
322,288
323,306
324,160
325,307
326,9
327,289
328,308
329,243
330,309
331,188
332,68
333,244
334,245
335,266
336,24
337,5
338,290
339,291
340,219
341,220
342,267
343,16
344,189
345,221
346,222
347,190
348,223
349,246
350,292
351,268
352,21
353,191
354,145
355,146
356,192
357,105
358,120
359,25
360,3
361,147
362,3
363,247
364,55
365,11
366,24
367,1
368,2
369,5
370,293
371,6
372,28
373,70
374,14
375,9
376,29
377,17
378,10
379,11
380,32
381,1
382,121
383,26
384,22
385,122
386,7
387,161
388,25
389,9
390,6
391,26
392,15
393,2
394,7
395,0
396,17
397,18
398,148
399,0
400,193
401,56
402,30
403,16
404,27
405,311
406,6
407,4
408,35
409,1
410,0
411,34
412,23
413,27
414,33
415,27
416,21
417,11
418,123
419,10
420,69
421,15
422,23
423,23
424,9
425,71
426,88
427,2
428,1
429,6
430,106
431,14
432,72
433,194
434,57
435,224
436,2
437,8
438,11
439,35
440,107
441,248
442,108
443,225
444,14
445,20
446,149
447,35
448,37
449,12
450,13
451,1
452,7
453,13
454,124
455,32
456,30
457,17
458,33
459,249
460,89
461,4
462,6
463,36
464,195
465,58
466,31
467,2
468,5
469,19
470,16
471,5
472,150
473,4
474,74
475,5
476,18
477,15
478,32
479,24
480,13
481,16
482,11
483,21
484,5
485,23
486,151
487,19
488,22
489,11
490,59
491,28
492,10
493,6
494,29
495,10
496,5
497,16
498,20
499,28
500,8
501,3
502,162
503,125
504,6
505,3
506,34
507,31
508,196
509,4
510,15
511,163
512,20
513,126
514,269
515,127
516,226
517,21
518,109
519,73
520,4
521,90
522,37
523,29
524,19
525,21
526,43
527,197
528,270
529,250
530,251
531,198
532,23
533,152
534,271
535,252
536,20
537,199
538,294
539,22
540,32
541,24
542,128
543,38
544,21
545,6
546,7
547,200
548,272
549,201
550,5
551,164
552,0
553,202
554,227
555,129
556,153
557,31
558,7
559,228
560,10
561,8
562,5
563,92
564,165
565,91
566,203
567,76
568,8
569,253
570,254
571,229
572,166
573,295
574,255
575,110
576,204
577,60
578,205
579,273
580,256
581,1
582,230
583,1
584,231
585,4
586,167
587,296
588,168
589,257
590,206
591,18
592,274
593,154
594,44
595,232
596,297
597,130
598,10
599,35
600,298
601,23
602,15
603,233
604,169
605,45
606,61
607,299
608,75
609,170
610,258
611,259
612,3
613,39
614,46
615,131
616,21
617,16
618,132
619,30
620,111
621,133
622,207
623,33
624,13
625,260
626,208
627,93
628,77
629,8
630,171
631,209
632,16
633,4
634,172
635,173
636,9
637,62
638,94
639,34
640,0
641,5
642,17
643,38
644,26
645,1
646,134
647,24
648,78
649,79
650,12
651,80
652,63
653,33
654,13
655,19
656,31
657,155
658,2
659,4
660,31
661,9
662,6
663,234
664,12
665,10
666,2
667,25
668,47
669,3
670,11
671,13
672,0
673,18
674,7
675,5
676,6
677,9
678,27
679,30
680,24
681,210
682,36
683,12
684,17
685,25
686,35
687,32
688,0
689,1
690,12
691,1
692,21
693,64
694,235
695,17
696,33
697,211
698,31
699,14
700,26
701,4
702,3
703,20
704,9
705,11
706,174
707,6
708,8
709,15
710,6
711,175
712,48
713,176
714,95
715,96
716,97
717,177
718,49
719,81
720,11
721,3
722,17
723,7
724,135
725,50
726,4
727,25
728,9
729,19
730,29
731,15
732,19
733,6
734,16
735,23
736,3
737,9
738,12
739,15
740,10
741,8
742,6
743,14
744,19
745,22
746,8
747,12
748,16
749,28
750,10
751,7
752,40
753,4
754,178
755,3
756,275
757,136
758,15
759,51
760,4
761,17
762,14
763,8
764,5
765,22
766,300
767,137
768,18
769,1
770,28
771,138
772,139
773,8
774,11
775,140
776,12
777,8
778,276
779,22
780,12
781,7
782,28
783,261
784,11
785,13
786,27
787,27
788,5
789,2
790,20
791,277
792,21
793,7
794,278
795,301
796,279
797,98
798,236
799,15
800,19
801,13
802,19
803,302
804,156
805,280
806,237
807,112
808,36
809,1
810,113
811,52
812,30
813,10
814,18
815,22
816,1
817,12
818,82
819,262
820,263
821,3
