vertex,label
0,13
1,4
2,8
3,10
4,14
5,4
6,16
7,14
8,17
9,4
10,14
11,7
12,9
13,16
14,12
15,0
16,11
17,1
18,16
19,5
20,2
21,0
22,7
23,1
24,6
25,8
26,1
27,17
28,11
29,6
30,10
31,5
32,9
33,14
34,3
35,12
36,17
37,13
38,9
39,11
40,13
41,3
42,10
43,13
44,15
45,8
46,2
47,7
48,17
49,0
50,10
51,6
52,8
53,15
54,5
55,17
56,15
57,7
58,16
59,5
60,3
61,12
62,0
63,4
64,2
65,15
66,17
67,12
68,6
69,8
70,11
71,3
72,0
73,2
74,10
75,0
76,4
77,1
78,14
79,17
80,9
81,7
82,5
83,2
84,0
85,15
86,1
87,13
88,9
89,12
90,8
91,13
92,6
93,10
94,3
95,5
96,11
97,1
98,14
99,9
100,4
101,10
102,5
103,17
104,4
105,1
106,15
107,3
108,16
109,8
110,12
111,16
112,6
113,17
114,3
115,16
116,13
117,8
118,14
119,0
120,7
121,11
122,17
123,9
124,5
125,14
126,4
127,2
128,9
129,13
130,5
131,0
132,6
133,11
134,3
135,16
136,9
137,5
138,2
139,0
140,11
141,1
142,10
143,15
144,11
145,7
146,2
147,9
148,4
149,15
150,5
151,1
152,12
153,14
154,10
155,6
156,3
157,13
158,8
159,0
160,17
