vertex,label
0,8
1,3
2,0
3,2
4,8
5,12
6,5
7,0
8,3
9,5
10,15
11,8
12,2
13,12
14,5
15,1
16,13
17,6
18,10
19,6
20,11
21,4
22,6
23,1
24,14
25,17
26,11
27,7
28,1
29,10
30,0
31,9
32,16
33,4
34,17
35,8
36,13
37,15
38,17
39,11
40,9
41,2
42,13
43,9
44,12
45,6
46,0
47,13
48,2
49,7
50,11
51,3
52,6
53,1
54,10
55,8
56,17
57,11
58,14
59,9
60,15
61,3
62,0
63,13
64,11
65,14
66,9
67,4
68,5
69,15
70,5
71,0
72,9
73,2
74,13
75,15
76,4
77,0
78,12
79,10
80,6
81,16
82,2
83,15
84,8
85,2
86,6
87,1
88,1
89,5
90,6
91,5
92,10
93,7
94,2
95,14
96,7
97,16
98,8
99,3
100,7
101,14
102,1
103,8
104,10
105,0
106,14
107,12
108,8
109,0
110,9
111,2
112,12
113,15
114,2
115,17
116,13
117,7
118,16
119,9
120,7
121,3
122,16
123,10
124,17
125,3
126,5
127,14
128,17
129,9
130,4
131,11
132,5
133,3
134,14
135,12
136,3
137,17
138,4
139,10
140,15
141,6
142,16
143,3
144,10
145,8
146,1
147,12
148,8
149,13
150,0
151,16
152,3
153,10
154,4
155,7
156,16
157,4
158,14
159,5
160,2
161,17
162,11
163,11
164,7
165,0
166,15
167,9
168,5
169,17
170,12
171,7
172,3
173,15
174,1
175,2
176,13
177,9
178,5
179,12
180,1
181,0
182,3
183,7
184,14
185,8
186,2
187,4
188,16
189,6
190,14
191,13
192,11
193,2
194,17
195,11
196,5
197,10
198,3
199,7
200,13
201,13
202,6
203,2
204,0
205,1
206,4
207,5
208,15
