vertex,label
0,1
1,19
2,30
3,2
4,32
5,4
6,58
7,60
8,34
9,6
10,36
11,8
12,62
13,64
14,66
15,68
16,0
17,22
18,38
19,24
20,70
21,72
22,40
23,42
24,74
25,76
26,28
27,26
28,44
29,78
30,80
31,82
32,84
33,46
34,10
35,48
36,12
37,86
38,88
39,50
40,14
41,52
42,16
43,90
44,92
45,54
46,18
47,56
48,20
49,94
50,96
51,98
52,100
53,3
54,1
55,0
56,5
57,1
58,6
59,1
60,7
61,2
62,4
63,1
64,3
65,3
66,1
67,0
68,5
69,1
70,6
71,1
72,7
73,2
74,4
75,7
76,1
77,3
78,1
79,0
80,5
81,1
82,6
83,1
84,7
85,2
86,4
87,6
88,1
89,3
90,1
91,0
92,5
93,1
94,6
95,1
96,7
97,2
98,4
99,9
100,3
101,1
102,0
103,5
104,1
105,6
106,1
107,7
108,2
109,4
110,8
111,3
112,1
113,0
114,5
115,1
116,6
117,1
118,7
119,2
120,4
121,1
122,5
123,3
124,1
125,0
126,5
127,1
128,6
129,1
130,7
131,2
132,4
133,1
134,7
135,3
136,1
137,0
138,5
139,1
140,6
141,1
142,7
143,2
144,4
145,1
146,9
147,3
148,1
149,0
150,5
151,1
152,6
153,1
154,7
155,2
156,4
157,1
158,11
159,3
160,1
161,0
162,5
163,1
164,6
165,1
166,7
167,2
168,4
169,1
170,13
171,3
172,1
173,0
174,5
175,1
176,6
177,1
178,7
179,2
180,4
181,1
182,15
183,3
184,1
185,0
186,5
187,1
188,6
189,1
190,7
191,2
192,4
193,1
194,18
195,6
196,0
197,5
198,8
199,9
200,10
201,3
202,11
203,0
204,2
205,0
206,0
207,5
208,0
209,11
210,6
211,7
212,2
213,8
214,4
215,8
216,5
217,1
218,12
219,3
220,9
221,7
222,13
223,0
224,7
225,14
226,15
227,16
228,4
229,17
230,0
231,0
232,2
233,2
234,2
235,0
236,10
237,6
238,7
239,2
240,8
241,3
242,8
243,5
244,1
245,18
246,3
247,9
248,7
249,1
250,4
251,0
252,5
253,7
254,9
255,6
256,3
257,2
258,8
259,0
260,3
261,0
262,0
263,10
264,5
265,0
266,11
267,7
268,8
269,2
270,9
271,4
272,8
273,5
274,1
275,11
276,9
277,10
278,6
279,1
280,4
281,0
282,5
283,7
284,9
285,6
286,3
287,0
288,10
289,0
290,3
291,0
292,2
293,8
294,5
295,0
296,11
297,7
298,8
299,2
300,9
301,4
302,8
303,5
304,1
305,11
306,8
307,10
308,6
309,1
310,4
311,0
312,7
313,5
314,9
315,6
316,3
317,0
318,12
319,0
320,2
321,0
322,4
323,8
324,5
325,0
326,11
327,7
328,8
329,2
330,9
331,4
332,8
333,5
334,1
335,10
336,3
337,10
338,6
339,1
340,4
341,0
342,9
343,5
344,11
345,6
346,3
347,0
348,14
349,0
350,2
351,0
352,6
353,7
354,5
355,0
356,11
357,7
358,8
359,2
360,9
361,4
362,8
363,5
364,1
365,8
366,3
367,10
368,6
369,1
370,4
371,0
372,5
373,7
374,11
375,6
376,3
377,0
378,16
379,0
380,2
381,0
382,8
383,8
384,5
385,0
386,11
387,7
388,8
389,2
390,9
391,4
392,8
393,5
394,1
395,9
396,3
397,10
398,6
399,1
400,4
401,0
402,5
403,7
404,13
405,6
406,3
407,0
408,18
409,0
410,2
411,0
412,10
413,8
414,5
415,0
416,11
417,7
418,8
419,2
420,9
421,4
422,8
423,5
424,1
425,9
426,3
427,10
428,6
429,1
430,4
431,0
432,5
433,7
434,9
435,6
436,3
437,2
438,0
439,3
440,0
441,0
442,8
443,5
444,0
445,11
446,7
447,8
448,2
449,9
450,4
451,8
452,5
453,1
454,10
455,8
456,10
457,6
458,1
459,4
460,0
461,5
462,7
463,9
464,6
465,3
466,0
467,0
468,3
469,0
470,2
471,8
472,5
473,0
474,11
475,7
476,8
477,2
478,9
479,4
480,8
481,5
482,1
483,10
484,8
485,10
486,6
487,0
488,3
489,1
490,7
491,5
492,9
493,6
494,2
495,1
496,10
497,4
498,2
499,0
500,4
501,4
502,5
503,0
504,11
505,7
506,8
507,0
508,9
509,1
510,9
511,9
512,6
513,0
514,8
515,3
516,10
517,8
518,0
519,4
520,1
521,3
522,5
523,9
524,6
525,2
526,1
527,10
528,4
529,7
530,0
531,6
532,7
533,5
534,0
535,11
536,7
537,8
538,0
539,9
540,1
541,8
542,9
543,6
544,0
545,8
546,10
547,10
548,8
549,1
550,4
551,0
552,5
553,7
554,11
555,6
556,3
557,0
558,0
559,2
560,0
561,8
562,8
563,5
564,0
565,11
566,7
567,8
568,2
569,9
570,4
571,8
572,5
573,1
574,9
575,3
576,10
577,6
578,1
579,4
580,0
581,7
582,5
583,9
584,6
585,3
586,3
587,10
588,0
589,0
590,2
591,4
592,5
593,0
594,11
595,7
596,8
597,2
598,9
599,4
600,8
601,5
602,1
603,8
604,2
605,10
606,6
607,1
608,4
609,0
610,9
611,5
612,11
