vertex,label
0,12
1,14
2,15
3,14
4,13
5,14
6,16
7,13
8,14
9,13
10,13
11,14
12,13
13,13
14,14
15,13
16,13
17,14
18,13
19,12
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,10
61,7
62,9
63,11
64,7
65,9
66,11
67,7
68,9
69,11
70,7
71,9
72,11
73,7
74,9
75,11
76,7
77,9
78,11
79,7
80,27
81,24
82,19
83,3
84,23
85,26
86,3
87,19
88,23
89,3
90,19
91,23
92,3
93,19
94,24
95,3
96,19
97,23
98,3
99,24
100,8
101,11
102,13
103,8
104,10
105,12
106,8
107,10
108,12
109,8
110,10
111,12
112,8
113,10
114,12
115,8
116,10
117,12
118,8
119,10
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,23
141,19
142,24
143,13
144,16
145,23
146,18
147,16
148,19
149,26
150,16
151,19
152,22
153,16
154,19
155,26
156,16
157,19
158,25
159,15
160,7
161,12
162,12
163,12
164,18
165,8
166,10
167,18
168,8
169,10
170,18
171,8
172,10
173,18
174,8
175,10
176,18
177,8
178,10
179,16
180,15
181,3
182,28
183,17
184,3
185,19
186,18
187,3
188,22
189,22
190,3
191,22
192,22
193,3
194,23
195,22
196,3
197,22
198,28
199,3
200,18
201,10
202,8
203,23
204,11
205,7
206,20
207,8
208,10
209,23
210,8
211,10
212,23
213,8
214,10
215,23
216,8
217,10
218,23
219,8
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,16
241,25
242,3
243,3
244,26
245,3
246,3
247,17
248,3
249,3
250,17
251,3
252,3
253,17
254,3
255,3
256,17
257,3
258,3
259,22
260,13
261,18
262,20
263,15
264,12
265,18
266,19
267,21
268,18
269,17
270,21
271,18
272,17
273,21
274,18
275,17
276,21
277,18
278,20
279,6
280,28
281,23
282,11
283,17
284,24
285,10
286,22
287,24
288,26
289,28
290,24
291,22
292,25
293,27
294,21
295,24
296,28
297,22
298,27
299,25
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,9
321,15
322,17
323,19
324,14
325,16
326,12
327,14
328,16
329,12
330,14
331,16
332,12
333,14
334,16
335,12
336,14
337,16
338,12
339,18
340,14
341,20
342,21
343,16
344,19
345,20
346,13
347,20
348,20
349,16
350,20
351,20
352,16
353,20
354,20
355,16
356,20
357,20
358,15
359,17
360,24
361,22
362,19
363,17
364,21
365,24
366,22
367,19
368,21
369,25
370,19
371,21
372,25
373,19
374,22
375,25
376,19
377,22
378,24
379,26
380,22
381,26
382,28
383,24
384,25
385,27
386,25
387,28
388,24
389,24
390,25
391,27
392,27
393,24
394,25
395,28
396,27
397,26
398,28
399,23
400,6
401,17
402,11
403,22
404,17
405,10
406,21
407,17
408,23
409,21
410,17
411,22
412,24
413,17
414,21
415,24
416,17
417,21
418,16
419,20
420,23
421,1
422,22
423,13
424,1
425,15
426,9
427,1
428,19
429,9
430,1
431,19
432,9
433,1
434,19
435,9
436,1
437,19
438,9
439,1
440,3
441,12
442,3
443,3
444,8
445,3
446,3
447,10
448,3
449,3
450,10
451,3
452,3
453,10
454,3
455,3
456,10
457,3
458,3
459,5
460,13
461,9
462,1
463,5
464,10
465,1
466,5
467,12
468,1
469,5
470,12
471,1
472,5
473,12
474,1
475,5
476,18
477,1
478,6
479,13
480,6
481,17
482,3
483,6
484,17
485,3
486,6
487,17
488,3
489,6
490,17
491,3
492,6
493,17
494,3
495,6
496,17
497,3
498,6
499,22
500,3
501,28
502,27
503,22
504,21
505,21
506,21
507,22
508,21
509,21
510,22
511,21
512,21
513,22
514,22
515,21
516,22
517,21
518,16
519,20
520,28
521,21
522,17
523,18
524,16
525,16
526,19
527,24
528,16
529,15
530,24
531,16
532,15
533,24
534,16
535,15
536,24
537,16
538,18
539,15
540,21
541,9
542,7
543,10
544,8
545,15
546,9
547,11
548,7
549,9
550,11
551,7
552,9
553,11
554,7
555,9
556,11
557,7
558,9
559,19
560,11
561,8
562,10
563,7
564,9
565,11
566,7
567,9
568,11
569,7
570,9
571,11
572,7
573,9
574,11
575,7
576,9
577,11
578,7
579,9
580,17
581,21
582,23
583,25
584,20
585,22
586,24
587,26
588,22
589,20
590,23
591,25
592,20
593,23
594,26
595,20
596,23
597,25
598,22
599,13
600,13
601,19
602,6
603,15
604,25
605,6
606,14
607,16
608,6
609,14
610,21
611,6
612,14
613,16
614,6
615,14
616,16
617,6
618,14
619,19
620,16
621,6
