vertex,label
0,29
1,27
2,22
3,17
4,7
5,13
6,24
7,31
8,3
9,15
10,32
11,16
12,19
13,33
14,26
15,44
16,8
17,14
18,4
19,19
20,42
21,3
22,22
23,8
24,27
25,5
26,43
27,45
28,46
29,23
30,41
31,39
32,0
33,15
34,31
35,32
36,0
37,7
38,25
39,14
40,7
41,33
42,1
43,0
44,13
45,39
46,13
47,18
48,40
49,30
50,1
51,17
52,19
53,28
54,34
55,27
56,4
57,7
58,16
59,5
60,10
61,15
62,21
63,28
64,6
65,20
66,35
67,36
68,27
69,22
70,43
71,46
72,9
73,10
74,46
75,50
76,49
77,51
78,52
79,38
80,11
81,21
82,37
83,41
84,16
85,37
86,35
87,36
88,40
89,44
90,11
91,15
92,33
93,29
94,38
95,35
96,29
97,33
98,25
99,37
100,23
101,30
102,40
103,34
104,30
105,31
106,32
107,42
108,12
109,41
110,37
111,41
112,19
113,31
114,1
115,2
116,20
117,26
118,10
119,11
120,19
121,0
122,23
123,17
124,43
125,29
126,36
127,11
128,12
129,11
130,2
131,36
132,40
133,22
134,29
135,39
136,18
137,9
138,20
139,4
140,21
141,45
142,16
143,37
144,38
145,30
146,34
147,39
148,28
149,15
150,27
151,26
152,24
153,28
154,29
155,16
156,18
157,34
158,16
159,24
160,14
161,13
162,15
163,42
164,40
165,31
166,14
167,27
168,19
169,34
170,39
171,26
172,31
173,32
174,40
175,2
176,25
177,21
178,28
179,38
180,1
181,8
182,42
183,34
184,29
185,8
186,36
187,26
188,15
189,1
190,30
191,4
192,39
193,38
194,15
195,16
196,18
197,32
198,39
199,27
200,30
201,35
202,9
203,3
204,31
205,18
206,11
207,10
208,25
209,32
210,45
211,33
212,4
213,37
214,13
215,6
216,39
217,36
218,44
219,31
220,31
221,41
222,17
223,36
224,23
225,36
226,16
227,29
228,15
229,32
230,34
231,29
232,22
233,28
234,38
235,39
236,32
237,31
238,33
239,25
240,30
241,34
242,18
243,16
244,26
245,3
246,47
247,26
248,22
249,46
250,36
251,27
252,40
253,44
254,2
255,29
256,37
257,19
258,32
259,18
260,16
261,25
262,39
263,32
264,46
265,37
266,1
267,26
268,45
269,44
270,12
271,9
272,1
273,33
274,24
275,0
276,24
277,38
278,6
279,31
280,16
281,35
282,36
283,23
284,13
285,9
286,42
287,31
288,40
289,35
290,24
291,40
292,38
293,11
294,31
295,41
296,35
297,7
298,13
299,27
300,22
301,14
302,1
303,12
304,21
305,40
306,42
307,11
308,15
309,38
310,25
311,14
312,28
313,34
314,38
315,40
316,20
317,33
318,1
319,5
320,21
321,38
322,34
323,43
324,20
325,0
326,30
327,7
328,17
329,18
330,23
331,42
332,0
333,25
334,8
335,13
336,33
337,32
338,5
339,14
340,27
341,28
342,39
343,23
344,40
345,33
346,9
347,17
348,24
349,10
350,23
351,6
352,11
353,31
354,41
355,16
356,23
357,6
358,28
359,9
