vertex,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,8
10,13
11,20
12,5
13,4
14,3
15,12
16,8
17,2
18,2
19,17
20,5
21,9
22,27
23,11
24,2
25,28
26,26
27,7
28,29
29,21
30,13
31,5
32,3
33,10
34,2
35,0
36,1
37,24
38,18
39,28
40,16
41,22
42,6
43,23
44,15
45,28
46,11
47,21
48,6
49,4
50,15
51,14
52,10
53,2
54,25
55,23
56,24
57,19
58,17
59,0
60,19
61,2
62,0
63,3
64,0
65,1
66,7
67,17
68,24
69,0
70,0
71,29
72,10
73,9
74,26
75,14
76,19
77,0
78,8
79,25
80,4
81,3
82,13
83,8
84,28
85,29
86,21
87,26
88,7
89,20
90,12
91,21
92,20
93,12
94,27
95,22
96,13
97,28
98,16
99,0
100,18
101,24
102,6
103,11
104,29
105,17
106,9
107,26
108,10
109,6
110,15
111,1
112,23
